userId	geneSymbol	geneName	entrezgene	score	gLink
AAAS	AAAS	aladin WD repeat nucleoporin	8086	-0.023533806499813223	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	-0.016957775139901644	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAC	AADAC	arylacetamide deacetylase	13	-0.049707602339181284	https://www.ncbi.nlm.nih.gov/gene/?term=13
AAK1	AAK1	AP2 associated kinase 1	22848	-0.011538461538461539	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	-0.01569888405522981	https://www.ncbi.nlm.nih.gov/gene/?term=14
AARS	AARS	alanyl-tRNA synthetase	16	-0.0308	https://www.ncbi.nlm.nih.gov/gene/?term=16
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	-0.014071510957324106	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	-0.03576982892690513	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	-0.020279528637983008	https://www.ncbi.nlm.nih.gov/gene/?term=26574
AATK	AATK	apoptosis associated tyrosine kinase	9625	0.06495726495726496	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABAT	ABAT	4-aminobutyrate aminotransferase	18	-0.015505090054815976	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	-0.04902867715078631	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	-0.03806228373702422	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	-0.023686477174849268	https://www.ncbi.nlm.nih.gov/gene/?term=23461
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	-0.01567836075752872	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456	-0.01567836075752872	https://www.ncbi.nlm.nih.gov/gene/?term=23456
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	-0.02195664257921067	https://www.ncbi.nlm.nih.gov/gene/?term=10058
