,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
DOT1L,0.7383088635127786,0.632380073800738,0.55813097866078,0.526093348033811,0.4288451012588971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYL3,0.6465470364328438,0.5548892988929889,0.469094922737308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART5,0.6582381729200651,0.5588099630996309,0.4941133186166334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHX6,0.6112017400761283,0.5176814268142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERINC5,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD274,0.6492659053833605,0.5389760147601476,0.48552857493255025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASL11A,0.6112017400761283,0.5176814268142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBEAL2,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASH1L,0.6005981511691136,0.5659594095940962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLCH2,0.7838499184339314,0.6780442804428044,0.601177336276674,0.554024255788313,0.5153256704980842,0.48309748427672977,0.3867009132420084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNM1,0.6005981511691136,0.5659594095940962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L2,0.7820826536160956,0.7004151291512914,0.6328182487122884,0.5782800441014333,0.5270935960591133,0.49056603773584917,0.471461187214612,0.3689279731993301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSIP1,0.7444263186514409,0.6187730627306273,0.5320088300220751,0.40812201396545117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LZTR1,0.7317835780315388,0.6713560885608856,0.6169977924944813,0.556229327453142,0.5229885057471263,0.3789308176100635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUC6,0.857395323545405,0.7924354243542435,0.7601177336276674,0.6966188901139286,0.6469622331691297,0.5880503144654088,0.5353881278538812,0.49664991624790616,0.43034825870646765,0.41666666666666663,0.4099999999999999,0.0,0.0,0.0,0.0,0.0
ZBTB7C,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORIN,0.6005981511691136,0.5659594095940962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROR1,0.6233007069059271,0.490774907749076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB38,0.7671288743882544,0.5973247232472324,0.5371596762325239,0.5196618890113928,0.43678160919540404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCP11L1,0.6396139206090266,0.5837177121771218,0.5004905567819502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K11,0.6621805328983142,0.603090405904059,0.5285749325484428,0.4283351708930499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRCC2,0.71805328983143,0.6003228782287823,0.5517537404954623,0.5152517456817346,0.42857142857142977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EML2,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM171,0.6396139206090266,0.5837177121771218,0.5004905567819502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAX,0.7569331158238173,0.6838099630996309,0.6118469462840324,0.563763322307975,0.5073891625615764,0.47838050314465413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAK,0.6851549755301793,0.6005535055350554,0.5469708118714741,0.4483645718485804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC37A2,0.6112017400761283,0.5176814268142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM71,0.7345024469820554,0.6628228782287823,0.601177336276674,0.5235207644248436,0.4969896004378762,0.3720518867924528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM2,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM174,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARK2,0.6745513866231647,0.5890221402214022,0.5202354672553351,0.4459757442116844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVEP1,0.7559815116911365,0.6190036900369004,0.5500367917586461,0.5264608599779492,0.42829775588396535,0.3806996855345921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD99,0.6396139206090266,0.5837177121771218,0.5004905567819502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDNRA,0.7994834148994018,0.7382380073800737,0.6791758646063282,0.617787578096288,0.5706075533661741,0.5294811320754718,0.4668949771689498,0.46147403685092125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATXN7,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMS1,0.7211799891245242,0.6081642066420664,0.5371596762325239,0.5064314590224183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL7,0.7181892332789559,0.6344557195571956,0.5695364238410596,0.5288496876148473,0.4488232074438978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFT1,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1G2,0.6112017400761283,0.5176814268142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLCO3A1,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASGRP4,0.8448885263730287,0.720710332103321,0.6677704194260485,0.599595736861448,0.5640394088669951,0.5247641509433962,0.48230593607305927,0.4648241206030151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMICA1,0.636079390973355,0.48608548585486144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLRC1,0.7374932028276237,0.6088560885608856,0.5486877606082905,0.4999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XPNPEP3,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTDR1,0.6005981511691136,0.5659594095940962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKD1,0.8011147362697117,0.7273985239852399,0.6659308314937454,0.6091510474090408,0.5569239189928845,0.5090408805031448,0.48458904109589046,0.46733668341708534,0.31094527363184093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP11C,0.7259380097879281,0.6575184501845018,0.5765268579838116,0.529952223447262,0.4956212370005473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCN5A,0.5696030451332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
