,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
FOXP4,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXXC1,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO1F,0.652760736196319,0.5268777614138439,0.4849649752263808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN,0.5882208588957055,0.5316642120765833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR5A1,0.7103067484662577,0.6380706921944035,0.5725269092772937,0.5264155413409144,0.4652844744455122,0.3846987429562212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMSB4X,0.641840490797546,0.5971404025527737,0.571330941397574,0.5382610755745122,0.48874959819993197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC1,0.7257668711656442,0.6448821796759941,0.5707329574577141,0.5202558635394453,0.4818386370941812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAM,0.6368098159509202,0.5401325478645066,0.5040150350247744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOP2A,0.838036809815951,0.7899484536082474,0.7672988211173757,0.7457948353470742,0.7179363548698168,0.6803207628955354,0.6376068376068376,0.6093394077448747,0.5493096646942803,0.5292397660818708,0.42159763313609483,0.33333333333333365,0.32899305555555514,0.0,0.0,0.0,0.0,0.0,0.0
HMGB1,0.7542331288343559,0.7236745213549337,0.6940030753459764,0.6536365790097135,0.6340405014464802,0.6137841352405715,0.543019943019941,0.5121488230827665,0.3942307692307672,0.3600146198830406,0.2577909270216963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST3,0.7201226993865031,0.6509572901325479,0.6303604988894584,0.5900260601753148,0.5716811314689805,0.5266579973992174,0.4888888888888892,0.39123006833713125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMC4,0.6511656441717791,0.5297619047619048,0.48052280881599324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDI1,0.643558282208589,0.6030927835051546,0.5726123355544168,0.5362473347548002,0.49196399871423596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
