,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
ZYX,0.6917559296097934,0.5980962453728186,0.5522432464595978,0.5260344026034407,0.5002937720329028,0.45581655480984107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACBD5,0.6305470543228768,0.5717874140666314,0.5016660716410813,0.49248411591507907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDKL5,0.7569816373374139,0.6971179270227393,0.6781506604784006,0.6447388811405548,0.6308264786525658,0.6160825254784986,0.6014765944077913,0.5907451923076923,0.5786967418546365,0.5542929292929295,0.5147058823529416,0.4913003663003664,0.4288888888888885,0.40436005625879023,0.38950276243093934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIGD5,0.7002677888293802,0.6135642517186674,0.5598000714030703,0.524484735781807,0.5025460242851548,0.4848371861794676,0.4674049638705617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRCC5,0.545141545524101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAD9,0.5651300688599847,0.533359774369822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK5,0.5763198163733741,0.550678653269875,0.5328454123527311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRBP1,0.5651300688599847,0.533359774369822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULK3,0.624043611323642,0.5955843469063987,0.5724741163870046,0.5407562374089578,0.520661966314141,0.4791822023365632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL15RA,0.7858645753634277,0.7158910629296669,0.6732119481137688,0.6184720285138696,0.5752056404230318,0.5488441461595823,0.5207351555136662,0.5054086538461539,0.49874686716791994,0.48579545454545486,0.4664404223227755,0.46382783882783873,0.4249999999999997,0.40154711673698995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
