,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
LOXL3,0.00018322792637274018,2.238740923445897e-05,1.1354680635745504e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM30B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC7A4,0.00030205312858310926,0.00018337233766274895,5.367886723368014e-05,1.4614560054431987e-05,1.78767443467758e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAI2,5.0590747984013e-05,1.026208987230524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNG13,8.498948534417141e-05,9.535515855486561e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD47,0.0001716609865694704,2.9440882933748716e-05,2.322525111724754e-05,7.238270751367391e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP5,0.0011438159113891743,0.0018706739839236806,0.0021823795313276003,0.002415310043499872,0.002481567972083517,0.0026211406656464977,0.00258964903901204,0.0022655486322610747,0.0033168464380203505,0.0033210042666698674,0.004030837907968864,0.00313099668691536,0.004304054065061831,0.00471433938468791,0.004940082852134276,0.003933839510711696,0.004550623069977907,0.0052340706467763325,0.005452530948660847,0.005643024581486269,0.0050705970133290085,0.0062082777080361565,0.004189641322155126,0.004123895219289436,0.005787303787003429,0.0028021857576951063,0.0025046492714377836,0.0022552128669532396,0.0027362173567018716,0.003519156072584771,0.0023790463404218722,0.0,0.0,0.0,0.0,0.0
THBS1,3.1096982557659856e-05,3.015227239062154e-05,3.271420502947212e-05,1.7508414482841802e-05,5.7355308842026876e-06,2.0268169010691908e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTM1,0.00027353056927043935,6.74478425133305e-05,7.792282561384761e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLAMF1,0.00022894955682649677,9.757138830586881e-05,2.24724730705079e-05,6.1589604243676405e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRR16,0.000280577895090406,0.00011293771803542316,2.108969031992023e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXO34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM35,8.481389293126963e-05,3.5572095717608906e-05,7.235574073148892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL5A2,5.280491218314224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID1B,6.495466488372253e-05,2.0991922179950975e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMC1,0.00041024161177441047,0.00026359268853121733,5.716720255046461e-05,1.846454483880606e-05,3.0015646325184937e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSIG2,0.0019805216686456747,0.005327341633287963,0.009736072856574629,0.015987700257985776,0.022678163615394892,0.02380145620572326,0.027636801472672334,0.0329132756082521,0.04051133325754439,0.018878970494051878,0.023238784232682476,0.012841798012903277,0.019345946400692864,0.02590986969274585,0.018639731454481154,0.022648153366123084,0.02106955949909912,0.022974979636014862,0.006479745785040005,0.015764989194659195,0.016543235237030673,0.03143336658281822,0.04310552644949985,0.03671407203737706,0.013594461212429595,0.022660886866591397,0.015580492419615684,0.01917178269560849,0.039162207391374056,0.033000459136822764,0.04526884450010039,0.05,0.0,0.0,0.0,0.0
SLC15A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRM3,6.821551482047113e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINA9,0.0008487918710139743,0.0015076111898510553,0.0010323734891901427,0.0007786806521182354,0.00048574091974401784,0.00033505298187204376,0.00017567292160403702,9.130156040940065e-05,6.138396602573833e-05,0.0001000446447948931,4.5748440467905696e-05,2.016381384650571e-05,1.562217621105837e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBR1,2.1019805969915644e-05,1.5239509115999322e-05,8.12241352551085e-06,2.3502597431050282e-06,2.0120028533826086e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR7,9.983159167685917e-06,4.886125382486239e-06,2.47314384110846e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYCN,0.0006436751852966632,0.0009010393584944211,0.0009583347910500905,0.0012838566937703568,0.0008137825683506812,0.0005410961323241852,0.0006614420005542821,0.0003241268955156882,7.785983353799346e-05,4.4284503106589685e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAT,6.854869871350265e-05,6.919379375959607e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR1,0.0017823825068937196,0.005094738832161559,0.01092717439454408,0.020889027590376873,0.028237657044645495,0.04028033370911491,0.04784182343376545,0.04345655101877691,0.04630474111758148,0.056776343170688096,0.0429144208969331,0.052370556645309777,0.04323936450233147,0.033258402726915826,0.02355955233502481,0.01874170430644581,0.02318967060743964,0.005261567185987532,0.006662412174284806,0.014648465596353272,0.01158163588761311,0.006340133562359059,0.006740116690740836,0.02679887735285322,0.021842416450878345,0.002089399547567569,0.0036267765984301604,0.028528145438335248,0.0015578345380749682,0.000271764417167365,0.0,0.0,0.0,0.0,0.0,0.0
TCEA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC15A3,0.0012469090880917702,0.0021150332015774627,0.002806907906707799,0.0028386121681360245,0.0027922003518215813,0.0027831237078841872,0.002952001891814792,0.002471824614231502,0.0030379919503412483,0.002835523123136657,0.003763695938880496,0.0033615570928038955,0.003882094238607316,0.003343828458120618,0.0035900685921146044,0.004336265296086036,0.0037013552246896106,0.004842444344168009,0.0042841460754431335,0.004526456760107628,0.004985876954224874,0.00415286528969961,0.0037583302081404305,0.00342616968049924,0.0031856544462646173,0.0018580044797148782,0.0016035387978022985,0.0008215018151372716,0.0006235505194344774,0.0013931176468122278,0.0009976056717744698,0.0008025224259744383,0.0,0.0,0.0,0.0
LDLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
