,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
EFNB2,0.7222070098576122,0.6458579382486924,0.5977153020042411,0.552489575668383,0.5214851293935876,0.4929006085192699,0.45400238948626265,0.4298327863728737,0.40463313502794435,0.3931001283697034,0.3669374692269794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN2,0.7324753559693319,0.6115235363590349,0.5671728572405774,0.5352792085683915,0.4999999999999986,0.46898242055442674,0.44132483738218736,0.3626738552898933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMS1,0.6583378970427163,0.5585456386030032,0.5159723647308296,0.4937045212983381,0.4501738122827279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLXIP,0.6011774370208105,0.5300039367864575,0.47958136671454843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BET1L,0.5898138006571741,0.5385242674765198,0.507558656542854,0.4604284195895604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFAR2,0.7180312157721797,0.6141386873629154,0.5609138791983038,0.5296378055759945,0.5047798377752014,0.4767297723687167,0.4273861675295416,0.40049226441632224,0.33337840274022074,0.2960205391527547,0.2550467749876897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTCH1,0.6085021905805038,0.5456386030032057,0.5095423763595311,0.47808846373967057,0.35508400926998795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPN,0.6918811610076671,0.6122827737472583,0.5632054176072234,0.5200310685961883,0.491067979915023,0.4616576515663735,0.3841431036771623,0.3559540553211493,0.3110690463313478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBN2,0.6753833515881709,0.6040155221866036,0.5647445105684383,0.5372005559643521,0.49908265739667745,0.4754338517016,0.44597106066640313,0.4093608376308826,0.3178745267712262,0.3102481814291779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD2,0.7696467688937568,0.6922557786401214,0.6331828442437923,0.5885046194096966,0.5507435303205869,0.5127338291638491,0.4857958316739681,0.4645257071417419,0.4297818640706704,0.412676508344031,0.3831856228458872,0.36055748122472386,0.34587902957793204,0.3211149293623532,0.3020833333333345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
