,Sars,Mers,Iv,Eb
LOXL3,5.711852507995414e-06,4.9464952394777835e-06,1.6684714091652753e-06,
TMEM30B,0.0,,,
SLC7A4,1.538604613826217e-05,,5.706893572276651e-06,
RAI2,1.690356607119951e-06,5.8208885251046e-07,,
GNG13,2.625694477768277e-06,1.234726089078057e-05,0.0003075093357490777,8.813513211017494e-07
CD47,6.251415213766761e-06,2.695809914995418e-06,,
GBP5,0.0031032921903839657,0.00015851353856754946,2.6024753898889954e-06,
THBS1,3.3120617290518664e-06,1.9124989054341616e-05,0.0003504953463115883,0.0005441515977840904
MTM1,9.688074842920963e-06,,,0.0
SLAMF1,9.865343850756698e-06,1.2349304271346348e-06,,
PRR16,1.0989571726606144e-05,,,
FBXO34,0.0,,3.503768374897488e-06,
TMEM35,3.5450434089452065e-06,2.1501431489883338e-07,,
COL5A2,1.4668031161983954e-06,,,
ARID1B,1.8626071417143784e-06,1.2536989844010276e-06,7.611167293297993e-06,2.934642776361362e-05
DMC1,2.0901878120206024e-05,0.0,,0.0
RNF146,0.0,,,
VSIG2,0.02096112580205119,,,0.0
SLC15A1,0.0,7.852172026390231e-07,,3.5686171808838358e-06
CHRM3,1.8948754116797535e-07,,,
SERPINA9,0.00015272746186525022,7.525922191009558e-07,0.0,4.20506760874338e-05
UBR1,1.3036996844408085e-06,0.0,,
HTR7,4.817341219800171e-07,1.7525268409503222e-06,,
GPR126,0.0,1.5287722098124464e-06,1.9301255693267402e-05,0.0
MYCN,0.0001735971656111375,7.115909531827167e-06,9.49555291691006e-06,9.064083373061413e-06
PLAT,1.923351018086072e-06,1.307902680562932e-05,1.3093581016532464e-05,
TMC5,0.0,1.8809538095845827e-06,,
CCR1,0.018744833063322072,1.610865705261697e-05,1.5269996394344337e-06,
TCEA1,0.0,,,
SLC15A3,0.002586688276673422,6.6585280336653234e-06,6.190711522584226e-06,
LDLR,0.0,1.3576971452183483e-05,,0.0007235551838518468
ZFYVE26,0.0,,1.0471787409601999e-05,
DENND2C,1.0276074983410726e-06,,,
NFIX,1.5272646602000835e-06,0.0,,
FBXO22,3.871093724312898e-06,0.0,,
TRIM36,2.3237126417103217e-05,,5.5938096098278686e-05,
ATN1,2.449676923452841e-05,0.0,0.0,0.0
TMEM106A,6.358533181520377e-06,2.811088941654048e-06,0.0,
TOM1L2,1.8078074750984335e-06,0.0,,
GGN,7.396369658646151e-06,1.081278266854688e-06,0.0003113648786803352,0.0
BNIP3L,7.91204204794676e-07,0.00025706634812106964,0.0003941348068593629,3.352470853300258e-06
UBAP2L,0.0,1.618354243636153e-06,6.501412007774653e-05,1.5737533546267455e-05
FCHSD2,0.0,1.3136778709119565e-06,,
UPF3A,0.0,,0.0,0.0
SCN3A,0.012084850117375185,5.832866606193425e-05,,1.1154422464413086e-05
IL11,0.00027223505867269063,0.00012513060380516742,0.00012128080500696054,
GGT6,2.223276408962237e-06,3.013793327041305e-08,,
CD6,0.0,5.153738321133239e-07,,
PKHD1,1.1922851367034521e-05,,,
FZR1,0.0,0.0,,9.903346125830363e-06
SMPDL3A,2.9610134321912077e-07,,,
TGM1,1.6157631158036468e-06,2.4641014818137907e-06,,
GPR68,1.2403424278719948e-05,3.2897305140553756e-06,,
YEATS4,0.0,0.0,,
ANPEP,3.649185910757473e-05,0.0,,5.0219604661442025e-05
WDR47,0.0,,2.237550343610844e-06,
COL1A1,2.3740754449599443e-06,1.3233715899314792e-06,,
RASD1,0.006483969341739126,3.3023369853429166e-05,3.1078186917324666e-05,0.006136279836131219
RSBN1,5.385713245444675e-06,,,
HIST1H1A,1.0595178665146437e-05,,,2.4873471907441483e-05
MMP14,1.3593243739592462e-06,3.225907687196929e-07,,0.0
ASCL2,8.66209198021954e-05,,,
PROP1,2.8950261362779847e-05,3.7421616815381297e-07,,0.0
ATG4C,0.0,2.121703609180719e-07,1.2602015395331034e-05,
DPT,8.621671186280165e-06,2.080134074177477e-06,0.0,7.805496124893033e-05
GCH1,1.8844246239998294e-06,5.371114956642629e-05,0.0,
PIK3IP1,0.0,,,
RNASE4,5.0834889659482234e-05,0.000951384831687636,1.200387323275043e-05,8.642357118343365e-05
LILRB3,1.2633263236414363e-05,1.2845446914822458e-05,0.0,
KCNMB1,1.6481305274711867e-06,4.727164958683145e-06,0.00011265124814899154,1.474787833498664e-05
MTA1,0.0,5.5833222891624176e-05,2.7801041167724525e-06,
COL5A1,1.5497590673958429e-06,4.2287392986380874e-05,3.253149562251089e-06,0.00016927359474411938
SLC6A17,2.80121027498642e-05,,,1.0822517142077971e-05
TTC14,1.6173438732446623e-06,,,
EIF4ENIF1,0.0,3.36409290404272e-06,0.0001566692426769311,1.2556866766888085e-06
NMI,7.065693521877636e-06,6.559616598181356e-06,4.581979977940256e-06,0.0
NKX6-2,2.562055868267434e-05,,,
GALNT3,1.0371884446753887e-06,6.596874632704664e-07,,1.5491953027324068e-06
REST,0.0,,,0.0
PLA2G3,1.9010115480172526e-05,5.57206977365341e-07,,
LRRC6,3.542576406128321e-06,,,
KCNN1,0.00019548164460529493,,,
STK11,0.0,0.0,,
EFNA5,6.517336697116427e-07,,,
AIRE,1.2742185855425589e-05,0.0,,0.0
TFF2,0.0,3.9569890391905025e-07,,7.228686026665545e-07
ANKRD26,0.0,,,
SUCLG2,0.0,1.7914137430603758e-06,5.126045185424787e-06,
NUDT11,3.8956101037811277e-07,,,
SOCS2,6.478665778876709e-05,1.3724747084914167e-06,,0.00020858683656010168
