,SARS,MERS,Influenza,Ebola
DCT,0.112474473983088,0.0674053679475386,0.11718850080179292,0.10571548903999274
SPACA1,0.09863470029712844,,,
FUT2,0.1303539532069316,,,
APC2,0.12831752294219714,0.06690729603337366,0.12138870034927783,
ADAM33,0.11157853617471478,0.0487543025828638,0.05845989570726512,0.22103001476991266
ATP6V1C1,0.015968530550633325,0.049970908885350676,,0.03484400489396411
RASGRF1,0.12999024044647264,0.016328163038185992,,
DDX10,0.11275264965092176,0.01646727411838353,,
PPP1R11,0.06536462026324472,,0.029538262835001616,
ALDOA,0.015968530550633325,0.06683284077499269,0.059422185372989114,0.034937466014138115
MYO18B,0.1817997563534862,,,
DMC1,0.1137281416039763,0.016542625953490528,,0.034937466014138115
RPL22,0.08177068210863113,0.03337289547338193,0.15335739098820517,
CTNNA2,0.22170460407218873,,,
CHGA,0.03268485612766207,,,
WWC2,0.08076217647501793,,,
CD177,0.031663728648316826,0.049743348756121845,0.14845638409278383,0.14039156028916708
RGS4,0.4671348435613258,0.050833975238207915,,0.14535213824131776
ADPRH,0.11199189860651632,0.049614571519080976,0.1473352891149565,0.035540715062533985
EMX1,0.0824070770320223,0.06526719265090318,0.146451334379458,0.14214762953020182
ZEB1,0.45400755760279665,0.18648153705209866,0.1228838496806924,
ZC3H7B,0.11286425279221952,,0.02934452696157572,0.06978437883124752
LRRC48,0.15363144400759493,,,
C1QTNF1,0.06354147610434123,,,
FANCC,0.08047349662936054,,,
COL4A1,0.1458959632876794,0.032915426491468426,0.02935744268647078,0.1431437625545532
EXOSC6,0.31871856409011445,0.01655421854350699,,
PPIF,0.04849498564937644,0.016632468526118105,,
NHLRC2,0.06501964373005999,0.03314950771462651,,
SCRT2,0.14097533226008302,,,
ALX4,0.12856926402821356,,,
SYNPO2,0.394943337533126,0.01646727411838353,0.18664279173080628,0.07055519793064949
GUCA1B,0.03242588211514123,,,0.14407831111109237
SERPINF2,0.12884526092030996,,,0.10902714297618671
KBTBD2,0.048974585581239266,0.06647066882896403,0.21367696071674452,
PDIA4,0.03179072328160433,0.08238602147913163,0.1497667230725982,0.10663152099314999
ASCL2,0.13628864664928303,,,
GPR114,0.16105603387381862,0.0497731665920178,,0.07090947075610642
FOXE3,0.09929810378583935,,0.05867298456120696,0.17678068241316222
NRTN,0.06400633661429894,,,
SOCS6,0.015968530550633325,0.01646727411838353,0.058905550036624676,
TCF15,0.21271035189777912,0.0326587966283427,0.08687612646043322,0.34797507684480644
GJC1,0.08149507967766301,0.016568709281027567,0.18344211222248305,
PIP5K1A,0.06425183837627556,,,0.17634922505786707
FOXJ1,0.3142214450369721,,,
TNFSF14,0.4985048017884747,0.016029653845262108,0.02975783015821763,
TAT,0.19622417601690126,,,
IRX4,0.06445693648729028,0.12053469895562935,,
KISS1R,0.12844536013682617,,,0.035107395323545405
ZAN,0.07964239814613354,0.11644969454295184,0.15011972933148338,0.24846639599125542
DDR2,0.22326690768785865,,,
DAGLA,0.032197373579593486,0.1912772305880718,0.2035980553825784,0.26214873441022923
SEMA3G,0.13817837350074266,0.06562978435091117,,
IGFBP5,0.20065967896122844,0.08324473661156886,,
PTCH2,0.14562612093711674,0.1668203493100484,0.05930288056489333,0.17682556824582377
CADM3,0.015968530550633325,,,0.035600190320826536
SV2A,0.13099758727044794,0.03274017056159503,0.11596926407182537,0.035659665579119086
SLC8A2,0.14964345088887163,0.13048577103218628,0.029577010009686797,0.21446421194433213
LBH,0.17817866265107282,0.033016378374095025,,
ARVCF,0.06450176152677592,0.11546649827260513,0.2052308833897148,0.26030473383339087
PXDN,0.23257116984646029,,,
TLX2,0.11374894769923204,0.15532644973186055,,
SPRN,0.16639290651053507,0.016542625953490528,0.057391197936654315,0.07055519793064949
FCER1G,0.13092436550302375,0.2049388336395284,0.11842100484254196,0.25477553624248317
POU3F1,0.08321991850536034,0.22144722157177033,,0.0707412266312712
SCN3A,0.4481642071500072,0.18620248934027553,,0.10773888684800616
PLA2G4C,0.5548843711900819,0.0665896128264743,0.05975838416482671,
ECEL1,0.21528230929044703,,,
CRYZL1,0.06166225208817758,,,
VSIG2,0.7112068839507208,,,0.035600190320826536
EPOR,0.06452459959935301,,,
CHAC1,0.015968530550633325,0.23838501017336092,0.11583960554380826,0.03447016041326808
HIF3A,0.062105337500845764,0.13230909837607527,0.1165086115031861,0.45557322278232615
HNF4A,0.07949715241205552,,,
RARRES2,0.12589478522760766,,,
ITGAL,0.06368263330390696,,0.0289505973522764,
DHH,0.11442863447854851,,,
ATOH8,0.0626397859057348,0.08196096316376685,0.1473877863942208,0.06947568436991465
OTOF,0.11450719361694706,0.06478859617709944,0.11842100484254196,0.3339046835529236
RAB18,0.032197373579593486,,0.029531804972554084,
NGLY1,0.015968530550633325,,,
CD55,0.13293006604981528,0.06496062935466365,0.02988698740716823,
PLCB2,0.06518554012016259,,0.06005203857788168,
SYT3,0.08003365399082665,,,0.14316856511251297
ATN1,0.11684351331688274,0.016304977858153068,0.029053923151436872,0.035107395323545405
HCFC1,0.04804236968853689,,,0.10769867561088577
DAND5,0.09229210443365544,,0.17980949766230114,
RNASE1,0.031346817078876,0.03362608362670065,,0.14050485082166803
SMOC2,0.031571210455579216,0.03337289547338193,0.05879906743013378,
TRO,0.16690341272795453,0.0679122168832232,,
CYBRD1,0.11739068070437167,0.03285481827296091,,0.14512717491956606
NEGR1,0.18090008258628915,0.08434102106050817,0.058795769545297694,
RHPN1,0.03242588211514123,0.048769657362524435,0.05938365060713259,0.17713269997396897
PDE4C,0.20304570212757253,0.0328561220051009,,0.10773888684800616
PSPH,0.04881979426324367,0.05086519746962469,,
CYB561D1,0.1141132460142459,0.01600357051772507,0.05936740212431021,
HSPA1A,0.1113406637845149,0.17256753863924562,0.12334562812722423,0.4757015630560988
COL6A2,0.06508183508488807,,,0.21470556307621147
RUNX2,0.18231304564956444,,0.02837584759444624,
GJA4,0.1133017007761835,0.32164171691906385,0.24244605560182445,0.10697930450984497
FTMT,0.30060373199880847,0.10039436494551957,0.05821781225564069,0.5471383078899383
SLC15A2,0.1758398612303196,0.016076024205327954,,
CHRM1,0.09978921472822064,0.016542625953490528,,0.07105220197032719
NYX,0.06560446628267479,0.032755856727488486,0.08757038062894236,0.0707313428278043
MMRN2,0.18090968960753692,0.03297833207809266,,0.1789284938969767
ITGAM,0.1852412990830978,0.15059517419110224,0.14308507111136973,0.17599720539402638
IFIT2,0.7444067065667925,0.4408123178526404,0.6346683608802707,0.07019068858867625
OMP,0.04750513316382116,,,
PROP1,0.11684771603105043,0.03256372226854966,,0.035659665579119086
PRSS36,0.23677762330560348,0.06522469578457915,0.3376191342514837,0.24940836774749478
PNPLA5,0.6434135316157106,,,0.035107395323545405
CD163,0.17300909103297013,0.016275996383111915,,0.0353452963567156
ALOX15,0.06493750000093261,,,
OXT,0.09940850185805754,0.06408852893783848,0.1435098815648795,0.10531918974090097
UBOX5,0.0807655283684514,,,
NPY,0.17344636440244565,,,0.07105220197032719
NPBWR1,0.2515087921295268,,,0.035659665579119086
MASP2,0.04682163703941133,0.032864396515082266,0.0289505973522764,0.14551593421342396
SLCO2A1,0.2540581245106474,0.1036591320120692,,0.034623096791734635
GPR97,0.06458005849341476,0.07701644667533769,0.05930288056489333,0.25292526084524325
MAK,0.5132612476509669,,0.0289505973522764,0.14256524154908057
ANGPT4,0.16571335681335217,,0.02837584759444624,0.10418074963852546
NLRP12,0.09795949560376233,,,
PLXNC1,0.19861021100606296,,,0.034504146275149535
UCN2,0.0983432601722855,0.016632468526118105,,
