,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ATP6V1G2,0.6427768760144837,0.5644318676534611,0.5226098191214474,0.4932354078082719,0.45856191939140595,0.4074463696369547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASD1,0.840866525159196,0.7722391525177769,0.7281766093697337,0.6950135291843834,0.6582181259600616,0.6227722772277223,0.5900951842427663,0.571206267439364,0.5311716230741669,0.5114591809058862,0.4829736761554955,0.4603361198188795,0.4398470770421988,0.42161339421613314,0.4044759825327503,0.38575268817204234,0.377327327327327,0.3677424863387981,0.3645472061657035,0.3494415807560139,0.338607594936709,0.3412710970464135,0.34623085983510016,0.3308349146110058,0.3271349862258953,0.32453806356245374,0.3218572587185727,0.32940125111706875,0.3231884057971014,0.3312236286919831,0.3202502844141067,0.31038647342995146,0.2966926070038909,0.2974683544303797,0.31349206349206366,0.312820512820513,0.30979284369114896,0.3045267489711936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAB2IP,0.623236359096017,0.5411406181976491,0.5001404336591406,0.43953743074345575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAP2,0.7090148582844301,0.6197213757074445,0.5774070329176497,0.5449362195593348,0.5189817862628913,0.4953382838283812,0.47007822071435246,0.4546039922730199,0.429206974799953,0.41168294005967115,0.3961968166513635,0.38279345175896884,0.3727739063104911,0.3380626223091962,0.3188379427462387,0.2781854838709674,0.2736936936936935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPSM1,0.6842302409788988,0.5780728486431578,0.539293337827211,0.5120474165700301,0.48599224636090954,0.45965346534653073,0.4234991989444885,0.412803176647349,0.38424101277917416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMC5,0.6877263079036084,0.6041213176607169,0.5626895854398383,0.5276381909547745,0.49882963938263514,0.47318481848184535,0.4463764018471383,0.4121592616441294,0.33530395318285977,0.3096352047735339,0.28014233241506015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42SE1,0.5721688100886503,0.50962608232961,0.43819514661274095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATRX,0.6865401423398677,0.5945436076041213,0.5553589484327606,0.5257376626723361,0.4941847706824656,0.46819306930692706,0.43447837150127055,0.41291049581455247,0.3711334049922437,0.2713249254136179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR60,0.6495817205643651,0.5725584095196634,0.5369340523536688,0.5070545032856588,0.4744715090337166,0.44290429042903584,0.4036612948826657,0.33835050440009495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YBX2,0.6074416281683107,0.5420113191118852,0.5010953825412884,0.46016943692822515,0.41481969131737584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPHA2,0.7469721563241354,0.6565084893339138,0.6077968767554209,0.5664218528540138,0.5265159827371819,0.4962046204620446,0.46687399868061286,0.44789654432281445,0.41586050400095503,0.3969012747491206,0.3710973370064301,0.3508359456635317,0.3436895083236541,0.3345836051315487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROR1,0.6620052441003871,0.573719344071978,0.5260925738681053,0.49568354593480257,0.46488918147904096,0.4296410891089039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARD14,0.7083905606193034,0.6258888405166159,0.5875463431075161,0.5609457544130911,0.5279789335088866,0.49104785478547613,0.4605597964376576,0.44188667095943274,0.4136510211393776,0.3936804990507216,0.36991123354759964,0.35414489724834536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC57,0.6010113622175054,0.5415759686547672,0.5074429839343911,0.4731187991238221,0.42120181405894563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
