column_names	experiment	host	virus	variant	dose	time
EB1_WT_0h__b	ehuh1	Huh cells	Ebola	WT	unknown	0h
EB1_WT_0h__p	ehuh1	Huh cells	Ebola	WT	unknown	0h
EB1_WT_00h__b	ehuh1	Huh cells	Ebola	WT	unknown	00h
EB1_WT_00h__p	ehuh1	Huh cells	Ebola	WT	unknown	00h
EB1_WT_8h__b	ehuh1	Huh cells	Ebola	WT	unknown	8h
EB1_WT_8h__p	ehuh1	Huh cells	Ebola	WT	unknown	8h
EB1_WT_18h__b	ehuh1	Huh cells	Ebola	WT	unknown	18h
EB1_WT_18h__p	ehuh1	Huh cells	Ebola	WT	unknown	18h
EB1_WT_24h__b	ehuh1	Huh cells	Ebola	WT	unknown	24h
EB1_WT_24h__p	ehuh1	Huh cells	Ebola	WT	unknown	24h
EB1_WT_48h__b	ehuh1	Huh cells	Ebola	WT	unknown	48h
EB1_WT_48h__p	ehuh1	Huh cells	Ebola	WT	unknown	48h
EB1_mucin_0h__b	ehuh1	Huh cells	Ebola	mucin	unknown	0h
EB1_mucin_0h__p	ehuh1	Huh cells	Ebola	mucin	unknown	0h
EB1_mucin_00h__b	ehuh1	Huh cells	Ebola	mucin	unknown	00h
EB1_mucin_00h__p	ehuh1	Huh cells	Ebola	mucin	unknown	00h
EB1_mucin_8h__b	ehuh1	Huh cells	Ebola	mucin	unknown	8h
EB1_mucin_8h__p	ehuh1	Huh cells	Ebola	mucin	unknown	8h
EB1_mucin_18h__b	ehuh1	Huh cells	Ebola	mucin	unknown	18h
EB1_mucin_18h__p	ehuh1	Huh cells	Ebola	mucin	unknown	18h
EB1_mucin_24h__b	ehuh1	Huh cells	Ebola	mucin	unknown	24h
EB1_mucin_24h__p	ehuh1	Huh cells	Ebola	mucin	unknown	24h
EB1_mucin_48h__b	ehuh1	Huh cells	Ebola	mucin	unknown	48h
EB1_mucin_48h__p	ehuh1	Huh cells	Ebola	mucin	unknown	48h
EB1_ssGP_0h__b	ehuh1	Huh cells	Ebola	ssGP	unknown	0h
EB1_ssGP_0h__p	ehuh1	Huh cells	Ebola	ssGP	unknown	0h
EB1_ssGP_00h__b	ehuh1	Huh cells	Ebola	ssGP	unknown	00h
EB1_ssGP_00h__p	ehuh1	Huh cells	Ebola	ssGP	unknown	00h
EB1_ssGP_8h__b	ehuh1	Huh cells	Ebola	ssGP	unknown	8h
EB1_ssGP_8h__p	ehuh1	Huh cells	Ebola	ssGP	unknown	8h
EB1_ssGP_18h__b	ehuh1	Huh cells	Ebola	ssGP	unknown	18h
EB1_ssGP_18h__p	ehuh1	Huh cells	Ebola	ssGP	unknown	18h
EB1_ssGP_24h__b	ehuh1	Huh cells	Ebola	ssGP	unknown	24h
EB1_ssGP_24h__p	ehuh1	Huh cells	Ebola	ssGP	unknown	24h
EB1_ssGP_48h__b	ehuh1	Huh cells	Ebola	ssGP	unknown	48h
EB1_ssGP_48h__p	ehuh1	Huh cells	Ebola	ssGP	unknown	48h
EB2_WT_deltaVP30_0h__b	ehuh3	Huh cells	Ebola	WT	moi10	0h
EB2_WT_deltaVP30_0h__p	ehuh3	Huh cells	Ebola	WT	moi10	0h
EB2_WT_deltaVP30_8h__b	ehuh3	Huh cells	Ebola	WT	moi10	8h
EB2_WT_deltaVP30_8h__p	ehuh3	Huh cells	Ebola	WT	moi10	8h
EB2_WT_deltaVP30_24h__b	ehuh3	Huh cells	Ebola	WT	moi10	24h
EB2_WT_deltaVP30_24h__p	ehuh3	Huh cells	Ebola	WT	moi10	24h
EB2_WT_deltaVP30_48h__b	ehuh3	Huh cells	Ebola	WT	moi10	48h
