,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
MADD,0.591154667671818,0.5254919279650624,0.4966079470953818,0.44109562144118997,0.34881297908758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC25,0.7679984922728986,0.691226262328868,0.6451171540961178,0.6065187512271747,0.5698072486418091,0.5322580645161273,0.49812138728323646,0.4708498023715417,0.4376840942562606,0.41677135678392185,0.3975209221537991,0.3778704700394685,0.3273092369477893,0.3055179417738641,0.29176072234762884,0.24553620784964095,0.24157338308457857,0.23382925965285264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBPC3,0.7585123759266239,0.6507434123362286,0.5928111282138989,0.5504941422867993,0.5187169755153673,0.48857526881720165,0.4619701348747577,0.4401624945103205,0.3692317133038877,0.3339963707426089,0.2862387494078632,0.26049515608180346,0.2437349397590335,0.22086436470322623,0.20537998495109133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTN3,0.7105163965322276,0.6427940527013102,0.5984550481728522,0.5690817461875789,0.5440946639874984,0.5160030241935463,0.4894508670520204,0.4731554677206827,0.44231713303878173,0.42563512004466997,0.3998894678667317,0.3794851094366712,0.3663654618473895,0.27772511848340936,0.25252069224981005,0.2361249309010509,0.23420398009950436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR176,0.6254554592285463,0.5577555326561656,0.5084658799384305,0.4731166961188517,0.4204621567314039,0.36212617607526615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASP1,0.6632114587259705,0.5731635507139703,0.5166752180605442,0.4877609791216688,0.44144898414823835,0.4000966061827887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL4A1,0.7048624199019977,0.6308700132489328,0.5918134655948921,0.5520976503697881,0.518754186202276,0.48727318548386855,0.45438342967244727,0.4357707509881431,0.4065108001963692,0.32227107761027834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDK4,0.7599572810654605,0.6854850581480937,0.6306367937973891,0.582400680672819,0.544727245664955,0.5107526881720412,0.4818882466281302,0.46151734738691225,0.4225576828669623,0.3991834170854304,0.3792831201642213,0.3599300322927875,0.35130522088353316,0.3403294967275993,0.3258339603712052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIA,0.7497801231310466,0.6578095097894893,0.5896186078330768,0.5475816480136132,0.50870730073677,0.47752856182795494,0.44417148362235087,0.4218269653052275,0.390648011782036,0.3602735901730915,0.2717906205589749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXH1,0.5906520919713532,0.5341528043574271,0.4982897212245601,0.4504875973558408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
