,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,4,1.0916336637463062e-05,-96.0,-0.03855421686746988,-1.7269135090439997e-07,-0.09596263276941698,0.003928462625915242
AACS,1,5.909211059480728e-06,773.0,0.1372026979055733,7.38651382435091e-08,inf,0.0024965572488657695
AADAC,6,4.693320041685526e-05,336.0,0.14058577405857742,6.923985406447836e-07,0.3464808528107607,0.007068687540077932
AAK1,15,0.0016344854283317804,71.0,0.2132132132132132,3.699644307106585e-05,0.40720339803079403,0.02201460187676194
AAMP,3,7.301772867320661e-06,745.0,0.14061910154775387,8.794483439717398e-08,1.1107760219763791,0.004177154185828179
AARS,4,1.542786877345355e-05,-110.0,-0.04735256134309083,-2.4773665973047155e-07,-0.11647592484259789,0.004254022311513164
AASDHPPT,4,2.52318782462455e-05,1733.0,0.307596734114306,4.20342583358051e-07,inf,0.005173567232304439
AASS,6,5.4918498246420527e-05,680.0,0.21256642700844014,8.286701827027494e-07,0.911680455123285,0.008091762098049347
AATF,0,1.9923729268295385e-05,-540.0,-0.18802228412256267,-5.058400269541304e-07,-0.4068541591192789,0.0
AATK,12,0.00015743065741404254,250.0,0.19011406844106463,3.392402044923107e-06,0.4736343091871916,0.011702522343537193
ABCA1,2,9.122900624482739e-05,-149.0,-0.15602094240837697,-3.455962178794352e-06,-0.2609739872553015,0.005258869426904983
ABCA3,4,0.00015044630212705085,-42.0,-0.07706422018348624,-8.376406570817773e-06,-0.2210195503993338,0.007256562452116424
ABCA5,7,5.384319862643602e-05,594.0,0.20864067439409906,9.347618213491741e-07,0.7393222937209336,0.00816923201669312
ABCB10,0,0.0,,,,,0.0
ABCB6,3,2.5792412248048723e-05,-79.0,-0.023975720789074353,-6.929946227331315e-08,-0.08357124133124086,0.004556420278048096
ABCB7,0,0.0,,,,,0.0
ABCB8,0,7.160379317629862e-06,-125.0,-0.027091460771564803,-1.1122440920838877e-07,-0.5120907490390145,0.0
ABCB9,2,7.1629732716878915e-06,688.0,0.13200306983883345,8.175179955705424e-08,0.8773956608488959,0.0036443028935785157
ABCC3,0,0.0,,,,,0.0
ABCC4,0,0.0,,,,,0.0
ABCC5,0,0.0,,,,,0.0
ABCC8,2,8.674865351530545e-06,924.0,0.16400425985090522,1.1649910377437827e-07,inf,0.0032781999386387838
ABCD1,0,0.0,,,,,0.0
ABCD3,6,1.811769482123778e-05,-23.0,-0.011352418558736426,-2.1979754769454382e-07,-0.07528481945214266,0.004979694803460293
ABCD4,1,2.8473599486007615e-06,647.0,0.11483848065317714,3.559199935750952e-08,inf,0.0020745677361098764
ABCE1,0,3.10418658913275e-05,-591.0,-0.21680117388114453,-6.381851408939393e-07,-0.44390973167897774,0.0
ABCF1,3,2.4802392052099455e-05,355.0,0.0953532097770615,2.0346015415640212e-07,0.36049497980856904,0.005054055159558733
ABCF2,0,0.0,,,,,0.0
ABCF3,0,0.0,,,,,0.0
ABCG1,0,0.0003525025788999095,-530.0,-0.7152496626180836,-1.3859740912471125e-05,-0.6529385050282258,0.0
ABCG2,3,1.0264991590380075e-06,-40.0,-0.011031439602868174,-5.106217689452528e-08,-0.08332427768181479,0.002038583949473377
ABCG5,0,0.0,,,,,0.0
ABHD1,0,0.0,,,,,0.0
ABHD10,9,0.00023050713436857236,3072.0,0.6659440711034035,4.803517743563025e-06,22.1078810242069,0.025039879521247314
ABHD11,8,0.00015303029022512745,1496.0,0.4830481110752341,3.6446660343581224e-06,3.626935046288111,0.014422289434777745
ABHD13,0,0.0,,,,,0.0
ABHD14A,0,0.0,,,,,0.0
ABHD14B,0,0.0,,,,,0.0
ABHD2,0,0.0,,,,,0.0
ABHD3,0,0.0,,,,,0.0
ABHD6,0,0.0,,,,,0.0
ABHD8,3,6.898566865575846e-06,342.0,0.07795760200592661,6.458106443412308e-08,0.2252396222190177,0.0035680603167679635
ABI3,4,8.610914286034757e-06,-37.0,-0.012793914246196404,-5.882044674693951e-08,-0.0481600605629037,0.003762502073543493
ABI3BP,3,0.00010209546643389126,-65.0,-0.08689839572192513,-3.895287406648803e-06,-0.1871871575220825,0.006186739098088549
ABL1,4,5.120055707733808e-06,-18.0,-0.005139920045688178,-2.4551525778422502e-08,-0.03607190367265339,0.00331757434934466
ABL2,7,0.000591670663362575,-28.0,-0.10810810810810811,-3.972634420493317e-05,-0.26925503505069365,0.011520140649164647
ABLIM1,0,0.0,,,,,0.0
ABLIM2,2,2.3924946589280755e-05,-374.0,-0.13739897134459955,-4.5354126263889085e-07,-0.3150612205025064,0.0037017822366505423
ABLIM3,2,1.1158391848807903e-05,413.0,0.09527104959630911,1.1012804741021991e-07,0.36718833705881015,0.0037447494511407982
ABT1,0,0.0,,,,,0.0
ABTB1,3,6.243574895141766e-06,-179.0,-0.056377952755905514,-1.5291705438322553e-07,-0.16414750159222324,0.003110439338912791
ABTB2,3,6.212232825677765e-05,-137.0,-0.12353471596032461,-2.560075845291741e-06,-0.25164188198524456,0.005326629282001908
ACACA,0,0.0,,,,,0.0
ACAD10,0,0.0,,,,,0.0
ACAD9,0,3.393285794005506e-05,-638.0,-0.2342143906020558,-6.686952686462274e-07,-0.4646985599063024,0.0
ACADM,4,4.173647369647181e-05,1855.0,0.36587771203155817,7.60722525909805e-07,6.525114250023891,0.00977840473888838
ACADSB,9,0.00012166265653181374,2832.0,0.5997458703939009,3.01887362534596e-06,15.80193032419181,0.01958484756697197
ACAN,6,8.406212623316675e-05,1034.0,0.326285894603976,1.5400408719383154e-06,1.643215848130813,0.009882903617190247
ACAT1,3,1.8749134704254434e-05,541.0,0.12687617260787992,2.1057859536269782e-07,0.6519426923809548,0.00496543889942739
ACAT2,2,1.5767535938686856e-05,1204.0,0.21370252041178558,1.9925258172633828e-07,inf,0.003828035852484609
ACBD3,3,1.7577326879245444e-05,1350.0,0.23961661341853036,2.50158829774714e-07,inf,0.0043657580807399754
ACBD4,2,0.0001327487212139698,-204.0,-0.1472924187725632,-1.6170297637978902e-06,-0.2526921257284283,0.005798817223226283
ACBD5,3,0.0011000790478524465,-96.0,-0.22377622377622378,-2.0694529540110155e-05,-0.3703194954998913,0.01032258562588214
ACD,0,0.0,,,,,0.0
ACE,0,1.1080024625955547e-05,-394.0,-0.09419077217308153,-1.877299220490005e-07,-0.5406265264237503,0.0
ACE2,4,3.3070805061297845e-05,1865.0,0.33102591409300675,4.997840491723702e-07,inf,0.005549587336747949
ACHE,7,8.449920551656894e-05,302.0,0.16038236856080723,1.4061581595693642e-06,0.4125816667131573,0.008632198912264832
ACIN1,0,0.0,,,,,0.0
ACO1,0,0.0004382168157300146,-195.0,-0.39634146341463417,-2.229117207794889e-05,-0.4975877038136693,0.0
ACOT11,0,0.0,,,,,0.0
ACOT7,0,1.0187188844161394e-05,-300.0,-0.07246376811594203,-1.6792712739575436e-07,-0.46008508478987703,0.0
ACOT8,0,0.0,,,,,0.0
ACOX1,1,3.709400354126689e-05,-672.0,-0.28187919463087246,-9.783332480443785e-07,-0.48712591168795305,0.0031665749104937296
ACOX2,0,0.0,,,,,0.0
ACP1,1,5.006129596815363e-06,513.0,0.10132332609125025,5.0840182142472764e-08,0.43318239258010655,0.0026095873225020537
ACP2,0,3.3413929157127005e-05,-672.0,-0.25358490566037734,-7.325390713171496e-07,-0.47897895285760017,0.0
ACP5,2,1.7129886111139513e-05,-157.0,-0.08198433420365535,-6.61707731807248e-07,-0.19987631580584345,0.003566121717400457
ACP6,0,6.830558904620331e-05,-479.0,-0.2744985673352435,-1.7745488675263878e-06,-0.438338540250755,0.0
ACPL2,0,0.0,,,,,0.0
ACPP,2,1.487425975471408e-05,735.0,0.15431450766323745,1.75819857999121e-07,0.9660213785992345,0.004436989492708779
ACR,4,2.1107110348529386e-05,587.0,0.14708093209721873,3.16376831588687e-07,0.7445697913427861,0.005584754788915705
ACRBP,8,8.44734259235409e-05,434.0,0.21549155908639522,1.8626099991795554e-06,0.6301606775364723,0.009308407283837132
ACSBG1,0,0.0001837029495995017,-436.0,-0.4613756613756614,-7.028058165507014e-06,-0.523201110699077,0.0
ACSL1,0,0.0,,,,,0.0
ACSL3,1,8.251626739204227e-06,884.0,0.156904508342208,1.0314533424005284e-07,inf,0.0027201343114228583
ACSL4,10,0.00019958780697215022,486.0,0.3131443298969072,5.415846281395952e-06,1.0582683373143655,0.013075472999479984
ACSL5,0,0.0,,,,,0.0
ACSM1,0,0.0,,,,,0.0
ACSM3,0,0.0,,,,,0.0
ACSS1,3,5.221689839251127e-06,-208.0,-0.06240624062406241,-1.496547065840875e-07,-0.18779785141572472,0.002950954561506476
ACSS2,5,8.901378600471601e-05,2136.0,0.47392944308852897,1.7422898281306455e-06,6.990615576396692,0.012826153452627363
ACTA1,0,0.001820447229564393,-120.0,-0.5084745762711864,-0.00010057154919600705,-0.5731792125791395,0.0
ACTA2,3,1.6036602199336973e-05,-34.0,-0.014443500424808835,-1.1292018201955964e-07,-0.05441539782398441,0.004082740608527554
ACTB,9,0.00029067982424311583,850.0,0.44902271526677234,7.556724715955807e-06,2.2326577232881077,0.01588730412809259
