,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,4,0.32023068127120263,-1.0,-0.0004578754578754579,-0.015280384819716185,-0.2815934436400428,0.19794151045314792
AACS,2,0.47992391715009886,688.0,0.12089263749780355,0.00208747497983357,0.2882529971705398,0.23234490181253675
AADAC,8,0.4933513481135197,362.0,0.16522136010953903,-0.010478004644232805,-0.19337508354870847,0.2787616640587547
AAK1,12,0.70009561366069,105.0,0.23702031602708803,-0.027753880570558234,-0.22908468459852108,0.3316630380590249
AAMP,4,0.4632235297543893,500.0,0.1104728236853734,-0.002942125015899053,-0.1353818280686875,0.2366517483278451
AARS,5,0.08278084248535658,214.0,0.05906707148771736,-0.010383421218357624,-0.30038749794292957,0.14795562046312727
AASDHPPT,5,0.9545583120028476,1875.0,0.3323289613612194,0.015165967381866999,2.0654433847871094,0.4564908252185971
AASS,7,0.5698528610334322,432.0,0.15749179730222385,-0.006564950565979916,-0.1523240775949817,0.28517759915835217
AATF,0,0.030091228365540772,-310.0,-0.13901345291479822,-0.018708009231759103,-0.3501925997320528,0.0
AATK,10,0.47759701905697427,136.0,0.1431578947368421,-0.022714583314647444,-0.2595854291652559,0.2813214451179675
ABCA1,3,0.48704370949279857,95.0,0.08796296296296297,-0.022329941720313447,-0.27225491140586616,0.20690343775359663
ABCA3,2,0.07947132820216499,-75.0,-0.1485148514851485,-0.04122077166687657,-0.356952359868868,0.11030622951136944
ABCA5,5,0.5698055490772133,298.0,0.12828239345673698,-0.009369121232871362,-0.18740576652766144,0.25717194782881814
ABCB10,0,0.0,,,,,0.0
ABCB6,2,0.4320934875584871,165.0,0.05015197568389058,-0.008247274273093838,-0.229423115086145,0.18568810950783
ABCB7,0,0.0,,,,,0.0
ABCB8,0,0.006284109672943549,617.0,0.10984511304967064,-0.004834962339263909,-0.3411693955577513,0.0
ABCB9,3,0.46694656978000215,870.0,0.159808963997061,-0.0003866043383397612,-0.026814185708435676,0.2317592152043905
ABCC3,0,0.0,,,,,0.0
ABCC4,0,0.0,,,,,0.0
ABCC5,0,0.0,,,,,0.0
ABCC8,3,0.6956255631564513,1114.0,0.1966460723742277,0.006790572368684318,0.9310246177891495,0.32215379215274276
ABCD1,0,0.0,,,,,0.0
ABCD3,10,0.5948464597159756,523.0,0.21737323358270988,-0.006627487317541023,-0.13381487209250365,0.3190452635829615
ABCD4,2,0.500602265386353,878.0,0.15498676081200352,0.002282907660060022,0.31299912824095427,0.23679349185320298
ABCE1,0,0.01786349996430985,-136.0,-0.035751840168243953,-0.010069878561253229,-0.34669618360724425,0.0
ABCF1,2,0.3524551368552931,83.0,0.028221693301598096,-0.011035437226276736,-0.2625375682203569,0.17283703077507853
ABCF2,0,0.0,,,,,0.0
ABCF3,0,0.0,,,,,0.0
ABCG1,1,0.06319253396473251,-196.0,-0.16333333333333333,-0.026905134839059326,-0.3507857907429386,0.08793079765247412
ABCG2,4,0.08381341901415768,410.0,0.09537101651546871,-0.008335951592597594,-0.30360664052823183,0.14036944256372816
ABCG5,0,0.0,,,,,0.0
ABHD1,0,0.0,,,,,0.0
ABHD10,11,1.2570481488322232,3214.0,0.6839753138965737,0.026921142010776614,1.250518280319777,0.5559469854147406
ABHD11,11,1.0858290811645448,2166.0,0.5769845498135322,0.01771503870044217,0.6067322010134073,0.48123861110039046
ABHD13,0,0.0,,,,,0.0
ABHD14A,0,0.0,,,,,0.0
ABHD14B,0,0.0,,,,,0.0
ABHD2,0,0.0,,,,,0.0
ABHD3,0,0.0,,,,,0.0
ABHD6,0,0.0,,,,,0.0
ABHD8,4,0.40788898064678963,445.0,0.09551405881090362,-0.003321220458722053,-0.1538678577073101,0.22703723119024433
ABI3,6,0.34311363216938645,358.0,0.09725618038576474,-0.007301140456444543,-0.2139195480935202,0.23335728774166978
ABI3BP,4,0.2968553505466478,-23.0,-0.042279411764705885,-0.037236326578246534,-0.331633737296001,0.18718987134665338
ABL1,2,0.417073620202385,70.0,0.024964336661911554,-0.010742130345329802,-0.25147656684757785,0.18143400956188718
ABL2,3,0.5984426442988875,3.0,0.01910828025477707,-0.06587532638264079,-0.3345444442459286,0.20792482181282587
ABLIM1,0,0.0,,,,,0.0
ABLIM2,4,0.44092216284908303,219.0,0.06803355079217148,-0.00818415621289921,-0.22574146959409136,0.22264603054457013
ABLIM3,3,0.45553936272826356,814.0,0.15090841675936226,-0.000424010835638677,-0.02935686700190306,0.22998025092668228
ABT1,0,0.0,,,,,0.0
ABTB1,5,0.43162513876612596,246.0,0.06471981057616416,-0.0056760096010822735,-0.19532551396356226,0.2380102391603656
ABTB2,2,0.42221154134186006,24.0,0.042704626334519574,-0.03435395978361461,-0.3094418348239047,0.1755623601598873
ACACA,0,0.0,,,,,0.0
ACAD10,0,0.0,,,,,0.0
ACAD9,0,0.015348312824167565,-146.0,-0.042491268917345754,-0.012189530736672633,-0.34376232920486,0.0
ACADM,5,0.6123863796687079,1148.0,0.2361653980662415,0.0014989074584777912,0.07042570361814611,0.29319118074399303
ACADSB,12,1.2963620930739577,3505.0,0.7201561536881036,0.02958070444853635,1.3907212781314229,0.5838499466859717
ACAN,7,0.713986113394543,1065.0,0.28211920529801326,0.0029726704788302534,0.10210703465943329,0.33578101014633494
ACAT1,4,0.39252879875380864,664.0,0.13397901533494755,-0.0030160874321024725,-0.14498482918752298,0.22635459069501757
ACAT2,3,0.7064978642289674,1250.0,0.22147413182140327,0.006971594666581747,0.950295649836416,0.3248514445768023
ACBD3,4,0.8307483087965648,1475.0,0.2589991220368745,0.01101954649803763,1.5234078810713005,0.39292755551707276
ACBD4,3,0.2964991947640907,-61.0,-0.028773584905660378,-0.016017040018514513,-0.29102243883458667,0.17927428890650834
ACBD5,10,0.615488712783572,253.0,0.2792494481236203,-0.01845239414444276,-0.2071322293747549,0.311346416670339
ACD,0,0.0,,,,,0.0
ACE,1,0.018563117874689374,64.0,0.01479084816269933,-0.009086159023369653,-0.33526007016189835,0.06625003071504808
ACE2,5,0.9694911903306566,2103.0,0.3673362445414847,0.015999912870795968,2.2440885326316313,0.4665031329758701
ACHE,9,0.47276292767697214,264.0,0.16944801026957637,-0.014905231074978528,-0.22181601784789637,0.2798046197819066
ACIN1,0,0.0,,,,,0.0
ACO1,0,0.21458174406903086,-52.0,-0.27956989247311825,-0.07021661834919236,-0.39043433182788423,0.0
ACOT11,0,0.0,,,,,0.0
ACOT7,0,0.009497394299883187,273.0,0.05605749486652977,-0.0072938460173259355,-0.34315993804556094,0.0
ACOT8,0,0.0,,,,,0.0
ACOX1,0,0.025943632457802353,-292.0,-0.14106280193236714,-0.01932479288153635,-0.34781476328878036,0.0
ACOX2,0,0.0,,,,,0.0
ACP1,1,0.006703711415738447,637.0,0.1138109701625871,-0.0048122863595441885,-0.33776587268791447,0.051574746658910466
ACP2,0,0.023179674103819714,-235.0,-0.09045419553502694,-0.016650055370162578,-0.3476656756311841,0.0
ACP5,3,0.29427674990394814,-28.0,-0.0182648401826484,-0.020307104913298346,-0.29908319599884964,0.17810148042652035
ACP6,0,0.02942820417497303,-303.0,-0.135328271549799,-0.01862567104265219,-0.34990514928255295,0.0
ACPL2,0,0.0,,,,,0.0
ACPP,3,0.4016586105847247,943.0,0.1685734715766893,-0.0004244532360094203,-0.029781712146240747,0.22305534642095937
ACR,5,0.40368915916127013,766.0,0.17863805970149255,-0.004074310136845803,-0.14786125266761352,0.24134224948679572
ACRBP,8,0.3684898260058308,388.0,0.1479222264582539,-0.010495358901364,-0.22045974345852345,0.25513893235499807
ACSBG1,0,0.11960160958274788,-113.0,-0.24944812362030905,-0.04471172140138041,-0.3732425834607412,0.0
ACSL1,0,0.0,,,,,0.0
ACSL3,2,0.4957932372961732,869.0,0.15385977337110482,0.0022606237032235625,0.3086121316696659,0.23594333683557978
ACSL4,10,0.5434147200893891,518.0,0.23588342440801457,-0.00893143302728764,-0.16504979929216992,0.3076242261310344
ACSL5,0,0.0,,,,,0.0
ACSM1,0,0.0,,,,,0.0
ACSM3,0,0.0,,,,,0.0
ACSS1,3,0.38857974108220816,52.0,0.018578063594140763,-0.010862099593009128,-0.25401420075108155,0.19689248382537583
ACSS2,7,0.7324590418227033,1431.0,0.3390995260663507,0.0037204967984205972,0.1334242367501581,0.34242815923123393
ACTA1,0,0.39954112468185776,-70.0,-0.29914529914529914,-0.06688529414942208,-0.40731251764972165,0.0
ACTA2,4,0.3624082820330188,32.0,0.014967259120673527,-0.015029529592820376,-0.27368065993277313,0.20538370067944306
ACTB,13,0.6048558171461565,624.0,0.33068362480127184,-0.006687969420838415,-0.11228125374087837,0.3477653731021345
ACTC1,6,0.3481127484239028,371.0,0.10103485838779956,-0.00726996901204156,-0.21247525549790056,0.23444100039219834
ACTG1,13,0.47956128563978995,42.0,0.12574850299401197,-0.03702776076232937,-0.2709558014651563,0.2982931693433364
ACTG2,3,0.05523226206250914,-112.0,-0.11618257261410789,-0.030219604975923006,-0.34694675423261767,0.11256887995056944
ACTL6B,5,0.42362957582561245,780.0,0.1845716990061524,-0.004078866625926877,-0.1464065830342445,0.24452485214675154
ACTL7A,9,0.4890677270906504,417.0,0.16150271107668474,-0.00885545552358015,-0.1842448903906248,0.2877584458023579
ACTN1,17,0.40129138738609094,64.0,0.17344173441734417,-0.03442271401439763,-0.26300710657484255,0.30746895089924936
ACTN2,3,0.20923887587732182,-38.0,-0.21839080459770116,-0.07209018194042811,-0.3822684850004315,0.15158435422192781
ACTN3,8,0.6165314297394697,869.0,0.281959766385464,-0.003131529437350747,-0.07623443051210879,0.3134687080856933
ACTN4,13,0.3731325380710035,29.0,0.08734939759036145,-0.03960903708105476,-0.2891042086214277,0.27628525024553136
ACTR1A,0,0.0,,,,,0.0
ACTR1B,3,0.33828129257273887,156.0,0.05123152709359606,-0.010859726797459935,-0.26246574130782424,0.1896009917287179
ACTR2,2,0.4938992507730994,718.0,0.1272598369372563,0.0021422212619948084,0.2917477416988073,0.234321211896866
ACTR6,0,0.0,,,,,0.0
ACTR8,0,0.0,,,,,0.0
ACVR1,0,0.048751286833362065,-249.0,-0.19453125,-0.02654629585818139,-0.356114419776451,0.0
ACVR1B,0,0.0,,,,,0.0
ACVR1C,3,0.32569878227056376,-13.0,-0.008513425016371971,-0.020214476958905193,-0.29719038062744907,0.18301956728906166
ACVR2A,0,0.0,,,,,0.0
ACY3,2,0.49241145705729567,763.0,0.1333682922565985,0.002263711055661073,0.31561472931364176,0.23566770671744824
ADA,0,0.0,,,,,0.0
ADAM10,3,0.4505504507137107,443.0,0.08833499501495513,-0.0006813538334899272,-0.04629107004604494,0.22695898035326614
ADAM11,3,0.3039702594292317,-28.0,-0.03317535545023697,-0.030209037181046186,-0.32408252316538116,0.17629890226439907
ADAM12,4,0.02233753209654443,34.0,0.009436580627255066,-0.011337828173950779,-0.32713505322545416,0.09868228725337416
ADAM15,7,0.5843811923155425,999.0,0.2758144671452236,-0.002008985045049913,-0.05811223273359993,0.30128516523822857
ADAM19,5,0.41867681202108403,193.0,0.059093692590324556,-0.008179833037662152,-0.22702254280384018,0.23209771497020615
ADAM21,7,0.7003336476625673,987.0,0.25994205952067423,0.0023575399836723056,0.08109770817368969,0.33144357480526726
ADAM23,0,0.0,,,,,0.0
ADAM28,0,0.0,,,,,0.0
ADAM32,3,0.03692402032969115,-60.0,-0.09216589861751152,-0.03613675013847452,-0.34581673728029066,0.1020336093783046
ADAM33,13,0.5704145211353114,539.0,0.33436724565756826,-0.008363117362479418,-0.12802907057459811,0.34034236422596686
ADAM8,9,0.5203181823998965,286.0,0.1623155505107832,-0.013741561591282564,-0.22080193467230763,0.2866286294390933
ADAM9,1,0.10257490985520433,187.0,0.050953678474114444,-0.010611327967892853,-0.3100675981625198,0.10365387572961472
ADAMDEC1,0,0.0,,,,,0.0
ADAMTS1,7,0.5476881057544357,90.0,0.16635859519408502,-0.03044374244651868,-0.27061359151169034,0.26485630048548103
ADAMTS12,0,0.012373229898143335,36.0,0.008327550312283136,-0.009353344746299553,-0.3441153601303719,0.0
ADAMTS14,0,0.0,,,,,0.0
ADAMTS15,0,0.021529474605095113,-235.0,-0.09204857030943987,-0.016778931093145544,-0.3466967657415476,0.0
ADAMTS2,7,0.263997371549961,-21.0,-0.011332973556395036,-0.017793575849412636,-0.2926420189279377,0.21523838857123131
ADAMTS4,0,0.1177697516049432,-74.0,-0.22910216718266255,-0.05095462279397968,-0.3689460223748829,0.0
ADAMTS7,7,0.3893391974056683,349.0,0.11298154742635157,-0.009075345491902524,-0.221307626625815,0.24953529098467656
ADAMTS9,9,0.8352405431121024,1203.0,0.3674404398289554,0.0041791486842456885,0.11605735015780297,0.3753646924152889
ADAMTSL1,4,0.07743423792150556,440.0,0.10246856078248719,-0.00802352900490453,-0.2918251404682806,0.1387654517722987
ADAMTSL2,9,0.3284861844499712,126.0,0.059266227657572904,-0.014207036728646184,-0.25832644249328895,0.24844892414345188
ADAMTSL3,12,0.7676568633746793,1005.0,0.45433996383363473,0.0005677206089307399,0.01054737479242501,0.3828815842024698
ADAMTSL4,0,0.06208152401430449,-154.0,-0.16296296296296298,-0.03116818728152279,-0.3558605002436249,0.0
ADAMTSL5,0,0.4362652835904009,-641.0,-0.28114035087719297,-0.021991949456674327,-0.4307734763861969,0.0
ADAR,0,0.11751747551454353,-120.0,-0.2112676056338028,-0.04120479903827609,-0.3722574262565072,0.0
ADARB1,0,0.021579378519443585,-234.0,-0.08565153733528551,-0.015005290137719406,-0.3466745438085422,0.0
ADC,0,0.0,,,,,0.0
ADCK4,0,0.0,,,,,0.0
ADCK5,0,0.0,,,,,0.0
ADCY1,0,0.0,,,,,0.0
ADCY3,4,0.46255740459266603,467.0,0.10520387474656454,-0.0029406585701617985,-0.1345738534029515,0.23657971197224262
ADCY4,0,0.0,,,,,0.0
ADCY5,0,0.0,,,,,0.0
ADCY7,0,0.028549387495025343,-262.0,-0.10844370860927152,-0.017268747445467428,-0.3489804478228099,0.0
ADCY9,1,0.4023759000971886,-656.0,-0.328,-0.02373590913244423,-0.42324696185879784,0.12960882980798533
ADCYAP1R1,10,0.6095916986965624,727.0,0.28723824575266693,-0.004701219217517899,-0.09666682111018898,0.32774707803929726
ADD3,11,0.6583487287252622,584.0,0.28390860476421975,-0.007117150151704887,-0.12793445680054913,0.3373589215221686
ADH5,3,0.7204202404387916,1296.0,0.22889438361003178,0.007101814018247833,0.9732034758934789,0.3277301845394203
ADHFE1,5,0.34536280373342726,8.0,0.004725339633786178,-0.017925783953463975,-0.28468460626226394,0.212934264440136
ADI1,3,0.4100242427672988,127.0,0.05145867098865478,-0.012764909051365694,-0.2599832453199546,0.1992440641969507
ADIPOR1,3,0.7220669587066592,1378.0,0.24074074074074073,0.007327553408746004,1.0256049339221955,0.3307286843610626
ADIPOR2,5,0.3319238406113937,237.0,0.07567049808429119,-0.010098316550573423,-0.24927130772602077,0.2164397265152135
ADM,4,0.6362847502060713,15.0,0.08771929824561403,-0.0587031835737033,-0.3099435812644621,0.2318842530158094
ADM2,10,0.5490594428386051,376.0,0.18404307391091532,-0.010446558558523396,-0.18736915679179936,0.3040318986484928
ADNP,4,0.3631471908304151,615.0,0.1266735324407827,-0.0031404575101494116,-0.14748779417238778,0.22163247375241613
ADORA1,5,0.38133447141377014,466.0,0.10975035327366933,-0.005364181830781124,-0.1929718281054314,0.23167342770052468
ADORA2A,0,0.0,,,,,0.0
ADORA2B,0,0.0,,,,,0.0
ADORA3,0,0.0,,,,,0.0
ADPGK,0,0.03050268070911233,-318.0,-0.14825174825174825,-0.019211403514678295,-0.3503619401646873,0.0
ADPRH,3,0.29700824054379077,-36.0,-0.022374145431945307,-0.019674017874649986,-0.3008145499286447,0.17825987605943183
ADPRHL1,0,0.0,,,,,0.0
ADPRHL2,0,0.0,,,,,0.0
ADRA1B,0,0.0,,,,,0.0
ADRA1D,0,0.0,,,,,0.0
ADRA2A,4,0.40821370893491266,385.0,0.09828950727597652,-0.00535155551706662,-0.18584078558563247,0.223534489471769
ADRB2,4,0.4699351113275878,-12.0,-0.0594059405940594,-0.059540158404134735,-0.3397173086672456,0.20848592301297503
ADRBK1,0,0.0,,,,,0.0
ADRM1,0,0.037311816254370925,-296.0,-0.18581293157564344,-0.023182265575594094,-0.35210691160600815,0.0
ADSS,0,0.0,,,,,0.0
ADSSL1,0,0.0,,,,,0.0
AEBP2,0,0.0,,,,,0.0
AFAP1,0,0.0,,,,,0.0
AFAP1L1,0,0.43140703236470973,-569.0,-0.3376854599406528,-0.02625228127271812,-0.41611382351571813,0.0
AFAP1L2,0,0.0,,,,,0.0
AFF1,0,0.0,,,,,0.0
AFF4,4,0.030780113795861843,-260.0,-0.11716989634970708,-0.01815021190115159,-0.33810947032894784,0.10520956938893468
AFG3L2,9,0.4540468313740066,455.0,0.1708599324070597,-0.00885020817716576,-0.18850497374033012,0.282002409847859
AFMID,5,0.9507490421701835,1954.0,0.34119085035795355,0.015362242783960419,2.1571720026445314,0.4600425961545948
AFTPH,0,0.0,,,,,0.0
AGBL2,11,0.9039439605799213,1295.0,0.4643241305127286,0.005549319054585937,0.12967370898524255,0.40650423488459797
AGER,0,0.09017672131823531,-109.0,-0.1804635761589404,-0.03940862295225514,-0.36578008803664214,0.0
AGGF1,0,0.0,,,,,0.0
AGK,0,0.0,,,,,0.0
AGL,0,0.0,,,,,0.0
AGMAT,3,0.7090837548589793,1322.0,0.23356890459363958,0.007211649339987269,0.9878789051634043,0.32724903002886563
AGPAT1,0,0.06369122463853874,-203.0,-0.18337850045167117,-0.02926432134729117,-0.36003303322130725,0.0
AGPAT3,1,0.012443511861522694,60.0,0.013963230160577147,-0.009296855369330469,-0.3383748573495824,0.059803748468616004
AGPAT4,0,0.01997604054665955,-170.0,-0.049707602339181284,-0.01230411843722556,-0.3462229306153655,0.0
AGPAT5,0,0.017487390283270374,-234.0,-0.08411214953271028,-0.014792245113290532,-0.3453978868105203,0.0
AGPAT6,0,0.0,,,,,0.0
AGPS,0,0.0058087137484389584,607.0,0.1089375448671931,-0.004872458437066714,-0.340671742506349,0.0
AGR2,11,1.0047157908319473,1762.0,0.5304033714629741,0.011766696281426611,0.3281630972145402,0.4427394548391158
AGRN,11,0.6611907119847148,725.0,0.3285002265518804,-0.005454214961085134,-0.10114685904464085,0.34268922403322255
