,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,7,8.309389649726812e-05,2853.0,0.5245449531163817,1.626877355378909e-06,inf,0.007742197695680427
AACS,1,5.909211059480728e-06,578.0,0.10626953484096341,7.38651382435091e-08,inf,0.0023722955161889522
AADAC,0,0.00012567326586811575,-711.0,-0.5294117647058824,-5.349254278771682e-06,-0.6653278639634259,0.0
AAK1,14,0.0017352079769618464,51.0,0.16293929712460065,2.1640710488999735e-05,0.20375267922024137,0.01999913286818065
AAMP,0,1.237380011073343e-05,-433.0,-0.10509708737864078,-2.966479291415329e-07,-0.6396486475689347,0.0
AARS,5,5.839205375415777e-05,911.0,0.2724282296650718,8.769004069864114e-07,0.8748904289075937,0.007468743676227779
AASDHPPT,3,1.3104052728905469e-05,441.0,0.1015660985720866,6.208223443042645e-08,0.17328804210752402,0.003963537201511351
AASS,6,6.138279735419514e-05,799.0,0.2408077154912598,7.08499423769972e-07,0.6884524988447626,0.007689668303002434
AATF,6,3.166144571044811e-05,1549.0,0.3122354364039508,5.880492381304761e-07,3.9359029927444587,0.008573547622071449
AATK,8,9.792302603174052e-05,-145.0,-0.15760869565217392,-5.772414737953876e-06,-0.35354354745282957,0.007037710557365334
ABAT,0,0.0,,,,,0.0
ABCA1,0,0.000404684241564209,-417.0,-0.6069868995633187,-1.790832139255751e-05,-0.6466285380907197,0.0
ABCA3,8,0.0003626348711439718,-119.0,-0.25427350427350426,-2.1958798209452944e-05,-0.42653905250859914,0.009381016041324403
ABCA5,0,9.53592507406737e-05,-662.0,-0.41609050911376494,-3.567117128801614e-06,-0.6186222274552099,0.0
ABCB10,0,0.0,,,,,0.0
ABCB6,4,2.9444088520642085e-05,1270.0,0.2734711455641688,5.120603541182866e-07,2.0658725948278067,0.006731542878234014
ABCB7,0,0.0,,,,,0.0
ABCB8,1,8.477781453741301e-06,700.0,0.1287001287001287,1.0597226817176626e-07,inf,0.002601604789158251
ABCB9,2,2.3897404072231185e-06,288.0,0.059850374064837904,-1.9716813274851074e-08,-0.10129672385425509,0.002181133929148571
ABCC4,0,0.0,,,,,0.0
ABCC8,0,7.095716986379905e-06,-198.0,-0.043882978723404256,-1.7922307420317495e-07,-0.6060521920570289,0.0
ABCD1,0,0.0,,,,,0.0
ABCD3,8,7.728895467780522e-05,1069.0,0.3428479794740218,1.469042196747453e-06,1.1936571628880333,0.009426790671045114
ABCD4,0,2.25822932597534e-06,202.0,0.03892850260165735,-5.0943412075983726e-08,-0.588700177558366,0.0
ABCE1,1,2.1095726727216298e-05,-398.0,-0.13634806440561836,-7.121232354679872e-07,-0.47111050035308016,0.002717190070220254
ABCF1,6,3.9571155109790285e-05,2071.0,0.3807685236256665,7.678512429433918e-07,inf,0.006116818011473893
ABCF3,0,0.0,,,,,0.0
ABCG1,0,0.0003528284704464211,-551.0,-0.7652777777777777,-1.8491967558388813e-05,-0.7151091614262297,0.0
ABCG2,4,3.235505433541749e-05,1430.0,0.28061224489795916,4.491465631159373e-07,3.98872739746326,0.007788891703522129
ABCG5,0,0.0,,,,,0.0
ABHD1,0,0.0,,,,,0.0
