,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,9,1.316966836666849,3280.0,0.6001829826166514,0.03039911908536371,3.541167875214542,0.5070700405669473
AACS,2,0.4799909512714509,499.0,0.09069429298436932,0.0008301857798591952,0.0976792054852671,0.1760426099283224
AADAC,0,0.042724932933181435,-485.0,-0.36086309523809523,-0.03593599337561226,-0.45121423179123016,0.0
AAK1,18,0.7656354289070364,113.0,0.25055432372505543,-0.040032460829745445,-0.30002646950817463,0.30055636859761403
AAMP,0,0.011099667749654688,-254.0,-0.06733828207847296,-0.014869362683764282,-0.44176102769405706,0.0
AARS,5,0.04452081171342835,-184.0,-0.05705426356589147,-0.01729703610294178,-0.4169932889325379,0.0979537203128152
AASDHPPT,4,0.38431399465468974,188.0,0.04753476611883692,-0.010516739533495072,-0.31844373554624295,0.1693587657990505
AASS,8,0.5707841203774181,240.0,0.09408075264602117,-0.013900465246293639,-0.2756164638897385,0.22787404259871086
AATF,8,0.8091172320926433,1052.0,0.29287305122494434,0.0005505518133560316,0.016115206842886465,0.28151780419992517
AATK,5,0.4763219081758864,-64.0,-0.08533333333333333,-0.040135051760325766,-0.38251627778748193,0.18046628092138234
ABAT,0,0.0,,,,,0.0
ABCA1,0,0.06305646975765188,-306.0,-0.45066273932253315,-0.04975469503988323,-0.45461633989896794,0.0
ABCA3,11,0.5389076535939153,11.0,0.018612521150592216,-0.04255996015612702,-0.36432412646371587,0.23105517565645972
ABCA5,1,0.03140328552023462,-501.0,-0.328740157480315,-0.03274445717199927,-0.4462976029831529,0.05747675004564586
ABCB10,0,0.0,,,,,0.0
ABCB6,6,0.7968605716561771,1423.0,0.3128847845206684,0.002493564127313389,0.09892332120282257,0.2676833874369393
ABCB7,0,0.0,,,,,0.0
ABCB8,2,0.4670987378461178,443.0,0.08138893992283668,0.0006614246633967636,0.07624185759119882,0.17367791876789393
ABCB9,3,0.4668773481786832,609.0,0.11749951765386842,-0.002949424735019907,-0.17369252197465307,0.177458949321104
ABCC4,0,0.0,,,,,0.0
ABCC8,0,0.015529585014964252,-108.0,-0.024307900067521943,-0.011286746213517787,-0.44486847034699767,0.0
ABCD1,0,0.0,,,,,0.0
ABCD3,10,0.7553919974920819,1021.0,0.3515840220385675,-0.004865001898145926,-0.10185328805137735,0.28281550511238795
ABCD4,0,0.005870194972600553,191.0,0.038368822820409806,-0.007522727575392598,-0.4399438495440592,0.0
ABCE1,4,0.039607736050676336,68.0,0.016966067864271458,-0.01384895486251889,-0.421911274988249,0.0902472309736691
ABCF1,7,1.1618598553560018,2596.0,0.47598093142647596,0.02238207245570469,2.597662589869887,0.43036817945705313
ABCF3,0,0.0,,,,,0.0
ABCG1,1,0.06518379350177815,-365.0,-0.35402521823472355,-0.04092652690674559,-0.4511251424768342,0.06859734348374347
ABCG2,4,0.6817429169003458,1088.0,0.21860558569419328,0.0020205918207194494,0.11816411363960884,0.23216319480943198
ABCG5,0,0.0,,,,,0.0
ABHD1,0,0.0,,,,,0.0
ABHD10,0,0.045872181626870207,-394.0,-0.3611365719523373,-0.039783592416051804,-0.4508938578559859,0.0
ABHD11,9,0.4477415642861984,110.0,0.06478209658421673,-0.022755673857503073,-0.3266294101693563,0.21489927363293923
ABHD13,0,0.0,,,,,0.0
ABHD14A,0,0.0,,,,,0.0
ABHD14B,0,0.0,,,,,0.0
ABHD2,0,0.0,,,,,0.0
ABHD3,0,0.0,,,,,0.0
ABHD6,0,0.0,,,,,0.0
ABHD8,0,0.016410160728868056,-217.0,-0.0542907180385289,-0.014607233082844551,-0.444381895649291,0.0
ABI3,6,0.34137459832073125,59.0,0.01744529863985807,-0.013702223817400775,-0.3380644664929384,0.179673330394088
ABI3BP,8,0.5463591254927753,10.0,0.01733102253032929,-0.04286037702613092,-0.3635145624798756,0.2141810881358395
ABL1,3,0.4169945124325032,-111.0,-0.0423179565383149,-0.017934062537550498,-0.35934128804153453,0.15623923243500604
ABL2,6,0.6863564508737454,-4.0,-0.02666666666666667,-0.0943454517593601,-0.4186049082224689,0.20346240769010585
ABLIM1,0,0.0,,,,,0.0
ABLIM2,6,0.6404860221919177,561.0,0.15754001684919966,-0.006183209629661776,-0.18051265735696967,0.22850784755957065
ABLIM3,0,0.010447473436077805,16.0,0.0034812880765883376,-0.011086835108937331,-0.4415983517537738,0.0
ABTB1,5,0.6418647695767652,1067.0,0.23085244482907832,-0.0016486548640384097,-0.06586221191527743,0.22905996109370766
ABTB2,6,0.5277992129973686,-6.0,-0.011278195488721804,-0.046189069312483025,-0.37596646031167325,0.19574986967666105
ACAD10,0,0.0,,,,,0.0
ACAD11,0,0.0,,,,,0.0
ACAD9,5,0.8182603500057729,1318.0,0.2689795918367347,0.006104503015446336,0.3556335893867052,0.2730330791517644
ACADM,5,0.7932784051178596,1106.0,0.22950819672131148,0.005477936468441556,0.3165613962882529,0.2678144336689708
ACADSB,3,0.27265947982898114,-182.0,-0.15423728813559323,-0.03472673835325663,-0.4057929154443324,0.13542979138076447
ACAN,6,0.3433600623803485,-188.0,-0.07454401268834258,-0.01859289543179119,-0.3668768665995904,0.17576793272990004
ACAT1,4,0.6057374556927639,1037.0,0.19459560893225747,0.0009083006000130608,0.0538144053516058,0.22098422179683172
ACAT2,3,0.4843474426772826,485.0,0.09940561590489855,-0.0028813448129626426,-0.16762552398787986,0.1792593508472477
ACBD3,3,0.4060086134885425,249.0,0.05571716267621392,-0.007075432706119093,-0.2793470987772453,0.16296932969883512
ACBD4,9,0.45283555529302894,153.0,0.06555269922879177,-0.01765801442694346,-0.311549131296989,0.2171768853514756
ACBD5,17,0.796662448646379,389.0,0.373320537428023,-0.019343595270570363,-0.21498546058744844,0.3138682361546311
ACE,4,0.8170962806911926,1250.0,0.22673680391801196,0.009552683733814052,1.1287612226502404,0.29214156929270857
ACE2,5,0.6190986907552634,881.0,0.19564734621363536,-0.00215190013676661,-0.08511718535236149,0.22490516151446646
ACHE,11,0.7468734159078657,621.0,0.32428198433420363,-0.012317150787075543,-0.19064350651644604,0.2787575637595219
ACIN1,0,0.0,,,,,0.0
ACLY,0,0.0,,,,,0.0
