,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,0,0.00012509263195784818,-1093.0,-0.7320830542531815,-4.901396602380547e-06,-0.7507951771164237,0.0
AACS,0,9.184746365507722e-06,-614.0,-0.14457263951024252,-2.1092651128457485e-07,-0.7406344660529623,0.0
AADAC,1,0.00020237125822810396,-976.0,-0.9053803339517625,-9.528301310602036e-06,-0.7797891188373595,0.0027796331994267573
AAK1,13,0.00203131411922695,35.0,0.11784511784511785,-3.2648994786939486e-06,-0.02490079222426429,0.014386811583136533
AAMP,3,1.2750151396767196e-05,333.0,0.06815390912812117,1.6711906273593096e-07,inf,0.002817728108411337
AARS,5,3.689608214237026e-05,169.0,0.0649500384319754,7.298194177122351e-08,0.04040599075376923,0.004216589409837011
AASDHPPT,0,3.6055914749836594e-05,-1196.0,-0.44214417744916823,-1.1818674990419171e-06,-0.7376482722363005,0.0
AASS,6,8.961066697003167e-05,1599.0,0.3882952889752307,1.396402948661902e-06,4.092439481801253,0.008319247757344665
AATF,6,1.0858911571237306e-05,45.0,0.013017066820943014,-1.216205308066989e-08,-0.016224340275145143,0.0031973582075258823
AATK,5,0.00019947415792987544,-300.0,-0.39215686274509803,-1.337502222893445e-05,-0.5589247352317143,0.0050701629574502706
ABAT,0,0.0,,,,,0.0
ABCA1,8,0.0002774059296204497,729.0,0.397708674304419,5.595752576236737e-06,1.3352342913470783,0.009762113138637259
ABCA3,12,0.0006062515394460002,319.0,0.35209713024282563,1.226165675953767e-05,0.7103727894730212,0.012126680882620486
ABCA5,7,0.00010500106871278968,2582.0,0.5340227507755946,2.1618582603757186e-06,58.03159155529947,0.01670695254084718
ABCB10,0,0.0,,,,,0.0
ABCB6,0,0.0001147991182628121,-1555.0,-0.8548653106102254,-3.533913245654416e-06,-0.8230193172756636,0.0
ABCB7,0,0.0,,,,,0.0
ABCB8,0,1.201770263730065e-05,-721.0,-0.1794425087108014,-2.8073497882902524e-07,-0.7259625492057319,0.0
ABCB9,2,6.697462154056775e-07,-205.0,-0.04746469090067145,-7.436153133636031e-08,-0.2982946496882459,0.0011093615223804864
ABCC3,0,0.0,,,,,0.0
ABCC4,0,0.0,,,,,0.0
ABCC5,0,0.0,,,,,0.0
ABCC8,2,6.711913873697725e-07,-176.0,-0.0388178209086899,-4.643393806376908e-08,-0.28498785476487404,0.0011156583506339625
ABCD1,0,0.0,,,,,0.0
ABCD3,5,9.572324901946819e-05,-559.0,-0.37516778523489935,-3.852079100205569e-06,-0.5879395704537789,0.004152455857531165
ABCD4,1,2.8473599486007615e-06,-101.0,-0.020671305771592305,3.559199935750952e-08,inf,0.0014654817517789369
ABCE1,3,5.007632799825497e-05,1569.0,0.32112157183790424,7.994610636174223e-07,inf,0.004014064274238553
ABCF1,0,7.368499663311698e-05,-1398.0,-0.7096446700507614,-2.809262387927109e-06,-0.7853433460103606,0.0
ABCF2,0,0.0,,,,,0.0
ABCG1,0,0.00041819257180156883,-625.0,-0.9674922600619195,-2.4580920568592152e-05,-0.7694065364242473,0.0
ABCG2,1,3.229680353821417e-05,-880.0,-0.31586503948312994,-9.269567225417295e-07,-0.6226588306344192,0.0020767594735028737
ABCG5,0,0.0,,,,,0.0
ABHD1,0,0.0,,,,,0.0
ABHD10,0,0.000419332499844211,-762.0,-0.9781771501925546,-1.7977930545816882e-05,-0.7816925023763772,0.0
ABHD11,1,0.00021256726445882586,-611.0,-0.6171717171717171,-1.0210741720730991e-05,-0.6871156139684078,0.003123348810840216
ABHD13,0,0.0,,,,,0.0
ABHD8,3,2.7316972376370172e-05,841.0,0.1721244371674171,3.513026625165687e-07,inf,0.003425920027816406
ABI3,5,6.645443927653497e-05,1817.0,0.3828487147071218,1.088763448044927e-06,14.759019728902057,0.009780780190133766
ABI3BP,12,0.0005094604718297416,1232.0,0.6024449877750612,1.3631326011221967e-05,4.152128064450095,0.015467699907997547
ABL1,6,2.2990850200501013e-05,839.0,0.19247533838036246,4.2662011379231926e-07,1.8592696253019756,0.005079193860920585
ABL2,25,0.0019515910128314658,593.0,0.6738636363636363,8.972333354611542e-05,4.9592775256144,0.02704458349175924
