,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,0,0.044517765996107385,-880.0,-0.6743295019157088,-0.03981100539313732,-0.5052503374441162,0.0
AACS,1,0.008703619542901823,-139.0,-0.028577302631578948,-0.009121295785764916,-0.4943634705263492,0.035637578619881
AADAC,4,0.0519776196252077,-763.0,-0.7157598499061913,-0.04295644063446459,-0.4956704326663216,0.07006318250380851
AAK1,23,1.030795121875973,213.0,0.38656987295825773,-0.02214343180505106,-0.19165043334249598,0.3180194713849937
AAMP,4,0.8617413282699457,900.0,0.18270401948842874,0.009308653313455805,0.981793480004235,0.248909914942125
AARS,5,0.12058998677699237,-415.0,-0.13861055444221776,-0.019285631380819675,-0.44366437192252633,0.10486645863509486
AASDHPPT,1,0.023542573894436803,-850.0,-0.29139526911210145,-0.02210756538153013,-0.4955047819615797,0.043944679598472106
AASS,8,1.1534332177139262,2061.0,0.4714089661482159,0.017449896537378898,0.914386189718597,0.3259067444445911
AATF,8,0.8145522652975782,918.0,0.26547137073452864,-0.0016549718619929057,-0.04550498891101932,0.23912438206775363
AATK,13,0.4800792374018617,-230.0,-0.3938356164383562,-0.04730842189883802,-0.4220305696029924,0.1832433186361697
ABAT,0,0.0,,,,,0.0
ABCA1,14,1.0182475702183165,884.0,0.47298020331728197,-0.002585140216521821,-0.0415125475594373,0.2979984837270022
ABCA3,18,0.9036896037032086,331.0,0.3633369923161361,-0.018546303876413164,-0.199841023035688,0.2877593204117582
ABCA5,9,1.243015009111734,2268.0,0.5283018867924528,0.021394462220198154,1.1125456079012463,0.35341322129045366
ABCB10,0,0.0,,,,,0.0
ABCB6,2,0.3858998536970743,-1263.0,-0.6783029001074113,-0.034663992442717416,-0.5558280543313391,0.09329211237286077
ABCB7,0,0.0,,,,,0.0
ABCB8,1,0.010060563482394735,-141.0,-0.029018316526034163,-0.009139978868688807,-0.4946745506069751,0.036941312192391114
ABCB9,3,0.4667853915466246,66.0,0.014224137931034483,-0.004827258694492952,-0.25597178564867257,0.14596012513475612
ABCC3,0,0.0,,,,,0.0
ABCC4,0,0.0,,,,,0.0
ABCC5,0,0.0,,,,,0.0
ABCC8,3,0.46260386881401255,-138.0,-0.03127124405166554,-0.0049550622224084385,-0.26025457493564735,0.14447682189003183
ABCD1,0,0.0,,,,,0.0
ABCD3,9,0.4313273883962597,-392.0,-0.26291079812206575,-0.028650647185105342,-0.4004258423226068,0.16837177938731895
ABCD4,2,0.500449308511924,109.0,0.022263071895424837,-4.045353299344037e-06,-0.00042224390029915157,0.14729462378714328
ABCE1,4,0.8604896375256382,985.0,0.2,0.009491553657052308,1.0008153164004967,0.24999242317847203
ABCF1,3,0.04172331679391139,-913.0,-0.46940874035989716,-0.029963154055138434,-0.4915097686080064,0.06496181794814516
ABCF2,0,0.0,,,,,0.0
