,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,0,5.0826836664951476e-05,-670.0,-0.3496868475991649,-3.519982568826154e-06,-0.683908756147044,0.0
AACS,0,3.0484370111957265e-06,-26.0,-0.005377456049638056,-1.3941219677259694e-07,-0.653666254607265,0.0
AADAC,8,0.00010706574202762843,3063.0,0.5985929255423099,2.57967480718873e-06,23.219740492635122,0.012600509685236589
AAK1,1,0.002622473288580009,-111.0,-0.7350993377483444,-0.0003159686329154686,-0.7119296486914097,0.005053889956539113
AAMP,0,6.183373114911125e-06,-336.0,-0.07967749585013043,-3.0773172052852633e-07,-0.6480598355823752,0.0
AARS,0,6.658657523332105e-05,-635.0,-0.3531701890989989,-4.0817427829078844e-06,-0.6847481060396938,0.0
AASDHPPT,0,1.3941229583001177e-05,-581.0,-0.175,-8.20834489280922e-07,-0.6613355236539098,0.0
AASS,3,3.1172437049824694e-06,-160.0,-0.06782534972445951,-1.544892307821023e-06,-0.4706435160453626,0.001506137972777593
AATF,0,1.668859655759284e-05,-563.0,-0.19761319761319762,-1.308497336638554e-06,-0.6395539535001394,0.0
AATK,12,0.00019775353790057204,396.0,0.27104722792607805,1.6733427443514405e-06,0.18840658012917302,0.007511465323420248
ABAT,0,0.0,,,,,0.0
ABCA1,6,0.0001287041002917921,67.0,0.05721605465414176,-3.88948114292432e-06,-0.2844004333533292,0.004933986967866187
ABCA3,6,0.00035872232119921866,-124.0,-0.2678185745140389,-4.2750801676818566e-05,-0.591515555560662,0.005427177796850323
ABCA5,0,0.00010819564199576647,-767.0,-0.5161507402422612,-6.445952630847868e-06,-0.7456223131638459,0.0
ABCB6,0,3.2210523147986884e-05,-789.0,-0.30522243713733077,-1.839647683085179e-06,-0.7076726380598688,0.0
ABCB8,1,8.477781453741301e-06,525.0,0.09973404255319149,1.0597226817176626e-07,inf,0.0017409812438510701
ABCB9,0,1.617685441798003e-05,-681.0,-0.17720530835284934,-5.456225372881575e-07,-0.7572307868091687,0.0
ABCC3,0,0.0,,,,,0.0
ABCC5,0,0.0,,,,,0.0
ABCC8,0,1.0764616411713224e-05,-545.0,-0.13085234093637454,-3.91558476929749e-07,-0.770697046557361,0.0
ABCD3,0,0.0001280768207510579,-733.0,-0.5569908814589666,-8.35186190110047e-06,-0.7557144244087285,0.0
ABCD4,0,4.3050830324482786e-06,-29.0,-0.005849132714804356,-1.3470426209603907e-07,-0.7909995260394024,0.0
ABCE1,0,2.8196674085736908e-05,-647.0,-0.24232209737827715,-1.6000759982334792e-06,-0.6668269574462201,0.0
ABCF1,0,2.0847101241950088e-05,-630.0,-0.23009495982468955,-1.491859181618232e-06,-0.6601992739435398,0.0
ABCF2,0,0.0,,,,,0.0
ABCF3,0,0.0,,,,,0.0
ABCG1,9,0.00022189415941466686,3993.0,0.7585486322188449,7.366976160788299e-06,inf,0.007078834123049844
ABCG2,0,3.255916776167202e-05,-798.0,-0.27824267782426776,-1.4469809705333492e-06,-0.720345632936246,0.0
ABHD10,6,4.444644808803239e-05,-11.0,-0.00718954248366013,-3.1159021455032864e-06,-0.3829443901749866,0.0036302782191070413
ABHD11,0,0.00024938449058183705,-677.0,-0.7326839826839827,-1.6856864632370485e-05,-0.7838061904650018,0.0
ABHD14A,0,0.0,,,,,0.0
ABHD14B,0,0.0,,,,,0.0
ABHD2,0,0.0,,,,,0.0
ABHD3,0,0.0,,,,,0.0
ABHD6,0,0.0,,,,,0.0
ABHD8,0,1.7524975417707583e-05,-608.0,-0.1768984579575211,-7.480639719821123e-07,-0.6804499504600982,0.0
ABI3,5,5.449117627937192e-05,1420.0,0.32651184180271325,7.556692117083905e-07,1.8573035716476285,0.00546220028129314
ABI3BP,12,0.00033051770709143077,383.0,0.3202341137123746,3.873251166122475e-06,0.2970045882613148,0.008754403908059096
ABL1,0,1.6275898456905976e-05,-587.0,-0.2001363791339925,-1.2327408002060326e-06,-0.6526524363542958,0.0
ABL2,24,0.001202907463238171,62.0,0.17765042979942694,-7.775122650731029e-07,-0.007159883666307631,0.013338074416237843
ABLIM1,0,0.0,,,,,0.0
