,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,0,0.042780991896217375,-633.0,-0.40786082474226804,-0.06589891738720025,-0.6283116912189723,0.0
AACS,0,0.013061924450912683,232.0,0.0443170964660936,-0.015527526261971993,-0.6246787960196722,0.0
AADAC,10,1.160379856538444,2288.0,0.5557444741316493,0.005769276189507261,0.15207280229290404,0.29763844309457477
AAK1,10,0.34452318312895464,-209.0,-1.62015503875969,-0.1427622277306631,-0.6045160556080227,0.1428315609387263
AAMP,0,0.01788397477712243,-442.0,-0.12332589285714286,-0.0312526412684829,-0.6245211217516187,0.0
AARS,0,0.02834998036746734,-596.0,-0.2118734447209385,-0.040616372061088785,-0.6267987049350112,0.0
AASDHPPT,0,0.027099011476356002,-541.0,-0.16769993800371977,-0.03775710091577033,-0.6265097249987969,0.0
AASS,5,0.3715981651567945,-259.0,-0.12621832358674465,-0.049370223936044726,-0.5747149320146328,0.13067597494890015
AATF,0,0.05028801778796255,-666.0,-0.35538954108858056,-0.05945425777093585,-0.6313616567241646,0.0
AATK,15,1.1071072154401145,1172.0,0.5901309164149043,-0.021963605196666458,-0.253175974195027,0.2841346368116777
ABAT,0,0.0,,,,,0.0
ABCA1,13,0.8123127887147056,357.0,0.2660208643815201,-0.0511123043521003,-0.46129875971413287,0.22432926842117887
ABCA3,13,0.6310507004773483,-52.0,-0.09848484848484848,-0.08962741586612509,-0.5468874499707187,0.19489856991024115
ABCA5,0,0.03099193668961062,-605.0,-0.426056338028169,-0.06777237557912374,-0.6252235659162041,0.0
ABCB6,0,0.02645937768258506,-642.0,-0.2585581957309706,-0.046317100208724975,-0.6257570474942743,0.0
ABCB8,2,0.46753380740743644,312.0,0.058734939759036146,-0.0032867732511075113,-0.26036845879812753,0.1365613381004735
ABCB9,0,0.008951190978561117,-61.0,-0.013516507866164413,-0.022987608103562214,-0.6209693879686936,0.0
ABCC3,0,0.0,,,,,0.0
ABCC5,0,0.0,,,,,0.0
ABCC8,0,0.01312741621494395,-159.0,-0.036202185792349725,-0.02330963680300222,-0.623354588048713,0.0
ABCD3,0,0.04157733982582184,-592.0,-0.458559256390395,-0.07240178230578495,-0.6279339993902131,0.0
ABCD4,0,0.006440751668491289,109.0,0.022263071895424837,-0.01568645547967774,-0.6209256307471303,0.0
ABCE1,0,0.01682964160676921,-448.0,-0.12829324169530354,-0.03138689859453707,-0.6232224312952633,0.0
ABCF1,0,0.04783332800928904,-674.0,-0.3086080586080586,-0.053080056277084786,-0.6313164724635685,0.0
ABCF2,0,0.0,,,,,0.0
ABCF3,0,0.0,,,,,0.0
ABCG1,12,1.5027621024548203,3887.0,0.7357561991292826,0.03707476941545747,2.914749580738354,0.46771948821992526
ABCG2,1,0.017134337569811243,-445.0,-0.1292102206736353,-0.031400596663885755,-0.6215347261842826,0.038308412834621275
ABHD10,5,0.36460482033899616,-275.0,-0.22727272727272727,-0.06963070141151481,-0.5896917434487019,0.12767898193154487
ABHD11,0,0.05622518321852043,-535.0,-0.5080721747388414,-0.08025855996785282,-0.6311071189979556,0.0
ABHD14A,0,0.0,,,,,0.0
ABHD14B,0,0.0,,,,,0.0
ABHD2,0,0.0,,,,,0.0
ABHD3,0,0.0,,,,,0.0
ABHD6,0,0.0,,,,,0.0
ABHD8,0,0.01541067311687592,-334.0,-0.08608247422680412,-0.03022218642116196,-0.6233196699430291,0.0
ABI3,6,0.7127253473770592,908.0,0.21460647601039942,-0.01086107560085747,-0.2881667552560049,0.19772799017703396
ABI3BP,18,0.9974962661905907,566.0,0.499558693733451,-0.045736653303329516,-0.3786717126036647,0.2713533543219121
ABL1,0,0.03181521058766577,-676.0,-0.32847424684159376,-0.053756320968415,-0.6270390589901368,0.0
ABL2,33,1.29189606054303,59.0,0.27699530516431925,-0.07885496791951957,-0.37569631998435604,0.3359901767258191
ABLIM1,0,0.0,,,,,0.0
ABLIM2,6,0.80851144851213,1334.0,0.307798800184587,-0.009432912579360346,-0.25152213454251215,0.20792486214945868
ABLIM3,3,0.4552654023222365,179.0,0.03761294389577642,-0.011362826841405289,-0.4476701100395365,0.1352228156310358
ABT1,0,0.0,,,,,0.0
ABTB1,1,0.018339556155791636,-519.0,-0.17094861660079053,-0.03857508753004493,-0.6225974694196683,0.03887766176218555
ABTB2,19,1.0543317447041471,694.0,0.5633116883116883,-0.040745597212659884,-0.3470346207142009,0.28420278778459707
ACACA,0,0.0,,,,,0.0
ACAD10,0,0.0,,,,,0.0
ACAD11,0,0.0,,,,,0.0
ACAD9,0,0.0437692121494392,-709.0,-0.24678036895231464,-0.03979390477593982,-0.6310127076757286,0.0
ACADM,0,0.021534091697713146,-535.0,-0.1683448709880428,-0.037911668493167974,-0.6246351097635793,0.0
ACADSB,2,0.27306062807882725,-299.0,-0.2812793979303857,-0.07572173881912456,-0.5982480058261391,0.09342728533593246
ACAN,7,0.5286571676318177,106.0,0.037642045454545456,-0.03222816206400813,-0.5011056178212343,0.1667064244748589
ACAT1,3,0.3916214048628755,280.0,0.06124234470691164,-0.018888385435372208,-0.5150196461033536,0.12375964255836178
ACAT2,3,0.48427368493829115,309.0,0.06570274293004465,-0.011141114877623145,-0.4377829392900939,0.13833046389033293
ACBD3,0,0.021858466579473566,-371.0,-0.096388672382437,-0.030429758290080065,-0.6250619379458359,0.0
ACBD4,9,0.888970777028,1217.0,0.3581518540317834,-0.011705604516460681,-0.23076282066315992,0.23801846400530113
ACBD5,17,0.6099599934988995,2.0,0.0030534351145038168,-0.08169543796729882,-0.5363121947311946,0.20911822792447984
ACD,0,0.0,,,,,0.0
ACE,0,0.011440848233487167,-325.0,-0.08252920264093448,-0.02961071958453308,-0.6217293331214999,0.0
ACE2,5,0.6195639329458409,868.0,0.1933184855233853,-0.013999394323650497,-0.3770463020942198,0.17402662506332586
ACHE,12,1.207073730564822,2111.0,0.6199706314243759,0.0016046797887720177,0.031658944716078816,0.3046318352370405
ACLY,0,0.0,,,,,0.0
ACO1,28,1.365541743698323,466.0,0.6619318181818182,-0.03959511045380025,-0.26534575390936493,0.34854201988927014
ACOT7,0,0.017141148464031915,-150.0,-0.033730604902181244,-0.023299772101329698,-0.6253147250744178,0.0
ACOT8,0,0.0,,,,,0.0
ACOT9,0,0.0,,,,,0.0
ACOX1,1,0.030250504564397398,-604.0,-0.3435722411831627,-0.06020924342846862,-0.6242855425594419,0.04380760210645437
ACOX2,0,0.0,,,,,0.0
ACOX3,0,0.0,,,,,0.0
ACP1,1,0.012423056454419918,289.0,0.05505810630596304,-0.015333197696256608,-0.6190650586710886,0.03559389898549541
