,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,0,2.8075554197548916e-06,-63.0,-0.023533806499813223,-5.880590002070782e-08,-0.03488549811024076,0.0
AACS,0,1.600799477011194e-07,-100.0,-0.016957775139901644,-2.0009993462640005e-09,-0.026375395002759955,0.0
AADAC,0,9.696338899193083e-06,-102.0,-0.049707602339181284,-2.4616353901856426e-07,-0.08381642665748532,0.0
AAK1,0,0.00020976608513422452,-3.0,-0.011538461538461539,-8.285985405766201e-06,-0.06086488290221777,0.0
AAMP,0,4.707539792006304e-07,-83.0,-0.01569888405522981,-6.3075208868920796e-09,-0.036369977169186454,0.0
AARS,0,5.090943070143808e-06,-77.0,-0.0308,-9.33813034212194e-08,-0.04733969992300832,0.0
AASDHPPT,0,7.477172442093976e-07,-61.0,-0.014071510957324106,-1.269934346371867e-08,-0.029325898203259735,0.0
AASS,0,6.819531933588083e-06,-92.0,-0.03576982892690513,-1.13135637894744e-07,-0.061129488349727076,0.0
AATF,0,1.301852484794726e-06,-74.0,-0.020279528637983008,-2.7930868005195738e-08,-0.03649249950423589,0.0
AATK,12,5.8397775918130105e-05,76.0,0.06495726495726496,1.3078692578987388e-06,0.1414367604519662,0.01788139885329941
ABAT,0,2.7255771490119845e-08,-99.0,-0.015505090054815976,-3.406971436264987e-10,-0.02566998271479486,0.0
ABCA1,0,3.948914077524195e-05,-53.0,-0.04902867715078631,-9.441911596423009e-07,-0.08798902569439417,0.0
ABCA3,2,6.094416955802895e-05,-22.0,-0.03806228373702422,-2.022609817175864e-06,-0.06411794782109453,0.010247633455269623
ABCA5,0,6.192109031210175e-06,-55.0,-0.023686477174849268,-1.261649121867402e-07,-0.05425803041169197,0.0
ABCA7,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCB10,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCB6,0,1.5260469108484138e-06,-79.0,-0.02195664257921067,-2.8938905251083268e-08,-0.03668420062946086,0.0
ABCB7,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCB8,0,5.17670421401017e-07,-107.0,-0.018961545277334752,-6.4708802675127184e-09,-0.05754801744107239,0.0
ABCB9,0,7.288272345213904e-07,-102.0,-0.01954022988505747,-9.196424348676085e-09,-0.04994697590284203,0.0
ABCC3,0,1.3422282630112437e-07,-102.0,-0.017453798767967144,-1.6777853287640573e-09,-0.02046576961090207,0.0
ABCC4,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCC5,0,1.2711985540162125e-07,-105.0,-0.016897328612809785,-1.588998192520267e-09,-0.04055975113949258,0.0
ABCC8,0,4.4876467379712795e-07,-102.0,-0.018276294570865437,-6.5329642948915806e-09,-0.053099686914255345,0.0
ABCD1,0,2.658838858684829e-06,-181.0,-0.036565656565656565,-3.460887988764373e-08,-0.14280078465159513,0.0
ABCD3,1,7.297214795946602e-06,-56.0,-0.026755852842809364,-1.501605473763939e-07,-0.05268958042470298,0.005115785126742424
ABCD4,0,1.37235876128712e-07,-106.0,-0.017014446227929372,-1.7154484516089e-09,-0.045981393859636316,0.0
ABCE1,0,2.2570230102979248e-06,-84.0,-0.02385685884691849,-3.8416691829596996e-08,-0.04584999611202372,0.0
ABCF1,0,1.2740624235497138e-06,-71.0,-0.019749652294853964,-2.6061006805928615e-08,-0.032826054534562776,0.0
ABCF2,0,4.82546382703783e-08,-105.0,-0.016749082788323495,-8.093061510078054e-10,-0.026187038770899045,0.0
ABCF3,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCG1,9,3.6468327292199294e-05,124.0,0.08671328671328671,1.2065298854943336e-06,0.195851052274092,0.015166885823834748
ABCG2,0,1.4559202622697996e-06,-74.0,-0.018546365914786967,-2.215061558975662e-08,-0.03793555710744993,0.0
ABCG5,0,7.122179899043462e-07,-114.0,-0.020655915926798333,-9.11398994640783e-09,-0.06844876881616926,0.0
ABHD1,0,4.076090000233143e-07,-129.0,-0.020732883317261332,-5.095112500291424e-09,-0.1330049490420198,0.0
ABHD10,0,1.2824542258350642e-05,-40.0,-0.02572347266881029,-2.756247371004816e-07,-0.052039831158869614,0.0
ABHD11,0,8.52069609497433e-06,-18.0,-0.010982306284319707,-2.1410265754380362e-07,-0.04402091685426948,0.0
ABHD13,0,1.8767066763196561e-07,-116.0,-0.01867954911433172,-2.4340885415356144e-09,-0.061891239466600106,0.0
ABHD14A,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABHD14B,1,2.5899643334955404e-06,-90.0,-0.023993601706211676,-4.070717961436219e-08,-0.05721802778456617,0.003941704203332702
ABHD2,0,1.5099868511913979e-06,-95.0,-0.02345679012345679,-2.6766543187753615e-08,-0.04805033422740942,0.0
ABHD3,0,5.763722797024731e-07,-95.0,-0.018244670635682733,-7.519737544055141e-09,-0.04035370032757003,0.0
ABHD6,0,2.9203667637276964e-07,-106.0,-0.018911685994647636,-5.746006365717711e-09,-0.048367019638243,0.0
ABHD8,0,9.188469315911251e-07,-77.0,-0.017080745341614908,-1.2051526662336337e-08,-0.03316743558006019,0.0
ABI3,1,3.5891184932397143e-06,-85.0,-0.027877992784519516,-6.123020973960539e-08,-0.050034368436727567,0.004289111172278663
ABI3BP,1,4.803347120066516e-05,-28.0,-0.034869240348692404,-1.4045094315146884e-06,-0.07667034702755386,0.008068804119008085
ABL1,0,1.1001560893065583e-06,-55.0,-0.014412997903563941,-2.196264261908301e-08,-0.0323914383642393,0.0
ABL2,25,0.0003129313584890632,35.0,0.1076923076923077,1.3330230629150308e-05,0.1410828565799123,0.03300407086605415
ABLIM1,0,1.912892244789255e-06,-106.0,-0.026114806602611482,-3.2776299516739465e-08,-0.05924275685194612,0.0
ABLIM2,4,2.0709671579367253e-05,439.0,0.1162298120201218,2.8643957243782635e-07,0.4094609045235747,0.011557754170762472
ABLIM3,0,2.4656717652132896e-06,-107.0,-0.024797219003476246,-3.08515854463732e-08,-0.0699737708246371,0.0
ABT1,0,1.486428843433955e-07,-106.0,-0.01745718050065876,-1.8580360542924436e-09,-0.03318802517880651,0.0
ABTB1,0,2.852741619314779e-06,-94.0,-0.026449071468767585,-4.096220709243917e-08,-0.04997656204247181,0.0
ABTB2,13,5.699338166949416e-05,204.0,0.13746630727762804,1.8960927954440923e-06,0.33164013428266487,0.01964488206021625
ACACA,0,3.56861033335163e-07,-93.0,-0.01666965405986736,-5.129441379398978e-09,-0.041621731871048596,0.0
ACAD10,0,8.409194676856696e-08,-109.0,-0.017276906007291173,-1.0511493346070897e-09,-0.04271900580486439,0.0
ACAD11,0,7.485081522682788e-07,-73.0,-0.014934533551554828,-1.0755087823958808e-08,-0.04189052877201953,0.0
ACAD9,0,1.8283470507642943e-06,-74.0,-0.020647321428571428,-2.97654345146445e-08,-0.037204126427096,0.0
ACADM,0,1.7722532952505691e-06,-76.0,-0.022300469483568074,-3.2066480709715815e-08,-0.03526219495033957,0.0
ACADS,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ACADSB,0,8.542944373025857e-06,-72.0,-0.03785488958990536,-2.260527539433663e-07,-0.06579006476167754,0.0
ACAN,0,8.28003024924941e-06,-59.0,-0.026977594878829447,-1.5302113497148397e-07,-0.05817688984177152,0.0
ACAT1,0,1.526618994662878e-06,-77.0,-0.018960847081999507,-1.952696342332532e-08,-0.03530411733492388,0.0
ACAT2,2,8.176741720056882e-06,585.0,0.10170375521557719,1.043565585900235e-07,1.0996936978077467,0.008828278883251191
ACBD3,0,9.178681533492471e-07,-75.0,-0.015425750719868367,-1.3777465339468542e-08,-0.05219996489496913,0.0
ACBD4,1,1.5669743177150704e-05,-46.0,-0.028785982478097622,-3.2158804507702935e-07,-0.06300993319771814,0.006154706534197958
ACBD5,1,6.501249606188606e-05,-14.0,-0.02681992337164751,-2.0365346258049494e-06,-0.05470891854140619,0.008828545827541763
ACD,0,8.448373896584952e-08,-103.0,-0.01648,-1.0560467370731164e-09,-0.0310540599175025,0.0
ACE,0,6.240026552513339e-07,-92.0,-0.01727699530516432,-8.311709653248887e-09,-0.04952548946397048,0.0
ACE2,0,2.7465339500928107e-06,-132.0,-0.03241650294695481,-4.5651958547345223e-08,-0.0836981018877003,0.0
ACHE,1,2.9064560395575347e-05,54.0,0.03195266272189349,2.8908213781863894e-07,0.06388175017574439,0.007758287717333758
ACIN1,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ACLY,0,1.9560466594541896e-07,-103.0,-0.01750509857239973,-2.445058324317737e-09,-0.03168682734220988,0.0
ACO1,0,4.7201835354721876e-05,-27.0,-0.04,-2.0941085049374473e-06,-0.08512146584128336,0.0
ACOT11,0,1.1632488745424812e-07,-108.0,-0.017058916442900016,-1.4540610931781015e-09,-0.06704119459271933,0.0
ACOT7,0,6.716775474309581e-07,-84.0,-0.01648675171736997,-8.763159616090504e-09,-0.04257526275249056,0.0
ACOT8,0,8.300443470660784e-07,-65.0,-0.015123313168915775,-1.3078765552162013e-08,-0.029225369446027293,0.0
ACOX1,0,3.497456994735774e-06,-116.0,-0.03658152002522864,-7.509490663107838e-08,-0.06795056757061027,0.0
ACOX2,3,1.6874525345967725e-05,565.0,0.12142703632065334,2.3519720458632437e-07,0.7383112572484775,0.011039992921955151
ACOX3,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ACP1,0,6.669706687702778e-07,-90.0,-0.01707132018209408,-8.337133359628467e-09,-0.04722472740503853,0.0
ACP2,0,2.075010421459896e-06,-80.0,-0.022656471254602097,-3.6655190788139045e-08,-0.043977832039407846,0.0
ACP5,0,7.131040930343543e-06,-65.0,-0.030805687203791468,-1.6562584359174314e-07,-0.05884725597018999,0.0
ACP6,0,5.1437227170639e-06,-60.0,-0.0262582056892779,-1.073344693815983e-07,-0.04507696350587207,0.0
ACPP,0,1.697533101206318e-06,-106.0,-0.0237828135517164,-2.233520474582198e-08,-0.058752245230446296,0.0
ACR,1,2.7510839345384938e-06,-109.0,-0.030235783633841887,-4.386451175773781e-08,-0.05586742728965211,0.00399816019331137
ACRBP,8,4.568750262407036e-05,211.0,0.1143011917659805,1.1612391700938339e-06,0.31752651532942255,0.016310559060514943
ACSBG1,0,1.640068689907817e-05,-74.0,-0.05485544848035582,-4.812111730279821e-07,-0.06988297294574662,0.0
ACSL1,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ACSL3,0,3.3514398399197846e-07,-96.0,-0.016916299559471364,-4.189299799899731e-09,-0.0390302704934958,0.0
ACSL4,1,1.9527510053497896e-05,-21.0,-0.019553072625698324,-4.7621874297262697e-07,-0.04325441389810937,0.006588425862927252
ACSL5,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ACSM1,0,3.487749819798381e-07,-121.0,-0.02049457994579946,-4.359687274747984e-09,-0.058023531201240555,0.0
ACSM3,3,1.0021814884633976e-05,903.0,0.14861751152073732,1.4220494471131993e-07,2.557283270722521,0.012200565048784917
ACSS1,5,1.5083979259373504e-05,499.0,0.11353811149032993,2.402910913663565e-07,0.5904730700182977,0.0117991560434212
ACSS2,0,5.063293350427757e-06,-62.0,-0.025357873210633947,-1.0209418582541733e-07,-0.048764507040503884,0.0
ACTA1,0,0.00011626885971672254,-16.0,-0.046242774566473986,-5.763908079355911e-06,-0.07146372503042273,0.0
ACTA2,0,6.885640134149246e-06,-86.0,-0.03524590163934426,-1.4043407492992455e-07,-0.0667886058430959,0.0
ACTB,0,1.8122327752555016e-05,-15.0,-0.014218009478672985,-4.482608771401652e-07,-0.03935697353507177,0.0
ACTC1,0,3.886131780483825e-06,-93.0,-0.02988431876606684,-6.285522895302607e-08,-0.054540205361638644,0.0
ACTG1,1,0.002223285923213451,-4.0,-0.057971014492753624,-7.574839734730149e-05,-0.0721433125152141,0.020972907691218283
ACTG2,0,2.0795429540237536e-05,-31.0,-0.030392156862745098,-6.898033817620468e-07,-0.057899654904344657,0.0
ACTL6B,0,4.556925553670144e-06,-68.0,-0.02577710386656558,-7.799731651963093e-08,-0.04477618331930976,0.0
ACTL7A,0,5.871448856336935e-06,-71.0,-0.03056392595781317,-1.4851274756689851e-07,-0.0638970739371887,0.0
ACTN1,1,0.00040058058935980346,-5.0,-0.038461538461538464,-2.060110496138884e-05,-0.050843465631226,0.013896804898113145
ACTN2,1,0.00011282786528487269,-26.0,-0.061465721040189124,-5.75892482742497e-06,-0.10795675483710906,0.009737371965581556
ACTN3,0,1.3486801998736674e-05,-56.0,-0.04066811909949165,-3.371544565540941e-07,-0.050618585403649975,0.0
ACTN4,0,0.0031325090235528427,-3.0,-0.06818181818181818,-0.00012343098888127667,-0.07089515524965705,0.0
ACTR10,0,6.570321326665759e-08,-104.0,-0.01633678919258561,-8.212901658332198e-10,-0.05107702607599245,0.0
ACTR1A,0,2.568360045406357e-07,-89.0,-0.015998561927017797,-4.265471011548348e-09,-0.03391569107817091,0.0
ACTR1B,0,1.6713531962500361e-06,-75.0,-0.023169601482854494,-3.334862840082273e-08,-0.03209666298950881,0.0
ACTR2,0,1.2676446105145803e-07,-101.0,-0.016780196045854793,-1.5845557631432254e-09,-0.02560795367004021,0.0
