	Euclidean Distance
IFIT1	1.9517521079335156
ATF3	0.5152213503600321
IL6	0.31696660849462716
IFIT2	0.2625086200023076
RSAD2	0.2385711293709843
TNFAIP3	0.2061131003490087
USP18	0.16358509610979358
MX1	0.1339465135640755
SAMHD1	0.07745801808730146
CXCL2	0.07683019863681459
IFI44	0.07234947081753898
OAS2	0.06310247095682672
IFIT3	0.05718737344403739
DUSP1	0.043073214909014224
ISG15	0.04101278534657913
BATF2	0.038621024038284345
SLC7A5	0.0322590302510475
CXCL10	0.028911966767823538
CTSD	0.024295074342681963
IRF7	0.022275759434254784
IFIH1	0.02101744502933321
DDX58	0.018997765368710617
MX2	0.015432373407620164
FAP	0.015291299371700573
ARRDC3	0.012518150852741437
CH25H	0.011256151812733015
JUN	0.011087710493984104
ZZZ3	0.010938764241790163
ZBP1	0.01028097922400569
JUP	0.010071268982429925
TNFSF10	0.009934586365308891
EGR1	0.00943093159765544
EDAR	0.009296355564380798
FBXL8	0.009042351056072304
CXCL1	0.008737609262311557
SAMD9L	0.007755005963726556
CEL	0.00765241489089962
OAS3	0.007564199663086667
ZC3H12A	0.007547686607844243
LASP1	0.007237580717855495
SYNGR4	0.006950365597168178
AOC3	0.006772945149731835
IFITM1	0.0067196483560538305
CD69	0.006624705184126473
PARP9	0.006160186895542681
EIF5	0.005819110080461954
PTX3	0.0054849789610548535
PAPPA	0.005276387329550555
NFKBIA	0.005275194871816242
IFNB1	0.005116828174510799
EGR2	0.005088433683592977
RTP4	0.004960958366818176
GALNT2	0.004921044493698525
BTG1	0.00482942049252624
BST2	0.004239602427710177
IFI35	0.0038753925874996016
PMAIP1	0.0038502592979078243
SNAI1	0.0036909184300800953
TNFRSF12A	0.003609244843089464
IER3	0.003531192126902606
SCN3A	0.0033717455659711413
TTLL6	0.003340710142162065
IL11	0.003301940109206734
CCR1	0.0032752769219185607
EPSTI1	0.0031978422178040042
TUBA1C	0.003177845501231473
ACTN4	0.0031325090235528427
ATP1A3	0.003113743748616877
PYGM	0.0030508373883575005
EPHX1	0.0030038267149137916
FTMT	0.0030014280682451894
FOSB	0.002988317826998421
FCER1G	0.0029542634770768758
GBP1	0.002939186623854232
CXCL11	0.002840473075319853
SERPINE1	0.002788837937176202
RASD1	0.0026219594505909284
VSIG2	0.0025608990621987177
DPYSL5	0.002493927129572905
CD274	0.002476391465620158
CDK5R2	0.0024669859597826293
CFL1	0.0023843025760526275
SGIP1	0.0023793277575594324
INHBA	0.0022799796627308473
SLC3A2	0.0022653394247850673
KLF6	0.002238076136957243
FOS	0.0022303147386175167
ACTG1	0.002223285923213451
CXCL5	0.002177992257497021
NAPSA	0.0021513424768048483
EEF1A1	0.0021168997630122634
HRASLS5	0.0021151797614655877
CCL20	0.0020998965129467645
CREB5	0.0020522433780868024
CYBA	0.0020453035193856834
BIRC3	0.0019929701838645583
TAP1	0.0019645798428802844
IER5L	0.0018616599440745868
MYC	0.0018527360672360139
NR4A1	0.0018267521995370916
SPARC	0.0018168888736883517
COL23A1	0.001798618802084135
STAT1	0.0017408345452593385
FADS2	0.0017234108891887358
RGS4	0.0017146179797359194
IL4I1	0.0016733920661016575
MAFF	0.001667612158489917
GBP4	0.0016513608639180458
TNF	0.0015921408020548623
COL11A2	0.0015723793645333489
BANF1	0.0015656648656777572
GADD45G	0.0015475170439440537
NEFH	0.0015199289885579445
RELB	0.0015124969814829933
MAG	0.001422439061171381
SP100	0.0014064752546001803
NR1D1	0.0013968937959462516
ANXA2	0.0013949519477226236
MTPN	0.0013675359131068256
KLF10	0.0013524681195044865
GBP5	0.0013524083908040385
KRT83	0.0013424520498983062
NPBWR1	0.0013126124610692456
LST1	0.001307999862608286
SLC11A1	0.0013052351237525619
LAMP3	0.0012891716370156494
KMO	0.0012707268632692831
BCL3	0.0012284284435397227
PRSS36	0.0012112928592692735
MAP3K8	0.0011786931311325252
HSH2D	0.0011731475221093486
LTBP4	0.0011678401968303234
TLE6	0.0011459658565195125
FOLR2	0.0011392770226018268
NFKBIE	0.0011235928616866585
RASGRP3	0.001115722586825908
STMN4	0.001104816147990764
GJA4	0.0010909753362394617
IL1A	0.001083291862230678
RRAD	0.0010826328517130304
ZFP36	0.0010409794598020914
DDB1	0.0010387308139191429
NCOA7	0.0010199751720343638
FMO1	0.0009828337415996498
WISP1	0.0009780431211476029
ST8SIA2	0.0009704791766893888
NUAK2	0.0009659923602608893
ARC	0.0009627197271887851
KCNC3	0.0009595103228123016
SOX13	0.0009567714379101897
RNASE4	0.0009258752529353308
APOL6	0.0009187391753862663
PER1	0.0009162684327161209
KLRC1	0.00091214936502361
CCL2	0.0009066303590120768
MXD1	0.0009051046143933997
GEM	0.0008801152788016127
BATF	0.0008624167646948933
IL2RG	0.0008418295733866464
PARP14	0.0008413083395157348
TRAF1	0.000838907914704579
CTGF	0.0008373686064273786
F8	0.0008355160859566017
ITGA3	0.0008271881983073581
MMP13	0.0008107120509045164
CDKN1B	0.0007965225593532023
ENO1	0.0007962088554460754
COX6B2	0.0007813023072381841
SLC15A3	0.0007706485635833609
TIMP3	0.0007645694247182288
ITGAM	0.0007528771278702107
FHL2	0.00073860445752082
CSF2	0.0007356287518151381
KCNH2	0.0007320093870874044
SPRR1A	0.0007300135127422732
HEPH	0.0007166581470816098
FGF8	0.00071144930832074
CD9	0.0007089924462564901
CCL5	0.000701501085236291
LGALS9	0.0006978193024508807
LAT	0.0006917254778800397
FHL1	0.0006906123778186616
IFNA4	0.0006856237209641744
SAA2	0.0006734838987281836
PLA2G4F	0.0006668094495750154
CYR61	0.0006665793009033164
SLC25A25	0.0006642487510364605
G0S2	0.0006577183442637709
SOCS1	0.0006508255357657727
PSMD10	0.0006473826172642556
EIF4G2	0.0006453368175924947
IGFBP3	0.0006402210710683832
CD86	0.0006390840592624998
ZAN	0.0006341735023547598
ICAM1	0.0006283751202075406
C1S	0.0006262838122578695
BCAS1	0.000625166909247338
KIFC3	0.000622679587568363
MSX1	0.0006161267635372528
TOP2A	0.0005980359134694044
GSG1	0.0005960958952950455
ANGPT1	0.0005908995962018396
RASD2	0.00058288089161983
DUSP8	0.0005781048174833416
AHR	0.0005746510434289347
SLC45A2	0.0005604312030928721
ANKRD1	0.0005432854790461171
BBC3	0.0005431925285014848
PFN2	0.0005421889932274438
WTAP	0.0005370599587418408
SOST	0.0005318348155170673
IL18RAP	0.0005313358726927321
CCL19	0.0005302350209991063
PTGS2	0.0005280912142234866
ILDR1	0.0005259745371709618
SLC6A4	0.0005182093659726166
HSPA1A	0.0005102722603793141
ANGPT2	0.0005082535995913228
CLU	0.0005059405212284168
ZEB2	0.0005007961859215047
MMP19	0.0004979736707248631
PSTPIP1	0.0004976112844727477
LTB	0.0004954554249136246
BMP7	0.000493200552059975
GRN	0.000489003929768736
MUC6	0.0004880121191930525
WNT1	0.00048582022359612033
SOD2	0.0004851511930952231
LRMP	0.0004793929629080124
RAC2	0.00047339535253150235
IL17RE	0.0004723410870029144
CYP1A1	0.0004722994218443905
KRT14	0.0004673387747841614
BMF	0.00046591698927419276
MMP25	0.0004658099358115674
PRIMA1	0.000465712350291122
HMGB1	0.0004595785192364454
MT3	0.0004592874255272022
RBM43	0.0004488285864475843
KLF4	0.0004452701441911461
LYNX1	0.0004447346224018745
MS4A7	0.0004425877802761046
ARHGEF15	0.0004364220480387652
INSM2	0.00043414730853527905
CX3CL1	0.00043216407610906205
TNFSF13B	0.00043028900550678626
F7	0.0004298558963743609
SYT1	0.00042817671007415177
SOCS3	0.00042560989493948534
YKT6	0.0004234429553410749
DDIT3	0.000418655476248181
PSMD3	0.0004177207867788349
GDF15	0.00040992934455142484
PNPLA5	0.0004093541077447187
CCNL1	0.00040754152620332444
IL15RA	0.00040229030936003864
ACTN1	0.00040058058935980346
BNIP3L	0.0003983867596572054
ADAMTS4	0.0003894785893265798
IRF1	0.0003853038991890476
IRAK2	0.0003726275867936292
DDR1	0.00037022897252623175
FBN2	0.0003694764182078677
MMP17	0.00036932704374482175
LRRC25	0.00036830097824332343
HBEGF	0.0003644600684314299
