	Number of Increases
TNFAIP3	56
IFIT3	49
ISG15	48
ZC3H12A	48
CXCL2	48
IRF7	47
IFI44	47
NFKBIA	46
MX1	45
SAMD9L	43
CCL20	43
OAS3	42
ARRDC3	42
IFIH1	42
IFITM1	41
TNF	41
IL6	39
IFIT2	38
DUSP1	38
LAMP3	38
IL1A	37
CCL2	37
OAS2	37
JUN	37
BST2	37
IFIT1	37
CXCL1	36
CREB5	35
BCL3	35
EGR1	35
KLF6	34
RELB	34
INHBA	34
PTX3	34
BIRC3	33
PARP9	33
GBP1	33
ATF3	33
TNFRSF9	32
TNFSF13B	32
LTB	31
PARP12	31
CXCL10	31
NR1D1	31
TRAF1	31
IRF1	31
IFI35	30
PER1	30
NFKBIE	30
SLC15A3	30
FOSB	30
NR4A1	29
EPSTI1	29
ZFP36	29
CSF2	28
NR4A3	28
LGALS9	27
RASGRP3	27
MX2	27
HSH2D	27
C1S	27
DUSP8	27
CX3CL1	27
SAMHD1	26
UBD	26
SAA2	26
RAB30	26
GBP4	26
ARC	26
CYP1A1	26
MXD1	26
KLF10	26
ICAM1	25
KLF4	25
ABL2	25
IFITM2	25
PNPT1	25
SP110	25
PPM1K	24
GEM	24
GBP5	24
TNFSF14	23
MAP3K8	23
ADM	23
PLA2G4C	23
FOS	23
DPYSL5	23
IER3	23
PER2	23
PHF11	23
NGFR	23
PARP14	23
ADRB2	23
IL11	23
CD274	23
IL10RA	23
CCNL1	23
STAT2	23
SNAI1	23
SOD2	22
MAFF	22
CTSD	22
DDX58	22
DUSP10	21
DDIT3	21
EPHX1	21
BDKRB2	21
BBC3	21
TNFAIP2	21
NUAK2	21
CYBA	21
IFITM3	20
FADS2	20
CLK1	20
PROX1	20
MAOB	20
AOC3	20
PLAUR	19
EDN1	19
APOL6	19
HBEGF	19
ZBTB10	18
PML	18
CYLD	18
ZBTB20	18
CHD2	18
ZBTB43	18
IKZF3	17
SOCS3	17
NFKBIZ	17
CLDN2	17
ETS2	17
BTG1	17
TNFSF10	17
GDF15	17
NMI	17
USP18	17
ANXA13	17
BATF2	17
COL11A2	17
ALOX12B	17
IRAK2	17
TWIST1	16
CAMK2B	16
PIM1	16
IL12A	16
TMEM140	16
F3	16
RAB37	16
PPP1R10	16
SAA4	16
BMP2	16
CLK4	16
HES1	16
TLR3	16
DNAJB4	15
TIPARP	15
AHRR	15
JUNB	15
CPT1C	15
GADD45A	15
COL9A2	15
MUC4	15
PYGM	15
B3GNT7	15
INTS6	15
NFIL3	15
IER5	15
ATP1A3	14
RBM43	14
LAT2	14
COL16A1	14
UBE2L6	14
SEC14L4	14
CXCL5	14
RASGEF1B	14
EREG	14
PDGFD	14
SAA1	14
SIDT1	14
TUBA1C	14
NOD2	14
PDE4B	14
IL15RA	14
PRDM1	14
CDH6	14
DDIT4	14
TDRD7	14
TBC1D22B	14
PCF11	14
IER2	14
ICAM4	14
CRYAB	14
ATP2A1	13
OTUD3	13
VCAM1	13
CCNT2	13
TMOD4	13
LGI3	13
PER3	13
MME	13
SPRR1A	13
AREG	13
GMPR	13
CFB	13
MNS1	13
IL1B	13
ABTB2	13
LMO2	13
CCL5	13
ZC3HAV1	13
CAT	13
ANXA2	13
G0S2	13
ADAM32	13
FBXL8	13
SOD3	13
PSAT1	13
EGR4	13
PLSCR1	13
PSMB9	13
B3GNT5	13
ETS1	13
ZSWIM5	13
CDKN2AIP	13
EIF2AK2	13
NEDD9	12
GDNF	12
BTG2	12
GATM	12
BCL2L14	12
CD83	12
PCSK9	12
GBP3	12
PNRC1	12
AATK	12
VTCN1	12
PSTPIP1	12
MAFG	12
RGS4	12
PDK4	12
RHOF	12
PTGS2	12
RLF	12
RND3	12
ARID3B	12
XRN1	12
KCNC3	12
NUDT8	12
DAPP1	12
EYA1	12
SMCHD1	12
SOCS1	12
DNAJA4	12
LAT	12
TGM2	12
WTAP	12
RAB26	12
MDH1B	12
MMP13	12
SORT1	12
THBS1	12
PLK1	12
GADD45B	12
PGM5	12
FOSL1	12
RSRC2	12
ANKRD12	12
LAG3	12
FASN	11
RTN4RL2	11
TK1	11
PLEKHB1	11
ANXA9	11
C3	11
SLC34A2	11
NR4A2	11
VNN3	11
CD14	11
SLCO2A1	11
ZC3H12C	11
FOSL2	11
AMOTL2	11
AVIL	11
TUBB3	11
SLC11A1	11
SKIL	11
LYNX1	11
LRMP	11
CTGF	11
PRDX1	11
C2	11
LCN2	11
MCM5	11
PDGFB	11
RSAD2	11
SLPI	11
PDZK1IP1	11
XDH	11
TUBB2B	11
SORL1	11
CGNL1	11
IL4I1	11
APLP2	11
SERTAD2	11
FZD2	11
LRRC45	11
TRIM14	11
ISG20	11
PHB	11
HKDC1	11
MXD3	11
CNKSR3	11
FBN2	11
TLR6	11
CFI	10
TLR2	10
NFKB2	10
PRDX3	10
STC1	10
NEB	10
BMP7	10
CCNG2	10
HMOX1	10
NAV3	10
HRG	10
UGCG	10
GLP2R	10
BSG	10
TRAPPC6A	10
REEP6	10
PLXNC1	10
