	Relative Rank Change
ANGPT1	0.5236242356864925
CDKN1B	0.4904076738609113
DBP	0.43851768669286917
ATP6V1G2	0.4179906542056075
CDC14A	0.40752351097178685
STAT5A	0.3945945945945946
NDUFB10	0.39061018020866267
NDUFS7	0.39061018020866267
ETFB	0.39061018020866267
PDGFB	0.38450899031811897
F8	0.3795130142737196
DIRAS1	0.3713031864148063
TLE6	0.36314655172413796
AHCY	0.36291809323149854
TM4SF4	0.3623156981786644
PSMB5	0.35815236125473976
EFNA1	0.35106089831909615
NECAP1	0.34940569634447183
BMF	0.34448398576512457
ETV3	0.3338064149872268
CTSD	0.3333333333333333
KCNJ10	0.3316624895572264
ZBTB20	0.32558139534883723
CYP27A1	0.32446976891421336
SCARA5	0.3213757396449704
TM7SF2	0.3209906227458524
PHB	0.32080610021786493
ARID4B	0.32047832585949176
EPM2AIP1	0.31381681082279883
ELL	0.31281477336317853
CHST2	0.3123915307185005
NOD2	0.31231585150265173
RSBN1	0.30638778971170155
SEMA3E	0.3042971352431712
CYP26B1	0.30251122567769834
SERTAD2	0.29755043227665706
BMP7	0.2966601178781925
PDGFD	0.295800365185636
ADAM8	0.2934947049924357
BST1	0.2896208825357365
ZBTB10	0.28892660161221895
SLC22A13	0.28852643419572555
NDUFA13	0.28740779768177027
LOX	0.287283481199831
HIVEP1	0.28713123092573756
ZEB2	0.28382502543234994
LYPD3	0.2830059777967549
ARRDC3	0.2826086956521739
KLHL3	0.28239716939407344
FBXW7	0.28124241688910456
RASSF5	0.2807951721689741
RNMT	0.28045489591364686
PIGA	0.28027681660899656
HIVEP2	0.2793017456359102
TEX15	0.27859300820025895
P2RY6	0.2754575316752698
SMPDL3B	0.2749027237354086
PER1	0.27331887201735355
NFKBIZ	0.27053669222343923
AEBP2	0.2695605573419078
CROT	0.269134775374376
FOXO1	0.26706626706626707
SLC40A1	0.2650697551987365
BCL3	0.26498422712933756
HIST2H2BE	0.26419288645690836
CCDC81	0.2630422844590884
ICAM5	0.26216882316697476
PRPS1	0.262015503875969
NFKB2	0.25738972260118237
HS3ST3B1	0.2564485184395651
STX11	0.2544589774078478
HIST4H4	0.25288053365676166
CXCR4	0.25287356321839083
ITGB2	0.25179626377135556
IRAK2	0.25157232704402516
TNFAIP3	0.25
APOC1	0.24955295052652493
FRS2	0.2495164410058027
VASH1	0.2489440337909187
KLHL4	0.24753694581280788
PGRMC1	0.2474616292798111
NTNG2	0.24739302409205322
CENPA	0.244874715261959
CCL4	0.24422996223248006
DPYSL5	0.24367088607594936
METRN	0.2424597855227882
SLC6A13	0.24017467248908297
AGMAT	0.24017003188097769
NDUFA2	0.2397880704153136
CYLD	0.23872679045092837
RPS6KL1	0.23807582551977172
SPRR1A	0.23796423658872076
B3GNT5	0.23699059561128527
GRHL1	0.2355421686746988
SLC9A8	0.23549088476333835
CCL20	0.23448275862068965
SLAIN1	0.23424402359515678
GATM	0.2335216572504708
ARL5B	0.2334507042253521
MBIP	0.2334267040149393
USP43	0.23305008135960947
FOXC2	0.23270440251572327
KLF11	0.23268771557442292
FZD2	0.23207171314741035
FOXN2	0.2316196793808734
HIST1H2AK	0.22888616891064872
CNFN	0.22761427676894178
TANK	0.22737520128824476
EPC1	0.22714458316552558
AMBP	0.22711984422021597
RBBP6	0.22693383038210624
ADAM32	0.2265193370165746
ZC3H12A	0.22641509433962265
PRDX1	0.22630922693266833
TAT	0.22615945805106827
PSAP	0.22534722222222223
PER3	0.22503389064618165
VAV1	0.22436042562825448
TIAM2	0.2236681577877186
NRG4	0.22177661920994585
SIX4	0.2213206491326245
DCP1A	0.22122692725298587
NFKBIA	0.22105263157894736
GUCA1B	0.22080107707842478
IL1A	0.22058823529411764
NRCAM	0.22005347593582888
RAB36	0.21903052064631956
GAS2L3	0.2186125211505922
PIM1	0.21774856203779785
SVEP1	0.21774193548387097
GPBP1	0.21755971594577148
AGR2	0.21649484536082475
MIER1	0.2156185210780926
PROM1	0.21496062992125983
APBA1	0.21384039900249377
CILP2	0.21369262102459657
ANXA9	0.2127659574468085
GLI2	0.2123456790123457
PADI3	0.21115466856735568
EXTL2	0.2111145606954362
OTUB2	0.21068032187271396
WDR18	0.2106488668115492
ATP6V0E2	0.210224558050645
NT5DC2	0.20983125458547322
NR1D1	0.20982142857142858
CRY1	0.2092572658772874
RND1	0.20915841584158415
DUSP8	0.20863309352517986
SLC4A8	0.20846560846560847
BIRC3	0.20765027322404372
USPL1	0.2066429418742586
FLCN	0.20656999112163363
CHIC2	0.2065173116089613
EREG	0.20615384615384616
MYSM1	0.20554779485132707
SEMA4A	0.20441988950276244
RLF	0.20422302870339823
TNF	0.20418848167539266
DTX2	0.2032303591030265
CSF1R	0.20237506185056903
ALDH1A1	0.2023529411764706
SERPINH1	0.20134704005671747
DUOXA2	0.19937451133698203
IGFBP7	0.19925412892914224
MYO3B	0.19866071428571427
UCP2	0.19854991634132738
PPP1R15B	0.1983273596176822
CASD1	0.19814517567326556
KLF7	0.1978021978021978
ARHGAP19	0.19707317073170733
SNIP1	0.19616560155598778
ATP12A	0.19563279857397503
PPP4R2	0.19443595230816263
C1QTNF1	0.1940187839841819
RIBC2	0.19387755102040816
TLCD1	0.19279726792921453
RAB15	0.19279726792921453
SKIL	0.1925925925925926
SEC24A	0.19248493442041828
ADAM23	0.19229554783706979
GPX2	0.1917644718519992
TNFSF15	0.19175455417066156
NEDD4L	0.19164619164619165
KIF21B	0.1913493182886695
SLA	0.1911341393206678
BCL10	0.19098856758574312
CDK5R1	0.190625
HBP1	0.1905615292712067
ANXA2	0.19036697247706422
RHCG	0.19014084507042253
CHGB	0.1900214848412509
RAB30	0.189792663476874
UAP1L1	0.18973747016706444
GPR37L1	0.18943860548577288
SLC2A5	0.1891891891891892
TWIST1	0.18899153194765203
GPM6B	0.18801207416990082
MAFF	0.18723404255319148
F5	0.18647380766223612
FADS2	0.18618618618618618
GPR146	0.18602050326188257
PDE4B	0.18594306049822065
LTB	0.18588235294117647
IRF7	0.18518518518518517
SERTAD3	0.18498135984377773
RAB26	0.18475073313782991
VTCN1	0.18454935622317598
GLP2R	0.18335500650195058
LRG1	0.1823954455879133
MXD4	0.1823932525039536
GNRH1	0.18215536781372346
MXD3	0.18210609659540775
COMMD4	0.18192709224713333
PPTC7	0.1817457154244719
ANKRD12	0.18125643666323377
CHDH	0.1797502992987857
ALOXE3	0.17971246006389777
EHD1	0.1792497625830959
RRM2	0.17900063251106893
APOM	0.17890738060781475
HSF2	0.17878405195742378
ARHGAP30	0.17856
ESR1	0.17785065590312815
AOC3	0.17763157894736842
ETS2	0.17752596789423986
IL15	0.17636333499088347
CCNT1	0.17618751940391184
VPS37D	0.17606284658040666
HIST3H2A	0.17603228810928284
TNFAIP8	0.17587859424920127
NFKB1	0.17530755711775045
SYNGR3	0.1751412429378531
MASP2	0.17490118577075098
RASSF1	0.1741852329221138
ARL2	0.17386609071274298
HSH2D	0.17320261437908496
PBXIP1	0.1728395061728395
IFIH1	0.1724137931034483
TCF7	0.1724077635950341
RSRC2	0.17225325884543763
KLF10	0.17197452229299362
CHRNE	0.17081725710277096
NFIL3	0.17040358744394618
CXCL1	0.1702127659574468
SPATA13	0.16972249752229931
CSTB	0.16890783863561823
HIST1H1D	0.16837782340862423
C1QTNF3	0.16719914802981894
ICAM4	0.167192429022082
PCSK1N	0.1671018276762402
SLC39A2	0.1669048299514147
