	Relative Change
RFESD	inf
OSBP2	inf
GTF2B	inf
ANKHD1	inf
CALML3	inf
ANAPC10	inf
MMAB	inf
SYCP2	inf
PNN	inf
SUSD2	inf
USP37	inf
SERPINI1	inf
CYP27B1	inf
PLEKHG2	inf
ALDH16A1	inf
GRIN2D	inf
HIST1H2BC	inf
MDM4	inf
ZBTB6	inf
HIST3H2A	inf
PLEK2	inf
AGTRAP	inf
CATSPER3	inf
STOML1	inf
AGR3	inf
OVGP1	inf
SERINC5	inf
HOXA5	inf
GSTM4	inf
RAB15	inf
CTHRC1	inf
BDH1	inf
PRKRIP1	inf
FBXO15	inf
THOC3	inf
TESC	inf
FAAH	inf
EXTL2	inf
WDR18	inf
FOXRED2	inf
SLAIN1	inf
TLCD1	inf
TLK2	inf
SLC22A4	inf
MVK	inf
NUBP2	inf
EAF2	inf
NMNAT3	inf
MPV17L	inf
MPP2	inf
DUSP19	inf
AP4M1	inf
VDR	inf
POLR2L	inf
DOC2A	inf
AOC2	inf
NTS	inf
POLD1	inf
SEMA5A	inf
FGF12	inf
SLC9A2	inf
UNC5A	inf
LYSMD2	inf
ZNRD1	inf
LYPLAL1	inf
RBP4	inf
CLDN23	inf
CCNT1	inf
KCNQ1	inf
ZMYND12	inf
CHN1	inf
CDH26	inf
SMNDC1	inf
RBP7	inf
SALL4	inf
SPA17	inf
LRRC46	inf
TTC21A	inf
SPATA17	inf
LUC7L2	inf
PCYT2	inf
SDSL	inf
LCP1	inf
NDUFS7	28.23370401264442
NDUFB10	28.23370401264442
ETFB	28.23370401264442
CSPG5	21.75468193557745
RASSF8	19.00274314406059
GRAMD1B	18.14335628450981
CILP2	16.268601393849494
DTX2	13.823496283387419
DBNDD2	13.007515666080218
SLC25A10	10.817018508420288
ITGB2	9.019929339751991
ADAM23	8.831864755709008
BMP4	8.730460326790382
NCAPD3	7.448419929444674
MSLN	7.189371207882084
SEMA3E	7.148993867715872
CYP26B1	7.110224118256776
MYO1A	7.064493970716595
MYO7A	6.068896877046932
MAPRE2	5.824000187519793
TIMP4	5.413433885257182
BANK1	5.405741460705523
IGSF9	5.390656923285561
LYPD3	5.22608152478851
GPR135	5.1823779546175475
TNFAIP8	5.1717381803287115
NKPD1	4.961232185434901
HTRA1	4.792081530063789
HHAT	4.725942687650034
DIRAS1	4.63558920069999
HIST2H2BE	4.621206909171353
STAT5A	4.546325625436096
METRN	4.486015129649527
CDK5	4.4667170255270205
FPGT	4.451545826106343
SLC9A8	4.282445920577468
SOX21	4.1107952173610265
RASSF5	3.964743309755926
NDUFA2	3.9075565449991254
ADPRHL1	3.894200836255451
ELL	3.6763150767171866
AEBP2	3.6009435832118633
RSBN1	3.4443786958721168
YPEL1	3.441612899522593
SLC6A13	3.429283915806061
ATP6V1G2	3.422051615729405
IRAK3	3.358356924762653
CACNG8	3.2028046066547535
ANGPT1	3.1868805547785177
CSTB	3.1506255866177497
AGMAT	3.134050834282265
TM4SF4	3.1000561568523803
PYY	3.0610345805143706
IL15	3.043054151281855
AMBP	2.894032554787033
RNMT	2.854721355042905
SNTB1	2.842897442997871
DBP	2.812006445832903
DOCK11	2.8110126593102023
RCN3	2.800552097355478
NECAP1	2.76908350560428
CCDC121	2.7123600442972275
CXCR4	2.7099837450109643
SMPDL3B	2.69668290411973
USP43	2.687251637156929
COL24A1	2.66905016018645
SLC12A7	2.6659271321346445
SULT2B1	2.621411135739255
ACSM3	2.557283270722521
RND1	2.555551680858332
NANOS1	2.5479130723956036
COMMD4	2.525513339159882
CDKN1B	2.509510886314989
HPSE	2.4916118562815095
CHDH	2.4858468014356343
UNC5CL	2.4842799766640433
PADI3	2.4645303540037697
BST1	2.38186743286178
SERPINH1	2.36789381035104
GALM	2.316801689880718
EPM2AIP1	2.3147539227733804
RNF139	2.288287904642681
CASD1	2.229426936651993
NME5	2.221858614349646
APOC1	2.2188215224146357
CYP39A1	2.2160319832772393
GLDC	2.199797622619614
OTUB2	2.173642941863013
CROT	2.1295228688692407
CDC14A	2.117983329768882
CTDSP2	2.1125310028222066
AHCY	2.102282210899016
FOXC2	2.092061511551785
TCF7	2.080531086183015
PRSS16	2.0747352548320177
SERTAD3	2.0736771689408733
TEX15	2.0203187125060493
TM7SF2	1.9960874064876795
WNT4	1.9920049087270033
KLHL3	1.9430836902130708
EFNA1	1.9148773146685367
ZFP37	1.8994981823597472
TTC25	1.8615181032036603
CDKL3	1.8600338925897173
HS3ST3B1	1.8549936122081065
HYAL1	1.827266746937058
CCL4	1.8145560436297614
EPC1	1.813835213990006
NRG4	1.813459441956716
HSF2	1.8078992019834297
CRLF1	1.780004884663258
APOM	1.7781934102922519
ARL2	1.7544522034562744
SERTAD2	1.753800600357171
RNASEH2A	1.743078597191221
KCNJ10	1.7205768175941976
