	Euclidean Distance
ZBTB6	0.8472296855992071
NFKBIA	0.841302548773927
EFNA1	0.8316479861087446
SEMA3E	0.8151471438347153
STX11	0.8116688611248741
STAT5A	0.756372286289531
CXCL2	0.7520610886599001
IL1A	0.7466343501516477
OAS2	0.7391858338577103
FOSB	0.7371365006500304
HIVEP1	0.7340102916737078
BIRC3	0.7232954234578584
MDM4	0.720108646975406
ZBTB20	0.7199312976901107
VDR	0.7174590397433188
IFIT3	0.7137471310396697
PNN	0.7137115207480791
PLEKHG2	0.7131741023470732
CCNT1	0.7118529390224414
SERPINI1	0.7111975640471657
OVGP1	0.7106131965352686
WDR18	0.7081745317452208
TTC21A	0.7064094905721723
HIST3H2A	0.7056114423415548
ZFP36	0.7052675433087119
FGF12	0.7000310177463517
SLC25A10	0.6985625881145177
IL6	0.696956738630589
TNF	0.6960967279066509
ISG15	0.6955668464667417
NR1D1	0.6939085467349045
HOXA5	0.6933882270286977
TNFAIP8	0.6931595360640476
CSPG5	0.69281771379429
TNFSF13B	0.6923634386374269
IFIT1	0.691276252293003
USP37	0.6910429312043268
HIST1H2BC	0.689579742819959
HIST2H2BE	0.6856575445682732
CILP2	0.6855245140891038
SAMHD1	0.6852435299021409
BST2	0.6833536783818978
SERPINH1	0.6823967132006667
IFITM1	0.6806768299892845
NFKBIZ	0.6802048347946524
IRF7	0.6800252380907618
GBP1	0.6786223787900146
CCL20	0.6762170283072998
DBP	0.6727321742557765
IFIH1	0.6721928009791451
METRN	0.6718850782848785
MX2	0.6704918188038936
SLC6A13	0.6692535094774477
IL15	0.6649860272871558
NDUFB10	0.6639177489206297
ETFB	0.6639177489206297
NDUFS7	0.6639177489206297
PARP9	0.6613898860531303
SERTAD3	0.6607397080230213
SIX4	0.6582855143836536
ATF3	0.6572100385314273
ZC3H12A	0.6555228653386287
RND1	0.654271354829709
NDUFA2	0.6533290739183136
CXCR4	0.6503695529678276
TM4SF4	0.6494992720635901
BCL3	0.6490710479402096
MYSM1	0.648968462647446
AEBP2	0.64491224978298
HIVEP2	0.6445884280131465
CYP26B1	0.643818325380811
SAMD9L	0.6421820697995452
ITGB2	0.6413478083830858
GPX2	0.6395044888308322
INHBA	0.6392540945813601
SLC15A3	0.6392093388142639
DUSP1	0.638581134565054
SMPDL3B	0.6377306898625867
DCP1A	0.6360406082193655
DUSP8	0.6351872652054044
ZBTB10	0.6350741163520273
DIRAS1	0.6338307670856432
NOD2	0.6334330770154194
APOC1	0.6330740674788027
IFI44	0.6329855434048159
AMBP	0.6319220250380081
FOXO1	0.6315433245743803
PER1	0.6301869693456745
BBC3	0.6289231099911268
CRY1	0.6274573497335204
SERTAD2	0.6253985608103159
LTB	0.6252532122252396
RASSF5	0.6250348438145701
EREG	0.6224534741773332
IFIT2	0.620790650931356
NFKBIE	0.6170498907495345
KLF6	0.615315600260987
RNMT	0.6143336466256974
MAFF	0.613915751229101
CSF1R	0.613779313186668
ELL	0.6120867105613635
ICAM5	0.6114755660634363
NFKB2	0.6104416034653063
SNIP1	0.6101258254224502
ARRDC3	0.6067664877481508
NR4A1	0.6067436930031951
PSAP	0.6066278590223937
MX1	0.6065955172620058
OAS3	0.6046802093957566
PARP12	0.6035818603915061
MXD1	0.6035086668573254
TM7SF2	0.6032381490828159
ARL5B	0.6020723860633062
NDUFA13	0.6020516968437171
CROT	0.6007314556774151
CXCL1	0.6005893645834737
GNRH1	0.6001051076086148
CREB5	0.5989974886085094
FOXN2	0.5980323123537018
MBIP	0.5965203170908064
IRF1	0.5959666624481842
LAMP3	0.5938202075679136
PPP4R2	0.5921904381557861
RASGRP3	0.5915446170985121
KLF7	0.586069246209677
FOXC2	0.5853884414590753
USPL1	0.580413637673109
CNFN	0.5802379585339421
ATP6V0E2	0.5801274446156856
LYPD3	0.580030857386543
KLF11	0.5791825913624656
KLHL3	0.5790398893559853
RELB	0.5756464599158406
RSBN1	0.5753066506844898
VAV1	0.5749065420270331
PTX3	0.5737934347771285
USP43	0.5735226932801363
PGRMC1	0.5704069337278762
JUN	0.5691703021758922
GRHL1	0.5683828893165762
ETV3	0.5674757048720158
GLI2	0.5654167205414007
C1S	0.5646461391081319
CHST2	0.5644658360083441
PARP14	0.563902633693254
CHIC2	0.563263366709186
GBP5	0.5628527232365236
PDGFD	0.56232153913533
EGR1	0.56222997965939
CYLD	0.5611686364244134
ANXA9	0.5607733550470261
MCM5	0.5593064621618964
ALDH1A1	0.5592188617690302
MIER1	0.5588374605603994
SKIL	0.5585588056017932
TANK	0.5584670190446623
NRCAM	0.5584438668160876
KLF10	0.5583490831301599
RBBP6	0.5582514889479147
GPBP1	0.5576852083072122
NR4A3	0.5571126764114399
TRAF1	0.5567450556791442
CYP27A1	0.5565795225672193
KLF4	0.5561935035664001
FBXW7	0.554481381442096
TIPARP	0.5537502561285621
ANKRD12	0.5532700256259688
ICAM1	0.5531475864078208
CCL2	0.5528816293704915
GBP4	0.551268333435655
ARID4B	0.5506949578780477
PDE4B	0.5505079124295179
NEDD4L	0.5498282245874637
JUNB	0.5487128890489658
PPTC7	0.545435758634431
DDX58	0.545330657669804
USP18	0.5437474401845184
BATF2	0.5436703173231211
EPHX1	0.5430416776377853
MASP2	0.5419891570195171
GATM	0.5419762164695072
CD274	0.5412200795028411
