	Number of Increases
CXCL2	67
TNFAIP3	64
DUSP1	60
EGR1	58
JUN	55
NFKBIA	55
MX1	54
IFI44	53
OAS2	53
CXCL1	51
IFIT2	51
IFITM1	51
IRF7	51
ATF3	51
PARP9	50
ZC3H12A	50
ISG15	49
IFIT3	48
ARRDC3	48
IFIT1	48
INHBA	48
IFIH1	48
TNF	47
LAMP3	47
CCL20	47
IFI35	47
SAMD9L	47
BST2	46
BIRC3	46
SAMHD1	46
OAS3	46
IL6	46
PTX3	45
GBP1	45
FOSB	45
BATF2	45
CCL2	45
IL1A	44
ZFP36	44
KLF6	44
CREB5	44
TNFSF10	43
RELB	43
NR1D1	42
FOS	42
NUAK2	41
BCL3	41
NFKBIE	41
DDX58	41
C1S	41
SOCS3	40
LTB	40
MXD1	40
NR4A1	40
RASGRP3	40
TNFSF13B	40
CD274	40
MX2	39
USP18	39
LGALS9	39
SAA2	38
PARP14	38
TRAF1	38
GBP4	38
KLF10	38
SLC15A3	37
EPSTI1	37
IRF1	37
SNAI1	37
HSH2D	36
DUSP8	36
IL11	36
PER1	36
GEM	36
CXCL10	36
TNFRSF9	36
KLF4	36
CCNL1	35
CSF2	35
PNPT1	35
GBP5	35
APOL6	35
ICAM1	35
PARP12	35
IFITM3	34
UBD	34
MAP3K8	34
ADM	34
SP110	34
MAFF	33
NR4A3	33
IER3	33
ABL2	32
IL15RA	32
ISG20	32
BBC3	32
CYP1A1	32
SOD2	31
IFITM2	31
CX3CL1	31
STAT2	31
HBEGF	31
SP100	30
DDIT3	30
PLAUR	30
PLA2G4C	30
MAOB	30
PHF11	29
EDN1	29
CLK1	29
TNFAIP2	29
PER2	29
EIF2AK2	29
ARC	29
EGR2	29
PPM1K	29
EPHX1	29
HDAC9	28
PROX1	28
DUSP10	28
ANKRD1	28
CHD2	28
PMAIP1	28
TGM2	27
DPYSL5	27
RAB30	27
FADS2	27
TRIM21	26
ZEB1	26
AOC3	26
UBE2L6	26
TAP1	26
SAA1	26
ADRB2	26
ZC3HAV1	26
ZBTB43	26
SIDT1	26
RTP4	26
LMO2	26
IL12A	26
MUC4	26
TXNIP	26
CXCL11	26
IRAK2	26
ETS2	25
PML	25
TNFSF14	25
CCL5	25
STAT1	25
PIM1	25
IL10RA	25
TDRD7	25
NGFR	25
CLDN2	25
CYR61	25
SOCS1	25
IL4I1	25
NFKBIZ	25
PSMB9	24
ZBTB20	24
CH25H	24
TMEM140	24
CD38	24
CFB	24
SAA4	24
F3	24
CYBA	24
CD69	24
NCOA7	24
JUNB	24
GDF15	24
VCAM1	24
RSAD2	24
BMP2	23
MME	23
EREG	23
NR1D2	23
AKAP12	23
HES1	23
SERPINE1	23
IKZF3	23
FBN2	23
TIPARP	23
GADD45A	23
ZBP1	23
PYGM	23
CDCA3	23
TRIM14	23
GADD45G	23
CYLD	22
PPP1R10	22
FBXL8	22
IER5	22
NID1	22
C3	22
THBS1	22
SLFN5	22
PDZD2	22
CXCL5	22
CASP1	22
MMP13	22
BDKRB2	22
ITGAM	22
AHRR	22
NOD2	22
NR4A2	21
CTSD	21
COL11A2	21
NFIL3	21
AMOTL2	21
SPRY2	21
NMI	21
PLA2G4F	21
PRDM1	21
ZBTB10	21
PTGS2	21
COL16A1	21
DDIT4	21
IER2	21
SEMA7A	21
CTGF	20
INTS6	20
RND3	20
PTGER4	20
DNAJA4	20
RAB37	20
SLCO2A1	20
BTG2	20
MNS1	20
B3GNT7	20
CD86	20
CAMK2B	20
CHAC1	19
MSX1	19
DNAJB4	19
KCNC3	19
ARRDC4	19
G0S2	19
GADD45B	19
CRYAB	19
IL1B	19
THSD7A	19
ATP1A3	19
ZC3H12C	19
KIF20A	19
CD83	19
ABTB2	19
LAT2	19
ICAM4	19
GMPR	19
BTG1	18
PLSCR1	18
ARID3B	18
NEDD9	18
TWIST1	18
OTUD3	18
GATM	18
TUBA1C	18
OLFM1	18
CDKN2AIP	18
B3GNT5	18
PER3	18
PCF11	18
RBM43	18
RGS4	18
TBC1D22B	18
DAPP1	18
TNFRSF12A	18
ATP2A1	18
XDH	18
LRMP	18
AREG	18
PRSS36	18
BACH2	17
RASGEF1B	17
AVIL	17
PLEKHB1	17
LAT	17
RAB26	17
PDGFD	17
SEC14L4	17
MAFG	17
CAT	17
EYA1	17
PDE4B	17
KBTBD8	17
ANKRD12	17
RSRC2	17
EGR4	17
CNKSR3	17
FZD2	17
FSTL4	17
GPNMB	16
RASD1	16
PLAT	16
VNN3	16
TRAPPC6A	16
PTAFR	16
IL7	16
TLR3	16
SORL1	16
NEB	16
LAG3	16
MCM5	16
TLR6	16
ADAM32	16
SMCHD1	16
ETS1	16
CGNL1	16
SPOCK2	16
KIF26B	16
SKIL	16
ANXA2	16
MYC	16
ANXA13	16
MATN2	16
HADH	15
SLC34A2	15
LYNX1	15
PROS1	15
PTK2B	15
DUOX1	15
SLPI	15
CDH6	15
NUPR1	15
SOD3	15
AATK	15
SOX9	15
SYNPO	15
SPRR1A	15
MXD4	15
IL7R	15
BCL2L14	15
GRHL1	15
RRM2	15
TMEM40	15
AMOT	15
RTN4RL2	15
FOSL1	15
COL9A2	15
ALOX12B	15
PSAT1	15
PCSK9	15
ANXA9	15
FOSL2	15
VTCN1	15
HMOX1	15
CPT1C	14
FOXN2	14
KMO	14
PIF1	14
SORT1	14
KYNU	14
MTHFD2	14
GBP3	14
GDNF	14
TUBB2B	14
PPM1E	14
TUBB3	14
PLA2G7	14
BAHCC1	14
LST1	14
MDH1B	14
SLC16A6	14
WTAP	14
JAK2	14
XRN1	14
SLC11A1	14
COX6B2	14
RLF	14
PNRC1	14
PDZK1IP1	14
TMOD4	14
STC2	14
CPEB3	14
PRDX3	13
PRDX1	13
ARL5B	13
PSTPIP1	13
HKDC1	13
IL18R1	13
PPP1R15B	13
IL20RB	13
NAPSA	13
CLK4	13
STC1	13
EPHA4	13
GBX2	13
MAP2K6	13
PBX1	13
SLC25A25	13
AHR	13
SERTAD2	13
NUDT8	13
CENPA	13
FGF18	13
PGM5	13
CAPN6	13
DUSP2	13
VWF	13
RNASE4	13
C2	13
RHOF	13
RHOB	13
ITGB3	13
MXD3	13
APLP2	13
BCAS1	13
SPP1	13
PLK3	13
TK1	13
NFKB1	13
NFKB2	13
TBX2	13
GJB1	13
DDC	12
DDO	12
CYP1B1	12
SPARC	12
TIAM2	12
CFI	12
SLC22A14	12
IDH1	12
B3GALNT2	12
TLR2	12
CP	12
SYNE1	12
BCL10	12
GPD1	12
COL8A1	12
REEP6	12
GLP2R	12
FOXO1	12
TAT	12
FASN	12
CCDC81	12
TMEM171	12
SERPINB2	12
BATF	12
CCNT2	12
HYDIN	12
CSF1	12
ZZZ3	12
MSTO1	12
MYL9	12
MAFB	12
MAF	12
VAV3	12
ODC1	12
ZFP2	12
IKBKE	12
PHB	12
PLXNC1	12
LGI3	12
PDGFB	12
PIGZ	12
UGCG	12
LIFR	12
IL22RA1	12
OPTN	12
KLF2	12
PCSK1N	12
LCN2	12
NTNG2	12
PBXIP1	12
NLRP3	12
ALOXE3	12
KRT15	12
LRRC45	12
NAV3	12
WFIKKN2	11
RIBC2	11
HIVEP2	11
F5	11
APC2	11
TMEM71	11
TSC22D2	11
DIO2	11
TMEM88	11
LAP3	11
CDKN2C	11
HIST1H2AK	11
TMEM37	11
SCN8A	11
SIX4	11
TMED6	11
CD14	11
SERPINB9	11
AGR2	11
LOX	11
GGN	11
PCYOX1	11
ISLR	11
CCDC34	11
SEMA4A	11
LY6D	11
SLA	11
POR	11
SEMA3G	11
RBMS3	11
PDK4	11
S100A9	11
PLK1	11
PHLDB2	11
FST	11
FMO5	11
SLCO4C1	11
FRS2	11
MTSS1	11
TNS1	11
CHRNA10	11
FTMT	11
UAP1L1	11
RNF183	11
ICAM5	11
COL23A1	11
KIRREL2	11
UCP2	11
SYT1	11
CTXN1	11
CCNG2	11
HRG	11
BIRC2	11
FGFR3	11
TNFRSF11B	11
PSMB10	11
ADAM8	11
SNX22	11
PPP1R9A	11
CCND3	10
BSG	10
KIF12	10
GABRA3	10
PLA1A	10
TREX1	10
GPBP1	10
LAMA2	10
ALDH3A2	10
GAS2L3	10
PNRC2	10
CCNB1	10
EPC1	10
FLCN	10
PELI1	10
RERG	10
FSCN1	10
RARRES2	10
FRY	10
BIK	10
SEMA3A	10
BMF	10
FAP	10
RASGRP1	10
ANGPT2	10
IVL	10
TNFSF15	10
RPS6KL1	10
FFAR2	10
F8	10
MASP2	10
ZFP36L1	10
SPRY4	10
DUOXA2	10
SLC9A9	10
ADM2	10
SLC28A3	10
SLC7A5	10
DEPDC7	10
THBD	10
SLC23A3	10
HIST2H2BE	10
SLC3A2	10
ZEB2	10
ATG16L2	10
HSPA1A	10
PPTC7	10
ZFHX2	10
EIF5	10
OVOL1	10
CDKN1B	10
CEBPB	10
TMCC2	10
CYP27A1	10
DBP	10
SULT1C2	10
ASNS	10
ZSWIM5	10
STK32A	10
NRIP1	10
USP43	10
SLAMF9	10
NT5DC2	10
NEDD4	10
CDKN1A	10
MMRN2	9
RRAD	9
NPFF	9
SOX13	9
CCR1	9
SOX7	9
ANK1	9
CENPM	9
CHIC2	9
NFE2L2	9
CHST2	9
NEDD4L	9
KLHL4	9
TANK	9
CPLX2	9
ABCG1	9
GATA3	9
CNIH2	9
SULT1E1	9
VNN1	9
CENPP	9
ADAMTS9	9
AMIGO1	9
TMEM160	9
SEC24A	9
DUSP16	9
ADPRH	9
LY75	9
TLE6	9
PDGFRL	9
NCALD	9
FGG	9
PDE5A	9
PDE4D	9
EDAR	9
PARD6G	9
EFNA1	9
EFNB3	9
CDC14A	9
OTUD1	9
WISP1	9
TMEM52	9
MAST4	9
CDK5R1	9
MB	9
SLC5A10	9
SLC6A12	9
SAMSN1	9
LEFTY1	9
WDR72	9
CEL	9
ALPK3	9
SMTN	9
FGFBP1	9
MIER1	9
AGBL2	9
SYNGR4	9
RDM1	9
ARL4D	9
RHCG	9
ARHGAP19	9
UCP3	9
GPX3	9
KAZALD1	9
BMP7	9
RASSF4	9
VAMP2	9
REPS2	9
PSMB5	9
HBP1	9
TST	9
USPL1	9
BEX2	9
GULP1	9
TSPAN8	9
PROM1	9
QPRT	9
IL33	9
GPM6B	9
HIST1H1T	9
VAV1	9
HIST4H4	9
TRIM69	9
BNIP3L	9
TTLL6	9
ITGB7	9
TRIM56	9
TBC1D10A	8
HSPB8	8
CCDC85A	8
NPR1	8
FGF2	8
TSNAXIP1	8
MMP25	8
NEFH	8
TNC	8
FGD6	8
ITPKA	8
APBA1	8
FBXW7	8
FBXO6	8
NEIL3	8
VASH1	8
BCL2	8
SCNN1B	8
HSPB9	8
NKD2	8
SCN3A	8
ACO1	8
RBBP6	8
ACHE	8
PLK2	8
PPP4R2	8
LASP1	8
ETV3	8
ALDH1A1	8
SLC7A2	8
SLC6A8	8
IL1R2	8
DUSP6	8
MAK	8
UPK3B	8
SLC22A17	8
IL31RA	8
DHRS9	8
ADI1	8
CDK5R2	8
TGM1	8
HIVEP1	8
SLC40A1	8
SLC2A5	8
B2M	8
MARCO	8
DNAJB1	8
B4GALT7	8
TLR1	8
MMP19	8
PARD6B	8
ACTA1	8
GSG1	8
MMP11	8
MKX	8
HS3ST3B1	8
PSMB8	8
DAGLA	8
SNIP1	8
HR	8
AHCY	8
SMAD7	8
MEIG1	8
POLM	8
SLITRK6	8
EDN2	8
ARID5A	8
RAB2B	8
NRCAM	8
DMC1	8
COPE	8
KLF7	8
KCNE3	8
PIM3	8
VSIG1	8
ZWINT	8
ANGPT1	8
GLI2	8
VSIG2	8
TRAP1	8
TPD52L1	8
ID1	8
STAT5A	8
STAT4	8
CNFN	8
ST6GALNAC5	8
GALNT2	8
MYNN	8
KHK	8
GJA4	8
KLRC1	8
RHEBL1	8
PRIMA1	8
MYO18B	8
PLEKHA4	8
RGS16	8
MYLK	8
TRIM2	8
CIITA	8
SUSD3	8
NDRG1	8
RHOV	8
PGRMC1	8
KIF21B	8
NCF1	8
KIFC3	8
FHL2	8
GFPT2	8
IFNB1	8
ASCC3	8
GDF9	8
KLF11	8
GBP2	8
WARS	8
ASRGL1	8
JUP	8
TRIB3	8
LRG1	7
SYNPO2	7
HCLS1	7
REEP1	7
PLAC8	7
