	Relative Rank Change
EFNA1	0.4041765794343114
STAT5A	0.3717277486910995
ZBTB20	0.34845360824742266
ICAM5	0.3453846153846154
HIVEP2	0.3445243804956035
DBP	0.34272141160502206
ARL5B	0.34233766233766233
FOXO1	0.34146341463414637
STX11	0.34145383104125737
NFKBIZ	0.3409090909090909
SIX4	0.33990536277602523
HIVEP1	0.33704086911536474
SERTAD2	0.32861990950226244
FOXN2	0.32197943444730076
SKIL	0.32130281690140844
HIST2H2BE	0.32107843137254904
NFKB2	0.3195402298850575
PDGFD	0.3180458624127617
SEMA3E	0.31451612903225806
ANXA9	0.311913357400722
ANKRD12	0.3096976016684046
NOD2	0.3080895008605852
ZBTB10	0.3068362480127186
B3GNT5	0.30454042081949056
PDE4B	0.30167014613778703
MCM5	0.30105263157894735
RAB26	0.2940038684719536
GRHL1	0.2926208651399491
EREG	0.2872531418312388
PER3	0.2809633027522936
GATM	0.27918781725888325
TM7SF2	0.2775551102204409
ETV3	0.2744650499286733
DIRAS1	0.2729854455094072
ADAM8	0.26946386946386947
CYP27A1	0.2678787878787879
CD83	0.26436781609195403
SLC25A10	0.26167192429022085
LOX	0.2601626016260163
ZEB2	0.2588916459884202
ANXA2	0.25811001410437234
TM4SF4	0.2549244159413651
ARID4B	0.25482257680400094
IL15	0.2546617915904936
CHST2	0.25430597771023306
FGFR3	0.2516945323090827
SERTAD3	0.25114657860942946
RND1	0.2506375227686703
HIST1H2AK	0.2504672897196262
GNRH1	0.2497463988638669
CSPG5	0.2491216863621846
SLA	0.2483790523690773
MYSM1	0.24792666957660411
FLCN	0.24722965227359572
FOXC2	0.2472250252270434
CRY1	0.24690831556503198
AHCY	0.24662709120345386
MXD3	0.2463863337713535
GPX2	0.24560449519666486
TNFRSF11B	0.24431026474686485
MBIP	0.24413965087281794
AMBP	0.2421630094043887
CXCR4	0.2418478260869565
PPTC7	0.24167987321711568
CENPA	0.24123076923076922
METRN	0.24087363494539782
SNIP1	0.24080477837158126
ZBTB6	0.24060960591133004
GAS2L3	0.2405511811023622
PBXIP1	0.2404862579281184
SEC24A	0.2400398406374502
BMF	0.23976109215017063
USP43	0.23964497041420119
ALDH1A1	0.2396039603960396
RIBC2	0.2393242609103707
DCP1A	0.2388673213062343
GPBP1	0.23883089770354907
EPC1	0.23842404549147034
NTNG2	0.23796646836127636
USPL1	0.23780068728522336
NRCAM	0.23745064861816131
VASH1	0.23711055969120484
NFIL3	0.23697478991596638
MASP2	0.2359882005899705
SMPDL3B	0.23570955638931804
AGR2	0.2353754030400737
TNFAIP8	0.23510919920582396
RASGRP1	0.23501912452188695
CROT	0.2349612240620415
RBBP6	0.2339579784213515
UAP1L1	0.23394941634241245
NECAP1	0.2339300244100895
TNFSF15	0.23375050464271296
PSAP	0.23363017286537455
CDKN1B	0.23344370860927152
CCDC81	0.23342036553524803
KLF11	0.23331398723157284
APBA1	0.2332955832389581
NEDD4L	0.2322533673097925
PPP4R2	0.23020706455542023
RNMT	0.22961599158337717
CYP26B1	0.22938905291846468
KLHL3	0.22865776882397382
PGRMC1	0.22862232779097388
TANK	0.22821869488536156
IRAK2	0.22764227642276422
ELL	0.2274264897215717
GLI2	0.22663332291341043
MIER1	0.2265787647467037
VAV1	0.22627210393359798
CSF1R	0.22585775960009088
LYPD3	0.2257264351523742
CHIC2	0.2249554367201426
RPS6KL1	0.22416534181240064
MAFF	0.2222222222222222
NFKB1	0.2220795892169448
FOSL1	0.2217741935483871
KLF7	0.22123350721080087
CILP2	0.22111055527763882
PPP1R15B	0.22031746031746033
FBXW7	0.21960553429496615
TK1	0.21895861148197596
SERPINH1	0.21740585774058577
CYLD	0.21730382293762576
FZD2	0.21724524076147816
XRN1	0.21712538226299694
ATP6V1G2	0.21709441959029904
C1QTNF1	0.2170059880239521
SERPINB2	0.21688159437280188
CNFN	0.21645686214307644
SPOCK2	0.21511017838405036
BCL10	0.21506612995974697
PIGA	0.2149558498896247
NDUFA2	0.21478328173374614
APOC1	0.21388261851015802
PROM1	0.21368385574654533
RLF	0.2125193199381762
SPP1	0.21074380165289255
PSAT1	0.2103825136612022
IL20RB	0.20982986767485823
PER1	0.2097902097902098
GDNF	0.2088
TIAM2	0.2080045095828636
SLC6A13	0.20754064337599445
AEBP2	0.20705016463296533
RSRC2	0.20674157303370785
CLDN2	0.2064343163538874
RSBN1	0.20637796702301142
ALOXE3	0.2062841530054645
SOX9	0.20618556701030927
MXD4	0.2061328790459966
BACH2	0.2040358744394619
PIM1	0.20402298850574713
ZBTB43	0.2028169014084507
RASSF5	0.20195746282702803
NUDT8	0.20132325141776938
PLAT	0.20116618075801748
CGNL1	0.20090293453724606
ETS2	0.1994750656167979
NRG4	0.19743769743769743
ICAM4	0.19656786271450857
FRS2	0.19603753910323254
ANXA13	0.1952247191011236
GLP2R	0.19481382978723405
TIPARP	0.19413092550790068
NR4A3	0.19148936170212766
ADM	0.19072164948453607
DUSP8	0.19047619047619047
GADD45B	0.1861152141802068
BBC3	0.1853448275862069
JUNB	0.18518518518518517
ABTB2	0.18382352941176472
PDGFB	0.18327183271832717
OTUD3	0.18313953488372092
ITGB2	0.1822950819672131
MAFG	0.18143459915611815
MDM4	0.1802799569297031
GUCA1B	0.17860224331320104
PLEKHG2	0.17840521253490538
ETFB	0.17802311540451957
NDUFS7	0.17802311540451957
NDUFB10	0.17802311540451957
VDR	0.17693134695131316
IL1B	0.1765601217656012
ARID3B	0.1752988047808765
BST1	0.1736842105263158
CCNT1	0.17302641742623204
PNN	0.17206290471785385
SLC22A13	0.16953257447323808
TBC1D22B	0.16927899686520376
INTS6	0.1689419795221843
TWIST1	0.16666666666666666
MNS1	0.16666666666666666
TNFAIP3	0.16666666666666666
HS3ST3B1	0.16580310880829016
NDUFA13	0.1651139742319128
AGMAT	0.16493843162670124
SERPINI1	0.1647167487684729
OVGP1	0.16133004926108374
UCP2	0.16100365917407214
GPM6B	0.15980538922155688
SEMA4A	0.1586021505376344
WDR18	0.15841431436063552
RERG	0.15761396702230843
CCL4	0.15692007797270954
ATP6V0E2	0.1554001554001554
CLK1	0.15328467153284672
PRDX1	0.15286144578313254
TTC21A	0.15214384508990317
HIST3H2A	0.15154782073001694
PRDM1	0.15105162523900573
ATP2A1	0.150093808630394
F5	0.14982973893303064
FGF12	0.14620518392053392
NFKBIA	0.14583333333333334
P2RY6	0.14331582019848219
CP	0.14285714285714285
RHCG	0.14192495921696574
CAMK2B	0.14160839160839161
CDK5R1	0.14028629856850716
HOXA5	0.14022988505747128
PSMB5	0.13837638376383765
HIST4H4	0.13755622188905547
F3	0.13740458015267176
KLHL4	0.137221269296741
DDIT3	0.13615023474178403
OTUB2	0.13567933759879564
HES1	0.135678391959799
IER2	0.13545816733067728
IER5	0.13473684210526315
CXCL2	0.13333333333333333
PELI1	0.13298379408960914
HELB	0.13216249778250844
PARP12	0.13194444444444445
SPSB1	0.1310153691106072
SLC40A1	0.13096519555077143
RYBP	0.13050526884625777
IGFBP7	0.13049985034420833
ICAM1	0.13043478260869565
ADCY4	0.13028692879914985
KLF10	0.13008130081300814
FGD6	0.13005683717820127
HPGD	0.1297616121897272
DDC	0.12955729166666666
DDIT4	0.12943632567849686
PHB	0.12871287128712872
TRIM56	0.12853949329359166
ABLIM2	0.12853403141361255
KIF12	0.12839946500222915
PXMP2	0.12837465564738293
PHLDB2	0.12823112012164217
SOD2	0.1282051282051282
ZC3H12A	0.1282051282051282
KLF9	0.127832473824035
G0S2	0.12778904665314403
FSD1L	0.12772133526850507
SLC2A13	0.12759977515458124
ERN1	0.1275225418634607
MCTP1	0.12751923781604985
CDKN1A	0.12740384615384615
SAMHD1	0.12727272727272726
ASNS	0.1272563176895307
SUSD3	0.1272108843537415
RNF6	0.12717086834733893
LRRC6	0.12708378436891102
PLCXD2	0.12706446457112414
IER3	0.12650602409638553
FBXO6	0.12649800266311584
TXNDC5	0.12636003956478734
RASL11A	0.12633777081701905
NEDD4	0.12601626016260162
USP37	0.12601563697685114
KIF21B	0.1260043827611395
NT5M	0.1259283177268324
TMEM121	0.1259283177268324
PROC	0.12586162879754914
CLEC11A	0.1255802589787442
NUDT13	0.12524244943197563
HSH2D	0.125
DDN	0.1249467858663261
MYO1A	0.12492113564668769
TEX15	0.12485160269093787
CACNG8	0.12481881140280239
RBMS3	0.12455726092089728
SALL2	0.12428348097967691
DSEL	0.12421665174574754
CORO1A	0.1241394148020654
ADM2	0.12413452027695351
RARRES2	0.12401665895418787
CD247	0.123941493456505
ID1	0.12389380530973451
BAHCC1	0.12387938060309699
MCM6	0.12358101135190919
STAT4	0.12356127285037237
RAB36	0.12345346960731576
EPHX1	0.12322274881516587
CHTF18	0.1231590181430096
PYGO1	0.1228659389868458
LAMA2	0.12285012285012285
SULT2B1	0.12284550297712316
COX5B	0.12272209567198178
NRIP1	0.1225296442687747
PRPS1	0.12249322493224932
SAC3D1	0.12247797669792555
GZF1	0.12247071352502663
SYT12	0.12246727631343016
SIVA1	0.12244897959183673
CCNB1	0.12243033348560987
MYO7A	0.1222630653667892
ITPKA	0.12214532871972318
TGFB3	0.12208480565371024
SERPINB9	0.12188208616780045
RHEBL1	0.12184724689165187
TNFAIP2	0.1218274111675127
ZWINT	0.1217422349161014
SEMA3A	0.12161496799606106
RAB30	0.1214574898785425
TST	0.12129177619226436
HIST1H1E	0.12119675456389452
SLC6A14	0.12116752514103507
HCFC2	0.12108190091001012
CPEB3	0.12106135986733002
WNT11	0.12101910828025478
SLC6A12	0.12100965107646622
POGZ	0.12081513828238719
CEBPB	0.12078922040423484
VMO1	0.12076890931884664
STK32A	0.1205
CRYM	0.12038140643623362
TUFT1	0.12035661218424963
POLE2	0.12012743628185907
MYNN	0.12009978617248752
ALDH3A2	0.1200724966017218
PTBP2	0.1198394495412844
TLR1	0.11979695431472082
LGALS4	0.11979166666666667
BIRC2	0.1197110423116615
ZFHX2	0.11958661417322834
HYAL1	0.119412619009198
IGSF9	0.11939133827545845
WNK2	0.11936522539098436
TPD52L1	0.11935365405802424
HES6	0.11919473789117002
HIST1H2BC	0.1191725841309046
CXXC5	0.11908120088656055
ARL4D	0.11906614785992217
SH3TC1	0.11885245901639344
GADD45A	0.11884057971014493
TMEM97	0.11878760864720303
ALDH1L2	0.11877326715121432
PCK2	0.11864671032117244
IVL	0.11854243542435425
ADORA2A	0.11821471652593486
RRM2	0.1181026137463698
CCDC34	0.1180428134556575
MAP2K6	0.11784511784511785
TNIP1	0.11773981603153745
PER2	0.11764705882352941
KAZALD1	0.1176218990590248
MTSS1	0.11754587155963303
PTGS2	0.11739130434782609
NEIL3	0.11737245748582861
SOX7	0.11725749902610051
POLD2	0.11692739671079021
SEMA3G	0.1166464155528554
CDC42EP2	0.11638655462184874
PADI3	0.11634056054997356
NANOS3	0.11632183908045977
CCND3	0.11615720524017467
TRIM2	0.11604207758053912
ATG16L2	0.11598746081504702
RHOV	0.11590003621876131
MMP9	0.11564625850340136
PPM1K	0.11560693641618497
GSTO2	0.1154688070047428
SCARA3	0.11517286941202379
AATK	0.11514522821576763
WDR34	0.11508951406649616
SDF2L1	0.11498172959805116
VNN1	0.1148936170212766
NRGN	0.1148793885837115
GBX2	0.11487481590574374
SGPP2	0.1148105625717566
TMEM71	0.11464618760285245
TRAP1	0.1142963514519732
CENPM	0.11418832552194291
TSPAN8	0.1138592750533049
DEPDC7	0.11377820451272204
ENPP1	0.11340659340659341
RNASEH2A	0.1134020618556701
ADI1	0.11339846475924634
UGCG	0.11337868480725624
ZBTB37	0.11334920344259293
RBM15	0.11330935251798561
DDO	0.11320754716981132
PRG2	0.11289842120941317
ADPRHL1	0.11283404816892115
ALX3	0.11282355265757756
SMTN	0.11282051282051282
PHKG1	0.11252336448598131
TCP11L2	0.1123046875
DRD4	0.11222493887530563
CFTR	0.11212185318383754
OTUD1	0.11210762331838565
CCDC96	0.11191135734072022
GALM	0.11185308848080133
SESN3	0.11172622043281329
NKPD1	0.11146245059288537
INHBE	0.11131059245960502
MB	0.11125211505922165
JUN	0.1111111111111111
MX1	0.1111111111111111
UPK3B	0.11100323624595469
SYT8	0.1109764542936288
GATA3	0.11088295687885011
NME5	0.11084128360797918
ENDOG	0.11082680313449544
HR	0.1107459743674006
COL4A1	0.11057979677226538
ETS1	0.11049723756906077
LIFR	0.1104868913857678
KLF4	0.11038961038961038
PGM5	0.11027027027027027
ACSM3	0.11019929660023446
MAST4	0.1100244498777506
ADAM12	0.10996261271167802
RNF183	0.10996189439303211
FGF18	0.1099554234769688
HTRA1	0.10988638290656266
ATF4	0.10961066292528937
PRR16	0.10958520179372197
SCNN1B	0.10955056179775281
CCDC121	0.109537887039054
SLC28A3	0.10952652595550486
JAK2	0.10950764006791172
