	Relative Change
ZBTB6	2.840249085868784
VDR	1.9862528955956382
MDM4	1.984061543729682
PNN	1.9673382642588777
SERPINI1	1.9659672298844666
OVGP1	1.9623712788678251
TTC21A	1.9606607968350533
CCNT1	1.9589236742345393
HOXA5	1.9579529545775654
WDR18	1.9513828768991022
HIST3H2A	1.951013627642612
PLEKHG2	1.9434142531286742
USP37	1.9262177294832523
FGF12	1.896756453133587
HIST1H2BC	1.8929201409900729
SEMA3E	1.4128345016344348
SALL4	1.0058972853933732
SLC22A4	1.0011756079929828
CLDN23	1.0011756079929828
GSTM4	1.0010847443358233
SPATA17	1.0006346281506746
DOC2A	1.0006346281506746
MPV17L	0.9996254061718491
CHN1	0.9959051644052443
NTS	0.9957850475036952
SLC25A10	0.9924910256595597
KCNQ1	0.9921447528988746
MMAB	0.9904243227757005
AP4M1	0.9903549850718908
LYSMD2	0.9902507513772393
POLD1	0.9888832811108776
POLR2L	0.9882604014386251
LYPLAL1	0.9877269009690222
STOML1	0.9876091401602068
AOC2	0.9870670383379146
FAAH	0.9868475424045821
CDH26	0.9859542913633605
ALDH16A1	0.9859542913633605
OSBP2	0.9857503938259331
SPA17	0.9855753800320091
LRRC46	0.985420058000405
GRIN2D	0.9843584854203086
TESC	0.984119758018813
MVK	0.984119758018813
RBP7	0.9838493819373376
MPP2	0.9834669631912543
SYCP2	0.9826420369388223
NUBP2	0.9825569456991249
TLK2	0.9810808652424066
CSPG5	0.9810226159835355
PCYT2	0.9809456003923964
FBXO15	0.9809021719766579
CYP27B1	0.9788806965481179
GTF2B	0.9780737846844608
TNFAIP8	0.9779920483254373
AGTRAP	0.9774968986229721
SDSL	0.9774968986229721
ZNRD1	0.9774968986229721
UNC5A	0.9774968986229721
METRN	0.9774926928836655
EAF2	0.9770034058205997
RBP4	0.9768234782776269
ZMYND12	0.9766596086009941
SLC9A2	0.9766596086009941
SUSD2	0.9752004574718424
ANAPC10	0.9748395586524883
SMNDC1	0.974542557261331
FOXRED2	0.9740079120312752
CTHRC1	0.9735869947825455
ANKHD1	0.9682250085796158
LUC7L2	0.9682250085796158
CILP2	0.9677909325276093
SERPINH1	0.9659816451488471
TLCD1	0.9584079099669552
RAB15	0.9584079099669552
SERINC5	0.9542119847568851
THOC3	0.9496019348993663
CATSPER3	0.9490572980628532
PRKRIP1	0.9490572980628532
EXTL2	0.9425217490139112
SLAIN1	0.9424380076199073
LCP1	0.939112857689051
STX11	0.9349182829661049
NDUFS7	0.9258472689550392
NDUFB10	0.9258472689550392
ETFB	0.9258472689550392
AGR3	0.9159967151566225
BDH1	0.9159967151566225
SLC6A13	0.9151574275165495
NMNAT3	0.9134830798497161
CALML3	0.9134830798497161
SEMA5A	0.9134830798497161
DUSP19	0.9134830798497161
RFESD	0.9134830798497161
ITGB2	0.9129192489889422
PLEK2	0.8035548317166781
EFNA1	0.6765224816311003
DIRAS1	0.6736890657291353
IL15	0.6476584091339563
SERTAD3	0.6448598308035975
RND1	0.6424318387851368
GPX2	0.6389644976488549
NDUFA2	0.6206847243703603
APOC1	0.618322766817882
AEBP2	0.6140898377102763
LYPD3	0.6072588361424888
RASSF5	0.6046351651229771
RSBN1	0.5773219763590338
NDUFA13	0.5666162050353559
STAT5A	0.5654333795860595
ATP6V0E2	0.5539215851619161
HIVEP1	0.5360366566603786
TM7SF2	0.5279509761622574
AGMAT	0.5240963920187852
KLF9	0.49982461732870875
SULT2B1	0.4940874514443721
FSD1L	0.4937695743301459
MYO1A	0.4936463622372485
HTRA1	0.49341306842126265
TMEM121	0.4931639609978802
NT5M	0.4931639609978802
CACNG8	0.4923540188235076
MYO7A	0.491152289444775
PCK2	0.4908309584992172
ADPRHL1	0.4902387484568177
HYAL1	0.4901006516305216
CTH	0.4895474563411999
ENDOG	0.4858279614184978
ACAT2	0.4852581212052941
RNF139	0.485211381612958
DBNDD2	0.48491579710596605
NKPD1	0.4848183430566041
CCDC121	0.4846968009155496
CD22	0.4844335541912668
HHAT	0.483356385141104
FOXC2	0.4825762011551062
GPR135	0.4817355418527108
GNRH1	0.48166269850487287
TM4SF4	0.4811445680071875
HPSE	0.4805207322634739
BANK1	0.4800224850988884
CDKL3	0.4797982198582941
RASSF8	0.4797087674315327
PRSS16	0.4794571350245658
GRAMD1B	0.4794526171480093
MSLN	0.47928922954076036
MAPRE2	0.4788243607891291
NCAPD3	0.47879603381401914
CTDSP2	0.47793884883339394
NANOS1	0.4779370652801807
WNT4	0.4769904453841879
CRLF1	0.47694488945169555
UNC5CL	0.4767382895883872
ARL2	0.47206948871149923
SNTB1	0.4715678734913555
MYSM1	0.470516525523933
CRY1	0.47040992244187035
SYT8	0.46743580604043966
DTX2	0.4671753114160156
SOX21	0.46671820977094486
NME5	0.4664035692777962
BMP4	0.465295910740963
PYY	0.465262802497533
CXCR4	0.46443207103824535
IRAK3	0.46364242383689397
EEF1E1	0.46355697410733115
SMPDL3B	0.4635138706828682
RCN3	0.461908538366555
DCP1A	0.46021522382316826
PDE3B	0.4588141563305303
CROT	0.457975488231467
CYP26B1	0.4572358944387194
TIMP4	0.45683436646331504
CSF1R	0.45563851288671453
NECAP1	0.4500228106779687
KRT20	0.4403870800464386
NPM2	0.43842953956892033
TCN2	0.4360638744355062
DOCK11	0.4357492823340608
COMMD4	0.43393239356107915
CYP39A1	0.432522096447721
TCF7	0.4282230968714104
COL24A1	0.4166184768265362
NRG4	0.39318558235741913
DNER	0.3765288702751559
ARID4B	0.3733682809015865
DBP	0.3695189175428616
MBIP	0.3685933884582271
AMBP	0.3651342377245542
PSAP	0.3579664214479837
KLHL3	0.357211760950089
ELL	0.35658628370386025
HIST2H2BE	0.3556811393147937
RNMT	0.35474133390370355
HELB	0.335354512422037
OTUB2	0.3328610376058323
TEX15	0.3302850772396618
TGFB3	0.327025898904203
MCTP1	0.3254974360258622
SYT12	0.3246452086830178
ETV3	0.32459761757057765
POLE2	0.32417995026764607
IGSF9	0.32198245360461153
ALDH1L2	0.3211115828574068
PHKG1	0.3210250947844421
MMP9	0.31842954238001236
TCP11L2	0.31825126954237876
WDR34	0.3180219650754526
GSTO2	0.3179825796173379
GALM	0.31789734024924815
ZBTB37	0.317325200513053
CCDC96	0.3172340470214996
HIVEP2	0.3169280656097104
ACSM3	0.3162788878629146
YPEL1	0.3155864709298376
ZFP37	0.31544596913569584
SLC12A7	0.3152184412464491
FPGT	0.31511315344127766
BTAF1	0.3145113415262366
RASSF1	0.3140235238644845
DHCR7	0.3133453828223759
ALX3	0.3132304066200595
CSTB	0.3128579762806192
GLDC	0.3127642965203894
SIX4	0.31243894733677685
CDK5	0.31101325835957544
ADAM23	0.310966343472532
ACOX2	0.3109615415912229
TUB	0.3100542048825064
APOM	0.30888418725581507
HES6	0.3084726582866046
OLFML3	0.30773168094674364
PODXL	0.30672473896468844
ICAM5	0.30663888851802057
CHDH	0.30537673960399164
ATF4	0.30462422665095457
NRCAM	0.301707461111294
RBBP6	0.29881772826012515
KLF11	0.29864601599974205
PGRMC1	0.2978228441816744
PPP4R2	0.29760254519833457
APBA1	0.2971652141856768
FBN1	0.29702536472716523
PDK2	0.2961084971415508
SNIP1	0.2946159439685445
KLF7	0.292304604320411
FBXW7	0.29145392005195175
SLC9A8	0.290501653255761
CNFN	0.2897812531087677
GLI2	0.2883663988387853
VASH1	0.28753020601794366
NID2	0.2835712664630909
FOXO1	0.2808808285892266
AHCY	0.28029968608504374
CNOT4	0.27907200816872973
SYT16	0.2772359250245053
TTYH3	0.27698446254688336
PAQR5	0.2716420034769201
ZBTB7C	0.2694625411621055
CHST2	0.2647449166050104
EHD1	0.26221844887939877
ARL5B	0.2583001460084951
SENP7	0.2556458075118273
ALDH1A1	0.2546649853646056
SEC24A	0.2528709257644259
USPL1	0.2528594299707357
TANK	0.25048917748948607
SERTAD2	0.2485212391780106
MIER1	0.2484582202591444
CHIC2	0.24720938707249784
ATP6V1G2	0.24461185305374894
C1QTNF1	0.24391101487809794
VAV1	0.24227166373106745
DSEL	0.23999493606939612
ADCY4	0.23991364547084473
LRRC6	0.2397780250481169
ERN1	0.23909360983916167
NFKB2	0.23759906092329283
CORO1A	0.237085479407206
NEDD4L	0.23692829867290466
TMEM97	0.23633070893938793
DDN	0.23630797501045098
CHTF18	0.2349528062987916
GZF1	0.2348823742726617
TUFT1	0.2348599839066044
SCARA3	0.23446059611619416
VMO1	0.2337892157721669
ENPP1	0.23335080123615906
CXXC5	0.233211022355583
ADORA2A	0.23229575624818316
RNASEH2A	0.23210370089366028
CDC42EP2	0.23203148704921586
IKZF5	0.23140159185724243
ADAM12	0.23139620355981874
NRTN	0.23046430241853794
CFTR	0.22955940686238271
PROM1	0.22947375062138986
PRR15	0.22883466725592416
CYP27A1	0.2285317996932654
ZEB2	0.22773062742205846
CREG2	0.22760127603861066
POLD2	0.22729396065190519
CPXM1	0.22613109280801094
GIPC2	0.2249533235156157
STS	0.2235788199076352
GCKR	0.22325637428525347
FOXN2	0.2225227913312297
NANOS3	0.22241986210271347
UPK2	0.22065485803702142
KRBA1	0.21989670956221444
FLCN	0.21969270617224965
FGD2	0.2193189006390418
PDIK1L	0.2193039150672879
ALDH8A1	0.21791545576507743
MVD	0.21738779755998358
WNK2	0.21645956040573375
PPTC7	0.2159676734448949
GPBP1	0.21502122133731572
GAS2L3	0.2145932376591356
EPC1	0.21449789072610648
PTPRZ1	0.21406272982909658
DGKG	0.21326034732610893
CDKN1B	0.21301049210609066
USP43	0.21222547553577834
SV2B	0.21165727534860446
TNFSF15	0.2116543428406887
SLC22A13	0.21073556650430736
ZBTB20	0.2105780228227756
MASP2	0.21021526643911584
BST1	0.21005199025217097
PIGA	0.21002837319592826
RASGRP1	0.20684359252691242
NFKBIZ	0.20554684214497268
BMF	0.20522307021695788
RPS6KL1	0.20518756031413615
CCL4	0.2048773685663319
PPARGC1A	0.20367442050356876
ANXA9	0.20073706141930933
ADAM8	0.1995654722767007
LOX	0.1958849217279836
FGFR3	0.19491244022359672
GPR146	0.19403179869353618
HIST1H2AK	0.1926057747345293
TTC25	0.19178539101915437
HPGD	0.19144471875405963
TXNDC5	0.19007311167695504
CLEC11A	0.188885521096712
TNFRSF11B	0.18831649811603562
SPSB1	0.1879732865769531
RIBC2	0.18676230848560121
WNT11	0.18669744502463398
SIVA1	0.18639980731614272
SLC6A14	0.18587124326414053
CD247	0.18516143398634208
PROC	0.18505208745987545
POGZ	0.18484469738127582
AGR2	0.18468447536530663
MCM6	0.18436939868858354
SKIL	0.18391336061861355
HCFC2	0.18389038943363786
GUCA1B	0.18360713842812917
ZBTB10	0.18321613255126862
HIST1H1E	0.1831970114658141
SALL2	0.182775853868186
RASL11A	0.18271271590756524
ABLIM2	0.1820167041294456
NOD2	0.18177455467614043
SDF2L1	0.1814745522567122
UAP1L1	0.18108937518742788
NRGN	0.18069515803572428
SESN3	0.17997301909694458
DRD4	0.17995760769552932
SLA	0.17956636103431117
RBM15	0.1795506853158888
INHBE	0.17882458297197545
PDGFD	0.177950168695354
GYPC	0.17791505082965894
TNIP1	0.17769459928348902
CAMKK1	0.17760429493419846
WDR62	0.17735381715809012
GRHL1	0.1769181210883225
SLC2A8	0.17504531387978475
PADI3	0.17484495444127657
NTNG2	0.17310262923991543
EREG	0.17162299475251994
PBXIP1	0.17024055654582748
RAB26	0.1676836171640116
ANKRD12	0.1663261504235197
MXD3	0.1652397215280922
P2RY6	0.16407567750180949
PLCXD2	0.1638457782500527
MFGE8	0.16371101011429898
PDE4B	0.1636285711807087
THOP1	0.16332881975560742
B3GNT5	0.16271099625470303
HS3ST3B1	0.16268589535524666
CENPA	0.16244028495475066
MCM5	0.16096576860350617
IGFBP7	0.15972825358791287
TIAM2	0.15967701930833214
CCDC81	0.15831802045358873
BCL10	0.15805879773377574
CRYM	0.15494672750555671
LGALS4	0.15359116819207747
SLC2A13	0.15352125572671974
TRDMT1	0.15344875353124007
RNF6	0.1533452162717298
COX5B	0.1527941986874599
SERPINB2	0.15269755465658147
PTBP2	0.1523179361959968
SAC3D1	0.15226331782898306
PRG2	0.15205999758151603
PER3	0.15110326224514953
PPP1R15B	0.15080070910274673
NFKB1	0.15002383402153247
PYGO1	0.14965520114804925
PXMP2	0.14958841915310267
SEMA3D	0.1489337582832081
CTSO	0.14863918746580373
SGPP2	0.14824863965900908
NUDT13	0.1480012088463546
GATM	0.14789333812891076
SKP2	0.14757751679645062
IL20RB	0.1475570408712808
TK1	0.14742562536389364
REEP1	0.14686402423871892
BPGM	0.14663902824931538
CHGB	0.1457602492267555
CXCL14	0.1444500271870467
SPP1	0.1443363011199005
EPN3	0.14421550553820314
LSS	0.1432658175791942
ATP12A	0.14309043788086645
CYP4B1	0.14191532814385682
ALOXE3	0.14190360197286575
RYBP	0.14155273005254282
MND1	0.14132824166749908
ACSS1	0.14096708915652975
NRIP3	0.13992493171554166
GPM6B	0.13910769578204946
XRN1	0.13845053495489565
PPP1R16B	0.13699794983309413
GLP2R	0.1367334248767892
PRODH	0.13609538919342326
BEST1	0.13494628535208458
RLF	0.13489057609084862
PRR16	0.13484140999946362
SLC40A1	0.13457486436547988
KIF21B	0.13415187027380104
FGD6	0.13408559468478504
PSMB5	0.1329245929810355
ANXA2	0.13284410877985417
FBXO6	0.13267562689296744
CYLD	0.132266678061586
CD83	0.13225392523717464
PLCB1	0.1320643694406851
SUSD3	0.131589149034984
