,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
AAAS,-0.0008561639671891275,-0.0010129266479163013,-0.0006572208782670286,-0.0007305681139210263,-0.0009044965060905907,-0.0005527720110721779,-0.0005190926854728439,-0.0003836766274143977,-0.0011457795209965926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACS,-0.00029297044594145394,-0.0004415598818295896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAC,-0.0009283280395495641,-0.0013000911781385627,-0.0009266892202114407,-0.001002864564734085,-0.0005479083796945394,1.5969338869326055e-05,-0.0013966515825274417,0.0007931402549812283,-0.00011293444969318056,-0.0005361428787543643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,-0.001994709087092872,-0.003212544143081586,-0.0025701016869389415,-0.0024396375590792774,-0.002436209883560303,-0.0019482593420631078,-0.0028321302520071256,-0.0012015434164710515,-0.0014466998647557072,-0.001730638092369896,-0.002535601772284124,-0.0012241489914923687,-0.0026253096007723964,-0.005080436814514644,-0.0010818456928248232,0.001620704720127042,0.0016343395634440538,0.0025051283949756864,0.003538587564754836,0.0018955621274517886,-0.0014414927998179228,0.001810713387543017,0.006468055724787813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMP,-0.0004937748212051618,-0.0003719530853182329,-0.0005914930261027851,-0.00013129708311804267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS,-0.0008392995372352718,-0.0009682643637505262,-0.00030624481173635587,-0.0005987840191252203,-0.00021995704921423664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASDHPPT,-0.000516914387886036,-0.00049673973514619,-0.0007970348711828779,-0.0007973772612298591,-0.0004363743062928971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASS,-0.001036574148090108,-0.0008890585941753182,-0.000547136453211583,-0.00048766313404846606,-0.0007989641563832528,-0.00023966484350057549,-0.0006936239141083766,-4.468097079957101e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATF,-0.000696540176696181,-0.0008692802947061207,-0.00046404353596185555,-0.0007790479126639216,-0.0007935748534719789,-0.001118477523155803,-0.0020589182999657396,-0.0005584944605512288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATK,0.010068503941985996,0.004612901152246329,0.004243157256473062,0.002426836109287178,0.003502483464271733,0.004749298014479764,0.0005715793894756072,0.0015023976431070563,0.004548873869951675,0.004578850994871098,0.0015247648962822824,0.002698470544875875,0.0008988917341841707,0.04447520530426513,0.3278384279475971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
