,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,0,0.0023617478044248782,-65.0,-0.028310104529616725,-0.00013525393916680173,-0.0015745658845759702,0.0
AACS,0,0.0005299120789682902,-102.0,-0.015868077162414437,-1.4690606555421704e-05,-0.0007152497224449406,0.0
AADAC,2,0.002756245519231017,-58.0,-0.030671602326811213,-0.00011885001398906359,-0.0012344979813334565,0.02072916495616891
AAK1,7,0.012954609576734392,-20.0,-0.06134969325153374,-0.00032656435032085707,-0.0015867995663322702,0.040470089779046106
AAMP,0,0.0008656012914139387,-74.0,-0.01593797113934956,-3.1770360314882506e-05,-0.0007679637159238707,0.0
AARS,0,0.0014637858043739784,-62.0,-0.01650692225772098,-5.865099562123166e-05,-0.0011011792723785087,0.0
AASDHPPT,0,0.0014055064804821239,-68.0,-0.01599247412982126,-6.088881123476192e-05,-0.0012280923068512118,0.0
AASS,0,0.0018923472891830993,-61.0,-0.025,-9.474732428632615e-05,-0.0011774429243782965,0.0
AATF,0,0.002914598110937138,-63.0,-0.02328159645232816,-0.00014676754114345547,-0.0019180868104233342,0.0
AATK,15,0.3311979863811759,111.0,0.11514522821576763,0.00836481284526705,0.06234470670572773,0.19351191433853393
ABAT,0,0.00043655647756028754,-87.0,-0.014958734525447043,-1.2205661113939142e-05,-0.0005733382320976493,0.0
ABCA1,3,0.005716151577600252,-23.0,-0.02277227722772277,-0.00026746481623921015,-0.0020326806350989685,0.027492916147322435
ABCA3,3,0.007404652909097336,-32.0,-0.0564373897707231,-0.0003676733959196432,-0.002245505944920607,0.028264580503582867
ABCA5,2,0.0023869995442494132,-60.0,-0.028409090909090908,-7.577599629279841e-05,-0.0008471323542904612,0.020140133573602257
ABCA7,0,0.00017727261253741577,-101.0,-0.015579207157180319,-3.545452250747899e-06,-0.0003354922656485856,0.0
ABCB10,0,0.0001690364955833079,-101.0,-0.015555213306637918,-3.3807299116665745e-06,-0.000320705951930325,0.0
ABCB6,2,0.0012257142452533787,-73.0,-0.02141390437078322,-2.9183306454801106e-05,-0.0004786462369432931,0.017094496458135437
ABCB7,0,0.00015805500631105307,-100.0,-0.01537042729787888,-3.161100126221339e-06,-0.0003008753396866257,0.0
ABCB8,1,0.0012064301421590316,-96.0,-0.014927693982273364,1.529941383324185e-05,0.0007453820177464703,0.014668539371682091
ABCB9,1,0.0010842983178786483,-83.0,-0.014976542764345001,8.521221043247124e-06,0.00027612210273871186,0.01414940832197114
ABCC3,1,0.000386894116144381,-85.0,-0.013576106053346111,-2.32849226164053e-06,-0.00011149199116428931,0.010388596130154228
ABCC4,0,0.00012142651030755403,-100.0,-0.015328019619865114,-2.4285302061503172e-06,-0.0002322692398648152,0.0
ABCC5,0,0.00033564878789457415,-83.0,-0.014108448070712222,-9.002212151585504e-06,-0.0004251752828992983,0.0
ABCC8,0,0.0011908462811307129,-110.0,-0.020080321285140562,-3.6205089936264256e-05,-0.0011670964886222183,0.0
ABCD1,2,0.0015110029334532784,-63.0,-0.013073251711973438,1.8708976125637877e-05,0.0004591276291099843,0.018485484515909974
ABCD3,1,0.002705122383952095,-59.0,-0.030240902101486417,-0.00010885978268561358,-0.0011520966126567038,0.01737757631085727
ABCD4,0,0.00035717450547038536,-92.0,-0.015376901220123683,-9.193219968627736e-06,-0.0004361600184977989,0.0
ABCE1,2,0.0016199634129690184,-62.0,-0.013722886232846392,-3.925761820101903e-06,-9.403078458359704e-05,0.018663831392823182
ABCF1,0,0.0021945878034424155,-63.0,-0.020309477756286266,-8.529627680746443e-05,-0.0012491844031156415,0.0
ABCF2,0,0.0009529200852268474,-84.0,-0.016178736517719568,-3.135713093741638e-05,-0.0009939265821000997,0.0
ABCF3,0,0.00021766880521745247,-101.0,-0.015673494723774054,-4.353376104349396e-06,-0.0004069593659210342,0.0
ABCG1,9,0.2713507813937034,178.0,0.10729355033152502,0.006699624826826997,0.06514088606975105,0.1626441179197807
ABCG2,1,0.000953378647835994,-63.0,-0.014227642276422764,-2.5770066598942987e-05,-0.0006122493648159742,0.013480902994807028
ABCG5,1,0.0007132295946754206,-75.0,-0.014925373134328358,-1.7969050247410023e-05,-0.0005538229428907618,0.012424226276996493
ABHD1,1,0.0002979910019454537,-87.0,-0.013770180436847104,-2.1385985068331226e-06,-0.00010273394420912283,0.009490858468878517
ABHD10,1,0.003547712319867366,-47.0,-0.030739045127534337,-0.00019874103407115096,-0.001861100673698722,0.018407054981301695
ABHD11,0,0.0043381754040995296,-47.0,-0.028606208155812538,-0.00025467797356730493,-0.002461556384974966,0.0
ABHD13,1,0.0004719313983767978,-91.0,-0.016780379863544165,-6.506721313897373e-06,-0.00020916069962074625,0.011022321541278484
ABHD14A,0,0.00018629312158247036,-101.0,-0.015605686032138442,-3.7258624316482275e-06,-0.00035160231317866075,0.0
ABHD14B,0,0.0013504675873528618,-61.0,-0.02161587526576896,-6.370595587490424e-05,-0.0008918609844099682,0.0
ABHD2,1,0.0009629375454474811,-62.0,-0.015434403783918346,-2.6900045151941054e-05,-0.0005258630611769939,0.01352156060035952
ABHD3,0,0.0006625010876204116,-95.0,-0.017244508985296787,-1.8875694666426607e-05,-0.0006098882951049275,0.0
ABHD6,0,0.001258195519468602,-74.0,-0.016887266088544045,-4.727404907563931e-05,-0.0011184451092681711,0.0
ABHD8,2,0.001166298477110035,-73.0,-0.014870645752699124,8.362333111695819e-06,0.00020816474928217807,0.017148699662669055
ABI3,0,0.0028587584170557813,-75.0,-0.02057048820625343,-0.00012759584250478934,-0.0021570926075097224,0.0
ABI3BP,3,0.00793283375712254,-31.0,-0.055855855855855854,-0.0003756268270046492,-0.0022699919134822806,0.028767605298340226
ABL1,1,0.0017050690006700188,-60.0,-0.020387359836901122,-6.273548908238002e-05,-0.000891056326378979,0.015614017628509858
ABL2,32,0.45473198643428603,16.0,0.0935672514619883,0.016328930167265887,0.0600441925185473,0.2478406864213495
ABLIM1,1,0.0011676311172435184,-67.0,-0.017048346055979643,-4.3098132054095184e-05,-0.0008350431740723529,0.014164688601834837
ABLIM2,6,0.44126581518693053,491.0,0.12853403141361255,0.009509526085887565,0.18201670412944573,0.21001715288900838
ABLIM3,1,0.0008066119175883959,-87.0,-0.01568415359653867,5.775614547003094e-07,1.8726508724571278e-05,0.012973364508574897
ABT1,0,0.0004644025374459991,-88.0,-0.015169798310636097,-1.3030868108797333e-05,-0.0006106895411266629,0.0
ABTB1,0,0.001121027316182591,-64.0,-0.016165698408689064,-4.3309211105443945e-05,-0.0008411776841238265,0.0
ABTB2,19,0.4189579230601723,125.0,0.18382352941176472,0.014546582708791028,0.09438676274945194,0.24667196767817473
ACACA,1,0.0006555667955522297,-82.0,-0.016129032258064516,-1.7473543731730268e-05,-0.0005479076438469855,0.012112067466587446
ACAD10,0,0.0003993108834629677,-87.0,-0.014894709809964048,-1.1283929627854683e-05,-0.0005317575098664747,0.0
ACAD11,0,0.0009602539920698579,-70.0,-0.015018236429950654,-3.405704487902811e-05,-0.0008241406577448645,0.0
ACAD9,1,0.0012064258359258844,-62.0,-0.01547678482276585,-2.3633338593273545e-05,-0.00046143665457267326,0.014396660629257714
ACADM,1,0.0012193416407724716,-69.0,-0.016495338273966053,-4.5585926798291654e-05,-0.0009086845351194055,0.014322633138615315
ACADS,0,0.00017727261253741577,-101.0,-0.015579207157180319,-3.545452250747899e-06,-0.0003354922656485856,0.0
ACADSB,2,0.003451892026986933,-38.0,-0.026988636363636364,-0.00016952503460530843,-0.0015130601380956624,0.021944903744499752
ACAN,0,0.0034888882961522784,-77.0,-0.02657921988263721,-0.00017330071563012583,-0.002449051288982603,0.0
ACAT1,1,0.0010532053646957558,-76.0,-0.015209125475285171,-3.0886093059033504e-05,-0.0007886829508204849,0.013805022706085726
ACAT2,3,0.4845308548640071,574.0,0.09783535026418953,0.010284126199319163,0.4852581212052944,0.22360847363030514
ACBD3,0,0.0015176066044152404,-93.0,-0.018995098039215685,-4.492811050812312e-05,-0.0011175703435260351,0.0
ACBD4,0,0.0031697971326555144,-67.0,-0.02927042376583661,-0.00016280503430420035,-0.001892927616324303,0.0
ACBD5,3,0.007566763052881412,-25.0,-0.03816793893129771,-0.0004444029217889056,-0.0028517283821748074,0.02865560724015293
