Ensembl Id	Gene Name	Description	Entrez	Genbank	UniGene
ENSG00000000457	SCYL3	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]	57147		Hs.659218
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	3075		Hs.363396
ENSG00000001167	NFYA	"nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]"	4800	ADD81252	Hs.10441
ENSG00000001617	SEMA3F	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]"	6405	AAC50568	Hs.734969
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]	54467		Hs.745078
ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]	51056		Hs.570791
ENSG00000002587	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	9957	AAH25735	Hs.507348
ENSG00000003056	M6PR	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]	4074	AAH17111	Hs.685756
ENSG00000003147	ICA1	"islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]"	3382		Hs.718069
ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]	8837	EAW70239	Hs.739737
ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:1667]	952		Hs.735022
ENSG00000004487	KDM1A	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]	23028		Hs.626355
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]	115703		Hs.515364
ENSG00000004838	ZMYND10	"zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]"	51364		Hs.526735
ENSG00000004848	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:18060]	170302	AAK93901	Hs.614435
ENSG00000005059	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]	55013		Hs.234149
ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]	4222		Hs.438
ENSG00000005810	MYCBP2	"MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]"	23077		Hs.151411
ENSG00000006125	AP2B1	"adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]"	163	AAH12150	Hs.617705
ENSG00000006283	CACNA1G	"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]"	8913		Hs.591169
ENSG00000006327	TNFRSF12A	"tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]"	51330	BAB17850	
ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]	55750	AAS07538	Hs.743318
ENSG00000006611	USH1C	"Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]"	10083		Hs.502072
ENSG00000006638	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	6915		Hs.442530
ENSG00000006756	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:717]	414		Hs.528631
ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:28960]	9703		Hs.151761
ENSG00000007216	SLC13A2	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]"	9058	EAW51090	Hs.102307
ENSG00000007314	SCN4A	"sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]"	6329	AAA60554	Hs.46038
ENSG00000007541	PIGQ	"phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]"	9091	AAC32661	Hs.744949
ENSG00000008130	NADK	NAD kinase [Source:HGNC Symbol;Acc:29831]	65220		Hs.654792
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:201]	53616	EAW76927	Hs.730222
ENSG00000008517	IL32	interleukin 32 [Source:HGNC Symbol;Acc:16830]	9235		
ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:6883]	23542	BAG57558	Hs.656617
